frame_idx,l_label,r_label,label
0,9,5,77
1,9,5,77
2,9,5,77
3,9,5,77
4,9,5,77
5,9,5,77
6,9,5,77
7,9,5,77
8,9,5,77
9,9,5,77
10,9,5,77
11,9,5,77
12,9,5,77
13,9,5,77
14,9,5,77
15,9,5,77
16,9,5,77
17,9,5,77
18,9,5,77
19,9,5,77
20,9,5,77
21,9,5,77
22,9,5,77
23,9,5,77
24,9,5,77
25,9,5,77
26,9,5,77
27,9,5,77
28,9,5,77
29,9,5,77
30,9,5,77
31,9,5,77
32,9,4,76
33,9,4,76
34,9,4,76
35,9,4,76
36,9,5,77
37,9,5,77
38,9,5,77
39,9,5,77
40,9,5,77
41,9,5,77
42,9,5,77
43,9,5,77
44,9,5,77
45,9,5,77
46,9,5,77
47,9,5,77
48,9,5,77
49,9,5,77
50,9,5,77
51,9,5,77
52,9,5,77
53,9,5,77
54,8,5,68
55,8,5,68
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,5,68
66,5,5,41
67,5,4,40
68,5,4,40
69,5,4,40
70,6,4,49
71,6,4,49
72,6,4,49
73,6,4,49
74,6,7,52
75,6,7,52
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,8,8,71
89,8,8,71
90,8,8,71
91,8,5,68
92,8,5,68
93,8,5,68
94,8,4,67
95,8,4,67
96,8,4,67
97,8,4,67
98,8,4,67
99,8,4,67
100,8,4,67
101,8,4,67
102,8,4,67
103,8,4,67
104,8,5,68
105,8,5,68
106,8,5,68
107,8,5,68
108,8,5,68
109,8,4,67
110,8,4,67
111,8,4,67
112,8,4,67
113,8,4,67
114,8,4,67
115,8,4,67
116,8,4,67
117,8,4,67
118,8,4,67
119,8,4,67
120,8,4,67
121,8,4,67
122,8,4,67
123,8,4,67
124,8,4,67
125,8,4,67
126,8,4,67
127,8,4,67
128,8,4,67
129,8,4,67
130,8,4,67
131,8,4,67
132,8,4,67
133,8,4,67
134,8,4,67
135,8,4,67
136,8,4,67
137,8,4,67
138,8,4,67
139,8,4,67
140,8,4,67
141,8,4,67
142,8,4,67
143,8,4,67
144,8,4,67
145,8,4,67
146,8,4,67
147,8,4,67
148,8,4,67
149,8,4,67
150,8,4,67
151,8,4,67
152,8,4,67
153,8,4,67
154,8,4,67
155,8,5,68
156,8,5,68
157,8,5,68
158,8,5,68
159,8,5,68
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,5,5,41
166,5,5,41
167,6,5,50
168,6,4,49
169,6,4,49
170,6,7,52
171,6,7,52
172,9,7,79
173,9,7,79
174,9,7,79
175,9,7,79
176,9,7,79
177,9,7,79
178,9,7,79
179,9,7,79
180,9,7,79
181,9,7,79
182,9,7,79
