frame_idx,l_label,r_label,label
0,9,7,79
1,9,7,79
2,9,7,79
3,9,7,79
4,9,7,79
5,9,4,76
6,9,4,76
7,9,4,76
8,9,4,76
9,9,4,76
10,9,4,76
11,9,4,76
12,9,4,76
13,9,4,76
14,9,4,76
15,9,4,76
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,4,76
28,9,4,76
29,9,4,76
30,9,4,76
31,9,4,76
32,9,4,76
33,9,4,76
34,9,4,76
35,9,4,76
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,4,76
41,9,4,76
42,9,4,76
43,9,4,76
44,9,4,76
45,9,4,76
46,9,4,76
47,9,4,76
48,9,4,76
49,9,4,76
50,9,4,76
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,7,79
60,9,7,79
61,9,7,79
62,9,7,79
63,9,7,79
64,9,7,79
65,9,7,79
66,9,7,79
67,9,7,79
68,9,7,79
69,9,7,79
70,9,7,79
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,7,79
92,9,7,79
93,9,7,79
94,9,7,79
95,9,7,79
96,9,7,79
97,9,7,79
98,9,7,79
99,9,7,79
100,9,7,79
101,9,7,79
102,9,7,79
103,9,7,79
104,9,7,79
105,9,7,79
106,9,7,79
107,9,7,79
108,9,7,79
109,9,7,79
110,9,7,79
111,9,7,79
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,9,7,79
118,9,7,79
119,9,7,79
120,9,7,79
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,6,7,52
126,6,4,49
127,6,4,49
128,6,4,49
129,6,4,49
130,6,4,49
131,6,4,49
132,6,4,49
133,6,4,49
134,6,4,49
135,6,4,49
136,6,4,49
137,6,4,49
138,6,8,53
139,5,8,44
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,8,71
148,8,8,71
149,8,8,71
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,5,68
166,8,5,68
167,8,5,68
168,8,5,68
169,8,5,68
170,8,5,68
171,8,5,68
172,8,5,68
173,8,5,68
174,8,5,68
175,8,5,68
176,8,5,68
177,8,5,68
178,8,5,68
179,8,5,68
180,8,5,68
181,8,5,68
182,8,5,68
183,8,5,68
184,8,5,68
185,8,8,71
186,8,8,71
187,8,8,71
188,8,8,71
189,8,8,71
190,8,8,71
191,8,8,71
192,8,8,71
193,8,8,71
194,8,8,71
195,8,8,71
196,8,8,71
197,8,8,71
198,8,8,71
199,8,8,71
200,8,8,71
201,8,8,71
202,8,8,71
203,8,8,71
204,8,8,71
205,8,7,70
206,9,7,79
207,9,7,79
208,6,4,49
209,6,4,49
210,6,4,49
211,6,4,49
212,6,4,49
213,6,4,49
214,6,4,49
215,6,4,49
216,6,4,49
217,6,4,49
218,6,4,49
219,6,4,49
220,6,4,49
221,6,4,49
222,6,4,49
223,6,4,49
224,6,4,49
225,6,4,49
226,6,4,49
