frame_idx,l_label,r_label,label
0,9,7,79
1,9,7,79
2,9,7,79
3,9,7,79
4,9,7,79
5,9,7,79
6,9,7,79
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,9,7,79
52,6,7,52
53,6,7,52
54,5,5,41
55,9,4,76
56,9,4,76
57,9,4,76
58,9,4,76
59,9,7,79
60,9,8,80
61,9,8,80
62,9,8,80
63,9,8,80
64,9,8,80
65,9,8,80
66,9,8,80
67,9,8,80
68,9,8,80
69,9,8,80
70,9,8,80
71,9,8,80
72,9,7,79
73,9,7,79
74,9,7,79
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,8,80
85,9,8,80
86,6,8,53
87,6,8,53
88,6,7,52
89,6,7,52
90,6,7,52
91,6,7,52
92,6,7,52
93,6,7,52
94,9,7,79
95,9,7,79
96,9,7,79
97,9,7,79
98,9,7,79
99,9,7,79
100,9,7,79
101,9,7,79
102,9,7,79
103,9,7,79
104,9,7,79
105,9,7,79
106,9,7,79
107,9,7,79
108,9,7,79
109,9,7,79
110,9,7,79
111,9,8,80
112,9,4,76
113,8,7,70
114,8,7,70
115,8,7,70
116,8,7,70
117,8,7,70
118,8,7,70
119,8,7,70
120,9,7,79
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,9,7,79
129,9,7,79
130,9,7,79
131,9,7,79
132,9,7,79
133,9,7,79
134,9,7,79
135,9,7,79
136,9,7,79
137,9,7,79
138,9,7,79
139,9,7,79
140,9,7,79
141,9,7,79
142,9,7,79
143,9,7,79
144,9,7,79
145,9,7,79
146,9,7,79
147,9,7,79
148,9,7,79
149,9,7,79
150,9,7,79
151,9,7,79
152,9,7,79
153,9,7,79
154,9,7,79
155,9,7,79
156,9,7,79
157,9,7,79
158,9,7,79
159,9,7,79
160,9,7,79
161,9,7,79
162,9,7,79
163,9,7,79
164,9,7,79
165,9,7,79
166,9,7,79
167,9,7,79
168,9,7,79
169,9,7,79
170,9,7,79
171,9,7,79
172,9,7,79
173,9,7,79
174,9,7,79
175,9,7,79
176,9,7,79
177,9,7,79
178,9,7,79
179,9,7,79
180,9,7,79
181,9,7,79
182,9,7,79
183,9,7,79
184,9,7,79
185,9,7,79
186,9,7,79
187,9,7,79
188,9,7,79
189,9,7,79
190,9,7,79
191,9,7,79
192,9,7,79
193,9,7,79
194,9,7,79
195,9,7,79
196,9,7,79
197,9,7,79
198,9,7,79
199,9,7,79
200,9,7,79
201,9,7,79
202,9,7,79
203,9,7,79
204,9,7,79
205,9,7,79
206,9,7,79
207,9,7,79
208,9,7,79
209,9,7,79
210,9,7,79
211,9,7,79
212,9,7,79
213,9,7,79
214,9,7,79
215,9,7,79
216,9,7,79
217,9,7,79
218,9,7,79
219,9,7,79
220,9,7,79
221,9,7,79
222,9,7,79
223,9,7,79
224,9,7,79
225,9,7,79
226,9,7,79
