frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,8,8,71
4,8,8,71
5,8,8,71
6,8,7,70
7,8,7,70
8,6,4,49
9,6,4,49
10,6,4,49
11,6,4,49
12,6,4,49
13,6,4,49
14,6,4,49
15,6,4,49
16,6,4,49
17,6,4,49
18,6,4,49
19,6,4,49
20,6,4,49
21,6,4,49
22,6,4,49
23,6,4,49
24,6,4,49
25,6,4,49
26,6,4,49
27,6,4,49
28,6,4,49
29,6,4,49
30,6,4,49
31,6,4,49
32,6,4,49
33,6,4,49
34,5,4,40
35,5,5,41
36,8,5,68
37,5,5,41
38,8,5,68
39,8,5,68
40,8,5,68
41,8,5,68
42,8,5,68
43,8,5,68
44,8,5,68
45,8,5,68
46,8,5,68
47,8,5,68
48,8,5,68
49,8,5,68
139,5,1,37
140,5,1,37
141,5,1,37
142,5,1,37
143,5,1,37
144,5,1,37
145,5,4,40
146,5,4,40
147,5,4,40
148,5,4,40
149,5,4,40
150,5,4,40
151,5,4,40
152,5,4,40
153,5,4,40
154,5,4,40
155,5,4,40
156,5,4,40
157,5,4,40
158,5,4,40
159,5,4,40
160,5,4,40
161,5,4,40
162,5,4,40
163,5,4,40
164,5,4,40
165,5,4,40
166,5,4,40
167,5,4,40
168,4,4,31
169,4,4,31
170,4,4,31
171,5,4,40
172,2,4,13
173,2,4,13
174,2,4,13
175,5,4,40
176,5,4,40
177,5,4,40
178,5,4,40
179,5,4,40
180,5,4,40
181,6,4,49
182,6,4,49
183,6,4,49
184,6,4,49
185,6,4,49
186,6,4,49
187,6,4,49
188,6,4,49
189,6,4,49
190,6,4,49
191,6,4,49
192,6,4,49
193,6,4,49
194,6,4,49
195,6,4,49
196,6,4,49
197,5,4,40
198,5,4,40
199,5,4,40
200,5,4,40
201,5,4,40
202,5,4,40
203,5,4,40
204,5,4,40
205,5,4,40
206,5,4,40
207,5,4,40
208,5,4,40
209,5,4,40
210,5,4,40
211,5,4,40
212,5,4,40
213,5,4,40
214,5,4,40
215,5,4,40
216,5,4,40
217,5,4,40
218,5,4,40
219,5,4,40
220,5,4,40
221,5,4,40
222,5,4,40
223,5,4,40
224,6,4,49
225,6,4,49
226,6,4,49
227,6,4,49
228,6,4,49
229,6,4,49
230,3,4,22
231,3,4,22
232,6,4,49
233,6,4,49
234,5,4,40
235,9,7,79
236,9,7,79
237,8,7,70
238,9,7,79
239,6,7,52
240,6,7,52
241,6,7,52
242,6,7,52
243,6,7,52
244,6,7,52
245,6,7,52
246,6,7,52
247,6,7,52
248,6,7,52
249,5,7,43
250,5,7,43
251,5,7,43
252,5,7,43
253,8,7,70
254,8,7,70
255,8,7,70
256,8,7,70
257,8,7,70
258,8,7,70
259,8,7,70
260,5,4,40
261,5,4,40
262,5,4,40
263,5,4,40
264,5,4,40
265,5,4,40
266,5,4,40
267,5,4,40
268,5,4,40
269,5,4,40
270,5,4,40
271,6,4,49
272,6,4,49
273,6,4,49
274,6,4,49
275,6,4,49
276,6,4,49
277,6,4,49
278,6,4,49
279,6,4,49
280,6,4,49
281,6,4,49
282,5,4,40
283,5,4,40
284,5,4,40
285,5,4,40
286,5,4,40
287,5,4,40
288,5,4,40
289,5,4,40
290,5,4,40
291,5,4,40
292,5,4,40
293,5,4,40
294,5,4,40
295,5,4,40
296,5,4,40
297,5,4,40
298,5,4,40
299,5,4,40
300,5,4,40
301,5,4,40
302,5,4,40
303,5,4,40
304,6,4,49
305,3,4,22
306,3,4,22
307,3,4,22
308,3,4,22
309,3,4,22
310,3,4,22
311,6,4,49
312,6,4,49
313,6,4,49
314,9,4,76
315,6,4,49
316,6,4,49
317,6,4,49
318,6,4,49
319,6,4,49
320,6,4,49
321,6,4,49
322,6,4,49
323,5,4,40
324,5,4,40
325,5,4,40
326,5,4,40
327,5,4,40
328,5,4,40
329,5,4,40
330,5,4,40
331,5,4,40
332,5,4,40
333,5,4,40
334,5,5,41
335,5,5,41
336,5,5,41
337,5,5,41
338,5,5,41
339,5,5,41
340,5,5,41
341,5,5,41
342,5,5,41
343,5,5,41
344,5,5,41
345,5,5,41
346,5,5,41
347,5,5,41
348,5,5,41
349,5,5,41
350,5,5,41
351,8,5,68
352,8,5,68
353,8,5,68
354,8,5,68
355,8,5,68
356,8,5,68
357,8,5,68
358,5,5,41
359,5,5,41
360,5,5,41
361,5,5,41
362,5,4,40
363,5,4,40
364,5,4,40
365,5,4,40
366,5,4,40
367,5,4,40
368,5,4,40
369,5,4,40
370,5,4,40
371,5,4,40
372,5,4,40
373,5,4,40
374,5,4,40
375,5,4,40
376,5,4,40
377,5,4,40
378,5,4,40
379,5,4,40
380,5,4,40
381,5,4,40
382,5,4,40
383,5,4,40
384,5,4,40
385,5,4,40
386,5,4,40
387,5,4,40
388,5,4,40
389,5,4,40
390,5,4,40
391,5,4,40
392,5,4,40
393,5,4,40
394,5,4,40
