frame_idx,l_label,r_label,label
0,5,5,41
1,5,5,41
2,5,5,41
3,5,5,41
4,5,5,41
5,5,5,41
6,5,5,41
7,5,5,41
8,5,5,41
9,5,5,41
10,5,5,41
11,5,5,41
12,5,5,41
13,5,5,41
14,5,5,41
15,5,5,41
16,5,5,41
17,5,5,41
18,5,5,41
19,5,5,41
20,5,5,41
21,5,5,41
22,5,5,41
23,5,5,41
24,5,5,41
25,5,5,41
26,5,5,41
27,5,5,41
28,5,5,41
29,5,5,41
30,5,5,41
31,5,5,41
32,5,5,41
33,5,5,41
34,5,5,41
35,5,5,41
36,5,5,41
37,5,5,41
38,5,5,41
39,5,5,41
40,5,5,41
41,5,4,40
42,6,4,49
43,6,4,49
44,6,4,49
45,6,4,49
46,6,4,49
47,6,4,49
48,6,4,49
49,6,4,49
50,6,4,49
51,6,4,49
52,6,4,49
53,6,4,49
54,6,4,49
55,6,4,49
56,6,4,49
57,6,4,49
58,6,4,49
59,6,4,49
60,6,4,49
61,6,4,49
62,6,4,49
63,6,4,49
64,6,4,49
65,6,4,49
66,5,5,41
67,5,5,41
68,5,5,41
69,5,5,41
70,5,5,41
71,5,5,41
72,5,5,41
73,5,5,41
74,5,5,41
75,5,5,41
76,5,5,41
77,5,5,41
78,5,5,41
79,5,5,41
80,5,5,41
81,5,5,41
82,5,5,41
83,5,5,41
84,5,5,41
85,5,5,41
86,5,5,41
87,5,5,41
88,5,5,41
89,5,5,41
90,5,4,40
91,6,4,49
92,6,4,49
93,6,4,49
94,6,4,49
95,6,4,49
96,6,4,49
97,6,4,49
98,9,7,79
99,9,7,79
100,9,7,79
101,9,7,79
102,6,7,52
103,9,7,79
104,6,7,52
105,6,7,52
106,6,7,52
107,6,7,52
108,6,7,52
109,6,7,52
110,6,5,50
111,6,5,50
112,5,5,41
113,5,5,41
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,8,5,68
119,8,5,68
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,5,68
137,8,5,68
138,8,5,68
139,8,5,68
140,8,5,68
141,8,5,68
142,8,5,68
143,8,4,67
144,8,4,67
145,8,4,67
146,8,4,67
147,8,4,67
148,8,4,67
149,8,7,70
150,8,7,70
151,8,7,70
152,8,7,70
153,8,7,70
154,8,7,70
155,8,7,70
156,8,7,70
157,8,7,70
158,8,7,70
159,8,7,70
160,8,7,70
161,8,7,70
162,8,7,70
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,5,68
168,5,5,41
169,5,5,41
170,5,5,41
171,5,5,41
172,5,5,41
173,6,5,50
174,6,5,50
175,6,5,50
176,6,5,50
177,6,5,50
178,6,8,53
179,6,8,53
180,6,7,52
181,6,7,52
182,9,8,80
183,9,8,80
184,9,8,80
185,9,8,80
186,9,8,80
187,9,8,80
188,9,8,80
189,9,8,80
190,9,8,80
191,9,8,80
192,6,5,50
193,6,5,50
194,6,5,50
195,6,5,50
196,6,5,50
197,5,6,42
198,8,8,71
199,8,8,71
200,9,8,80
201,9,8,80
202,9,8,80
203,9,5,77
204,8,5,68
205,5,5,41
206,5,5,41
207,5,5,41
208,5,5,41
209,5,5,41
210,5,5,41
211,8,5,68
212,8,8,71
213,8,8,71
214,8,8,71
215,8,8,71
216,8,8,71
217,8,8,71
218,8,8,71
219,8,8,71
220,8,8,71
221,8,8,71
222,8,8,71
223,8,8,71
224,8,8,71
225,8,8,71
226,8,8,71
227,8,8,71
228,8,8,71
229,8,8,71
230,8,8,71
231,8,8,71
232,8,8,71
233,8,8,71
234,8,8,71
235,8,8,71
236,8,8,71
237,5,5,41
238,5,5,41
239,5,5,41
240,5,5,41
241,5,5,41
242,6,4,49
243,6,4,49
244,6,4,49
245,6,4,49
246,6,4,49
247,6,4,49
248,6,4,49
249,6,4,49
250,6,4,49
251,6,4,49
252,6,4,49
253,6,7,52
254,6,7,52
255,6,7,52
256,6,7,52
257,6,7,52
258,9,7,79
259,9,7,79
260,9,7,79
261,9,7,79
262,9,7,79
263,9,8,80
264,9,8,80
265,8,8,71
266,8,8,71
267,8,8,71
268,8,8,71
269,8,5,68
270,5,5,41
271,5,5,41
272,5,5,41
273,5,5,41
274,5,5,41
275,5,5,41
276,6,5,50
277,6,5,50
278,6,5,50
279,6,5,50
280,6,5,50
281,6,5,50
282,6,5,50
283,6,5,50
284,9,5,77
285,9,5,77
286,9,5,77
287,9,5,77
288,9,5,77
289,9,5,77
290,9,5,77
291,9,5,77
292,8,5,68
293,8,5,68
294,8,5,68
295,8,8,71
296,8,8,71
297,8,8,71
298,8,8,71
299,8,8,71
300,8,8,71
301,8,8,71
302,8,8,71
303,8,8,71
304,8,8,71
305,8,8,71
306,8,8,71
307,8,8,71
308,8,8,71
309,8,8,71
310,8,8,71
311,8,8,71
312,8,5,68
313,8,5,68
314,8,5,68
315,8,5,68
316,8,5,68
317,8,5,68
318,8,8,71
319,8,8,71
320,8,8,71
321,8,8,71
322,8,5,68
323,5,5,41
324,5,5,41
325,5,5,41
326,5,5,41
327,5,5,41
328,5,5,41
329,5,5,41
330,5,5,41
331,5,8,44
332,8,8,71
333,8,8,71
334,8,8,71
335,8,8,71
336,8,8,71
337,8,8,71
338,8,8,71
339,8,8,71
340,8,8,71
341,5,8,44
342,5,5,41
343,5,5,41
344,5,5,41
345,5,5,41
346,5,5,41
347,5,5,41
348,5,5,41
349,5,5,41
350,5,5,41
351,5,5,41
352,5,5,41
353,5,5,41
354,5,5,41
355,5,5,41
356,5,5,41
357,5,5,41
358,5,5,41
