frame_idx,l_label,r_label,label
0,5,4,40
1,5,4,40
2,5,4,40
3,5,4,40
4,5,4,40
5,5,4,40
6,5,4,40
7,6,4,49
8,6,1,46
9,3,1,19
10,3,1,19
11,3,1,19
12,3,1,19
13,3,1,19
14,3,1,19
15,3,1,19
16,3,1,19
17,6,1,46
18,6,1,46
19,6,1,46
20,6,4,49
21,5,4,40
22,5,4,40
23,5,4,40
24,5,4,40
25,5,4,40
26,5,4,40
27,4,4,31
28,4,4,31
29,4,4,31
30,4,4,31
31,4,4,31
32,4,4,31
33,4,4,31
34,4,4,31
35,4,5,32
36,4,5,32
37,4,4,31
38,4,4,31
39,4,5,32
40,4,5,32
41,4,4,31
42,4,4,31
43,4,4,31
44,4,4,31
45,4,4,31
46,4,4,31
47,4,4,31
48,7,4,58
49,4,4,31
50,4,4,31
51,5,4,40
52,5,4,40
53,5,4,40
54,5,4,40
55,5,4,40
56,5,4,40
57,5,4,40
58,5,4,40
59,5,4,40
60,5,4,40
61,5,4,40
62,5,4,40
63,5,4,40
64,5,4,40
65,5,4,40
66,5,4,40
67,5,4,40
68,6,4,49
69,6,4,49
70,6,4,49
71,6,4,49
72,6,4,49
73,6,4,49
74,6,4,49
75,5,4,40
76,5,4,40
77,5,4,40
78,5,4,40
79,5,4,40
80,5,4,40
81,5,4,40
82,5,4,40
83,5,4,40
84,5,4,40
85,6,4,49
86,6,4,49
87,5,4,40
88,5,4,40
89,6,4,49
90,6,4,49
91,5,4,40
92,5,4,40
93,6,4,49
94,5,4,40
95,5,4,40
96,5,4,40
97,5,4,40
98,5,4,40
99,5,4,40
100,5,4,40
101,5,4,40
102,5,4,40
103,5,4,40
104,5,4,40
105,5,4,40
106,5,4,40
107,5,4,40
108,5,4,40
109,5,4,40
110,5,4,40
111,5,4,40
112,5,4,40
113,5,4,40
114,5,4,40
115,4,4,31
116,5,4,40
117,5,4,40
118,5,4,40
119,4,4,31
120,4,4,31
121,5,4,40
122,4,4,31
123,1,1,1
124,1,1,1
125,5,4,40
126,5,4,40
127,5,4,40
128,6,4,49
129,5,4,40
130,6,4,49
131,6,4,49
132,6,4,49
133,6,4,49
134,6,4,49
135,6,4,49
136,6,4,49
137,6,4,49
138,6,4,49
139,6,4,49
140,6,4,49
141,6,4,49
142,6,4,49
143,3,1,19
144,5,4,40
145,5,4,40
146,5,4,40
147,5,4,40
148,5,4,40
149,8,4,67
150,8,4,67
151,8,4,67
152,5,4,40
153,5,4,40
154,5,4,40
155,5,4,40
156,5,4,40
157,5,4,40
158,5,4,40
159,5,4,40
160,5,4,40
161,5,4,40
162,5,4,40
163,5,4,40
164,5,4,40
165,5,4,40
166,5,4,40
167,5,4,40
168,8,4,67
169,5,4,40
170,5,4,40
171,5,4,40
172,5,4,40
173,5,4,40
174,8,7,70
175,8,7,70
176,8,7,70
177,8,7,70
178,8,7,70
179,8,4,67
180,5,4,40
181,5,4,40
182,5,4,40
183,5,4,40
184,5,4,40
185,5,4,40
186,5,4,40
187,5,4,40
188,5,4,40
189,5,4,40
190,5,4,40
191,5,4,40
192,4,4,31
193,4,4,31
194,4,4,31
195,4,4,31
196,4,4,31
197,4,5,32
198,4,4,31
199,5,4,40
200,5,4,40
201,5,5,41
202,5,5,41
203,5,5,41
204,5,5,41
205,5,5,41
206,5,5,41
207,5,5,41
208,5,5,41
209,5,5,41
210,5,5,41
211,5,5,41
212,5,4,40
213,5,4,40
214,5,4,40
215,5,4,40
216,5,4,40
217,5,4,40
218,5,4,40
219,5,4,40
220,5,4,40
221,5,4,40
222,5,4,40
223,5,4,40
224,5,4,40
225,5,4,40
226,5,4,40
227,5,4,40
228,5,4,40
229,5,4,40
230,5,4,40
231,5,4,40
232,5,4,40
233,5,4,40
234,5,4,40
235,5,4,40
236,5,4,40
237,5,4,40
238,5,4,40
239,5,4,40
240,5,4,40
241,5,4,40
242,5,4,40
243,5,4,40
244,5,4,40
245,5,4,40
246,5,4,40
247,5,4,40
248,5,4,40
249,5,4,40
250,5,4,40
251,5,4,40
252,5,7,43
253,5,7,43
254,8,7,70
255,8,7,70
256,8,7,70
257,8,7,70
258,8,7,70
259,8,7,70
260,8,7,70
261,8,7,70
262,8,7,70
263,5,7,43
264,5,7,43
265,5,7,43
266,5,4,40
267,5,4,40
268,5,4,40
269,5,4,40
270,5,4,40
271,5,4,40
272,5,4,40
273,5,4,40
274,5,4,40
275,5,4,40
276,5,4,40
277,5,4,40
278,5,4,40
279,5,4,40
280,5,4,40
281,5,4,40
282,5,7,43
283,5,4,40
284,5,4,40
285,5,7,43
286,5,7,43
287,4,7,34
288,7,7,61
289,7,7,61
290,7,7,61
291,7,7,61
292,7,7,61
293,7,7,61
294,4,7,34
295,4,7,34
296,4,7,34
297,4,7,34
298,4,7,34
299,4,7,34
300,4,7,34
301,4,7,34
302,4,4,31
303,4,4,31
304,4,4,31
305,4,4,31
306,4,4,31
307,5,4,40
308,5,4,40
309,5,4,40
310,5,4,40
311,5,4,40
312,5,4,40
313,5,4,40
314,5,4,40
315,5,4,40
316,5,4,40
317,5,4,40
318,5,4,40
319,5,4,40
320,5,4,40
321,5,4,40
322,5,4,40
323,5,4,40
324,5,4,40
325,5,4,40
326,5,4,40
327,5,4,40
328,5,4,40
329,5,4,40
330,5,4,40
331,5,4,40
332,5,4,40
333,5,7,43
334,5,7,43
335,5,7,43
336,5,7,43
337,5,7,43
338,5,7,43
339,8,7,70
340,8,7,70
341,8,7,70
342,8,7,70
343,8,7,70
344,5,7,43
345,5,4,40
346,5,4,40
347,5,4,40
348,5,7,43
349,5,7,43
350,5,7,43
351,8,7,70
352,8,7,70
353,8,7,70
354,8,7,70
355,8,7,70
356,8,7,70
357,8,7,70
358,8,7,70
359,8,7,70
360,5,4,40
361,5,4,40
362,5,4,40
363,5,4,40
364,5,4,40
365,5,4,40
366,5,4,40
367,5,4,40
368,5,4,40
369,5,4,40
370,5,4,40
371,5,4,40
372,5,4,40
373,5,4,40
374,5,4,40
375,5,4,40
376,5,4,40
377,5,4,40
378,5,4,40
379,5,4,40
380,5,4,40
381,5,4,40
382,5,4,40
383,5,4,40
384,5,4,40
385,5,4,40
386,5,4,40
387,5,4,40
388,5,4,40
389,5,4,40
390,5,4,40
391,5,4,40
392,5,4,40
393,5,4,40
394,5,4,40
395,5,4,40
396,5,4,40
397,5,4,40
398,5,4,40
399,5,4,40
400,5,4,40
401,5,4,40
402,5,4,40
403,5,4,40
404,5,4,40
405,5,4,40
406,5,4,40
407,5,4,40
408,5,4,40
409,5,4,40
410,5,4,40
411,5,4,40
412,5,4,40
413,5,4,40
414,5,4,40
415,5,4,40
416,5,4,40
417,5,4,40
418,5,4,40
419,5,4,40
420,5,4,40
421,5,4,40
422,5,4,40
423,5,4,40
424,5,4,40
425,5,4,40
426,5,4,40
427,5,4,40
428,5,4,40
429,5,4,40
430,5,4,40
431,5,7,43
432,5,7,43
433,5,7,43
434,5,7,43
435,5,7,43
436,5,7,43
437,5,7,43
438,5,7,43
439,5,7,43
440,5,7,43
441,8,7,70
442,8,7,70
443,8,7,70
444,8,7,70
445,8,7,70
446,8,7,70
447,8,7,70
448,8,7,70
449,8,7,70
450,8,7,70
451,5,7,43
452,5,7,43
453,5,7,43
454,5,7,43
455,5,7,43
456,5,7,43
457,5,7,43
458,5,7,43
459,6,7,52
460,6,7,52
461,6,7,52
462,6,7,52
463,6,4,49
464,5,4,40
465,5,4,40
466,5,4,40
467,5,4,40
468,5,7,43
469,5,7,43
470,5,7,43
471,8,7,70
472,8,7,70
473,8,7,70
474,8,7,70
475,8,7,70
476,8,7,70
477,8,7,70
478,5,7,43
479,5,7,43
480,5,7,43
481,5,7,43
482,5,7,43
483,5,7,43
484,5,7,43
485,5,7,43
486,5,7,43
487,5,7,43
488,6,7,52
489,6,7,52
490,6,7,52
491,6,7,52
492,6,7,52
493,6,7,52
494,6,7,52
495,6,7,52
496,6,7,52
497,6,7,52
498,6,7,52
499,6,7,52
500,5,7,43
501,8,7,70
502,8,7,70
503,8,7,70
504,8,7,70
505,8,7,70
506,8,7,70
507,8,7,70
508,6,7,52
509,6,7,52
510,6,7,52
511,6,7,52
512,6,7,52
513,6,7,52
514,9,7,79
515,9,7,79
516,6,7,52
517,6,7,52
518,6,7,52
519,6,7,52
520,6,7,52
521,6,7,52
522,6,7,52
523,5,7,43
524,5,7,43
525,8,7,70
526,8,7,70
527,8,7,70
528,7,7,61
529,7,7,61
530,7,8,62
531,7,8,62
532,7,8,62
533,7,8,62
534,7,8,62
535,7,8,62
536,7,8,62
537,7,8,62
538,7,8,62
539,7,8,62
540,7,8,62
541,7,8,62
542,7,8,62
543,7,8,62
544,7,7,61
545,7,8,62
546,7,8,62
547,7,8,62
548,7,5,59
549,7,5,59
550,7,5,59
551,7,5,59
552,7,5,59
553,7,4,58
554,7,4,58
555,7,4,58
556,7,4,58
557,7,4,58
558,7,4,58
559,7,4,58
560,7,4,58
561,7,4,58
562,7,4,58
563,7,7,61
564,7,7,61
565,7,7,61
566,7,7,61
567,7,7,61
568,7,7,61
569,7,7,61
570,7,7,61
571,5,7,43
572,3,7,25
573,3,7,25
574,3,7,25
575,6,7,52
576,5,7,43
577,5,7,43
578,5,7,43
579,5,7,43
580,5,7,43
581,5,4,40
582,5,7,43
583,5,7,43
584,5,7,43
585,5,7,43
586,5,7,43
587,5,4,40
588,5,4,40
589,5,4,40
590,5,4,40
591,5,4,40
592,5,4,40
593,5,4,40
594,6,4,49
595,6,4,49
596,5,4,40
597,5,4,40
598,5,4,40
599,5,4,40
600,5,4,40
601,5,4,40
602,5,4,40
603,5,4,40
604,5,4,40
605,5,4,40
606,5,4,40
607,5,4,40
608,5,4,40
609,5,4,40
610,4,4,31
611,4,4,31
612,4,4,31
613,4,4,31
614,4,4,31
615,4,4,31
616,4,4,31
617,4,4,31
618,4,4,31
619,4,4,31
620,4,4,31
621,4,4,31
622,4,4,31
623,4,4,31
624,4,4,31
625,5,4,40
626,5,4,40
627,5,4,40
628,5,4,40
629,5,4,40
630,5,4,40
631,5,4,40
632,5,4,40
633,5,4,40
634,5,4,40
635,5,4,40
636,5,4,40
637,5,4,40
638,5,4,40
639,5,4,40
640,5,4,40
641,5,4,40
642,5,4,40
643,5,4,40
644,5,4,40
645,5,4,40
646,5,4,40
647,5,4,40
648,5,4,40
649,5,4,40
650,5,4,40
651,5,4,40
652,5,4,40
653,5,4,40
654,5,4,40
655,5,4,40
656,5,4,40
657,5,4,40
658,5,4,40
659,5,4,40
660,5,4,40
661,5,4,40
662,6,4,49
663,6,4,49
664,6,4,49
665,6,4,49
666,6,4,49
667,5,4,40
668,5,4,40
669,5,4,40
670,5,4,40
671,5,4,40
672,5,4,40
673,5,4,40
674,5,4,40
675,4,4,31
676,4,4,31
677,4,4,31
678,4,4,31
679,4,4,31
680,4,4,31
681,4,4,31
682,4,4,31
683,4,4,31
684,4,4,31
685,4,4,31
686,4,4,31
687,4,4,31
688,4,4,31
689,4,4,31
690,4,4,31
691,4,4,31
692,4,4,31
693,4,4,31
694,5,4,40
695,5,4,40
696,5,4,40
697,5,4,40
698,5,4,40
699,5,1,37
700,5,1,37
701,5,1,37
702,5,1,37
703,5,1,37
704,5,1,37
705,5,1,37
706,5,1,37
707,5,1,37
708,5,4,40
709,5,4,40
710,5,4,40
711,5,4,40
712,5,4,40
713,5,4,40
714,5,4,40
715,5,4,40
716,5,4,40
717,4,4,31
718,4,4,31
719,4,4,31
720,4,4,31
721,4,4,31
722,4,4,31
723,4,4,31
724,4,4,31
725,4,4,31
726,4,4,31
727,4,4,31
728,4,4,31
729,4,4,31
730,4,4,31
731,4,4,31
732,4,4,31
733,5,4,40
734,5,4,40
735,5,4,40
736,5,4,40
737,5,4,40
738,5,4,40
739,5,4,40
740,5,4,40
741,5,4,40
742,4,4,31
743,4,4,31
744,4,4,31
745,4,4,31
746,4,4,31
747,4,4,31
748,4,4,31
749,4,4,31
750,4,4,31
751,4,4,31
752,4,4,31
753,4,4,31
754,4,4,31
755,4,4,31
756,4,4,31
757,4,4,31
758,4,4,31
759,4,4,31
760,4,4,31
761,4,4,31
762,4,4,31
763,4,4,31
764,4,4,31
765,4,4,31
766,4,4,31
767,4,4,31
768,4,4,31
769,4,4,31
770,4,4,31
771,4,4,31
772,4,4,31
773,4,4,31
774,4,4,31
775,4,4,31
776,4,4,31
777,4,4,31
778,4,4,31
779,4,4,31
780,4,4,31
781,4,4,31
782,4,4,31
783,4,4,31
784,4,4,31
785,4,4,31
786,4,4,31
787,4,4,31
788,5,4,40
789,5,4,40
790,5,4,40
791,5,4,40
792,5,4,40
793,5,4,40
794,5,4,40
795,5,4,40
796,5,4,40
797,5,4,40
798,5,4,40
799,4,4,31
800,4,4,31
801,4,4,31
802,4,4,31
803,4,4,31
804,4,4,31
805,4,4,31
806,4,4,31
807,4,4,31
808,4,4,31
809,4,4,31
810,4,4,31
811,4,4,31
812,4,4,31
813,4,4,31
814,4,4,31
815,4,4,31
816,4,4,31
817,4,4,31
818,4,4,31
819,4,4,31
820,4,4,31
821,4,4,31
822,4,4,31
823,4,4,31
824,5,4,40
825,5,4,40
826,5,4,40
827,5,4,40
828,5,4,40
829,5,4,40
830,5,4,40
831,5,4,40
832,5,4,40
833,5,4,40
834,5,4,40
835,5,4,40
836,5,4,40
837,5,4,40
838,5,4,40
839,5,4,40
840,5,4,40
841,5,4,40
842,5,4,40
843,5,4,40
844,5,4,40
845,5,4,40
846,5,4,40
847,5,4,40
848,5,4,40
849,5,4,40
850,5,4,40
851,5,4,40
852,5,4,40
853,5,4,40
854,6,4,49
855,6,4,49
856,6,4,49
857,6,4,49
858,6,4,49
859,6,4,49
860,9,4,76
861,9,4,76
862,9,4,76
863,9,4,76
864,9,4,76
865,9,4,76
866,9,4,76
867,6,4,49
868,6,4,49
869,5,4,40
870,5,4,40
871,5,4,40
872,5,4,40
873,5,4,40
874,5,4,40
875,5,4,40
876,5,4,40
877,4,4,31
878,4,4,31
879,4,4,31
880,4,4,31
881,4,4,31
882,4,4,31
883,4,4,31
884,4,4,31
885,4,4,31
886,4,4,31
887,4,4,31
888,4,4,31
889,4,4,31
890,4,4,31
891,4,4,31
892,4,4,31
893,4,4,31
894,4,4,31
895,4,4,31
896,4,4,31
897,4,4,31
898,4,4,31
899,4,4,31
900,4,4,31
901,4,4,31
902,4,4,31
903,4,4,31
904,4,4,31
905,4,4,31
906,4,4,31
907,5,4,40
908,5,4,40
909,5,4,40
910,5,4,40
911,5,4,40
912,5,4,40
913,5,4,40
914,5,4,40
915,5,4,40
916,5,4,40
917,4,4,31
918,4,4,31
919,4,4,31
920,4,4,31
921,4,4,31
922,4,4,31
923,4,4,31
924,4,4,31
925,4,4,31
926,4,4,31
927,4,4,31
928,4,4,31
929,4,4,31
930,4,4,31
931,4,4,31
932,4,4,31
933,4,4,31
934,4,4,31
935,4,4,31
936,4,4,31
937,4,4,31
938,4,4,31
939,4,4,31
940,4,4,31
941,4,4,31
942,4,4,31
943,4,4,31
944,4,4,31
945,4,4,31
946,4,4,31
947,4,4,31
948,4,4,31
949,4,4,31
950,4,4,31
951,4,4,31
952,4,4,31
953,4,4,31
954,4,4,31
955,4,4,31
956,4,4,31
957,4,4,31
958,4,4,31
959,4,4,31
960,4,4,31
961,4,4,31
962,4,4,31
963,4,4,31
964,4,4,31
965,4,4,31
966,4,4,31
967,4,4,31
968,4,4,31
969,4,4,31
970,4,4,31
971,4,4,31
972,5,4,40
973,5,4,40
974,5,4,40
975,5,4,40
976,5,4,40
977,5,4,40
978,5,4,40
979,5,4,40
980,5,4,40
981,5,4,40
982,5,4,40
983,5,4,40
984,5,4,40
985,5,4,40
986,5,4,40
987,5,4,40
988,5,4,40
989,5,4,40
990,5,4,40
991,5,4,40
992,5,4,40
993,5,4,40
994,5,4,40
995,5,4,40
996,5,4,40
997,5,4,40
998,5,4,40
999,5,4,40
1000,5,4,40
1001,4,4,31
1002,4,4,31
1003,4,4,31
1004,4,4,31
1005,4,4,31
1006,4,4,31
1007,4,4,31
1008,4,4,31
1009,4,4,31
1010,4,4,31
1011,4,4,31
1012,4,4,31
1013,4,4,31
1014,4,4,31
1015,4,4,31
1016,4,4,31
1017,4,4,31
1018,4,4,31
1019,4,4,31
1020,4,4,31
1021,4,4,31
1022,4,1,28
1023,4,1,28
1024,4,1,28
1025,4,1,28
1026,7,1,55
1027,7,1,55
1028,7,1,55
1029,7,1,55
1030,7,4,58
1031,7,4,58
1032,7,4,58
1033,7,4,58
1034,7,4,58
1035,4,4,31
1036,4,4,31
1037,4,4,31
1038,4,4,31
1039,4,4,31
1040,4,4,31
1041,4,4,31
1042,7,4,58
1043,7,4,58
1044,7,4,58
1045,7,4,58
1046,7,4,58
1047,7,4,58
1048,7,4,58
1049,4,4,31
1050,4,4,31
1051,4,4,31
1052,4,4,31
1053,4,4,31
1054,4,4,31
1055,7,4,58
1056,7,4,58
1057,7,4,58
1058,7,4,58
1059,7,4,58
1060,4,4,31
1061,5,4,40
1062,5,4,40
1063,5,4,40
1064,5,4,40
1065,5,4,40
1066,5,4,40
1067,5,4,40
1068,5,4,40
1069,5,4,40
1070,5,4,40
1071,5,4,40
1072,4,4,31
1073,4,4,31
1074,4,4,31
1075,4,4,31
1076,4,4,31
1077,4,4,31
1078,4,4,31
1079,4,4,31
1080,4,4,31
1081,4,4,31
1082,4,4,31
1083,4,4,31
1084,4,4,31
1085,4,4,31
1086,4,4,31
1087,4,4,31
1088,4,4,31
1089,4,4,31
1090,4,4,31
1091,4,4,31
1092,4,4,31
1093,4,4,31
1094,4,4,31
1095,4,4,31
1096,5,4,40
1097,5,4,40
1098,5,4,40
1099,5,4,40
1100,5,4,40
1101,5,4,40
1102,5,4,40
1103,5,4,40
1104,5,4,40
1105,4,4,31
1106,4,4,31
1107,1,4,4
1108,4,4,31
1109,4,4,31
1110,4,4,31
1111,4,4,31
1112,5,4,40
1113,5,4,40
1114,5,4,40
1115,8,4,67
1116,5,4,40
1117,5,4,40
1118,5,4,40
1119,8,4,67
1120,8,4,67
1121,8,7,70
1122,8,4,67
1123,8,4,67
1124,8,4,67
1125,8,4,67
1126,8,4,67
1127,8,4,67
1128,8,4,67
1129,8,4,67
1130,5,4,40
1131,5,4,40
1132,5,4,40
1133,5,4,40
1134,5,4,40
1135,5,4,40
1136,5,7,43
1137,5,4,40
1138,5,4,40
1139,5,4,40
1140,5,4,40
1141,5,4,40
1142,5,4,40
1143,5,4,40
1144,5,4,40
1145,5,4,40
1146,5,4,40
1147,5,4,40
1148,5,4,40
1149,5,4,40
1150,8,4,67
1151,8,4,67
1152,8,7,70
1153,8,7,70
1154,8,7,70
1155,8,7,70
1156,8,7,70
1157,8,7,70
1158,8,7,70
1159,8,7,70
1160,8,7,70
1161,8,7,70
1162,8,7,70
1163,8,7,70
1164,8,4,67
1165,8,4,67
1166,8,4,67
1167,5,4,40
1168,5,4,40
1169,5,4,40
1170,5,4,40
1171,5,4,40
1172,5,4,40
1173,5,4,40
1174,5,4,40
1175,5,4,40
1176,5,4,40
1177,5,4,40
1178,5,4,40
1179,4,4,31
1180,5,4,40
1181,5,4,40
1182,8,4,67
1183,8,4,67
1184,8,4,67
1185,5,4,40
1186,5,4,40
1187,5,4,40
1188,5,4,40
1189,5,4,40
1190,5,4,40
1191,5,4,40
1192,5,4,40
1193,5,4,40
1194,5,4,40
1195,5,4,40
1196,5,4,40
1197,5,4,40
1198,5,4,40
1199,5,4,40
1200,5,4,40
1201,5,4,40
1202,4,4,31
1203,4,4,31
1204,4,4,31
1205,4,4,31
1206,4,4,31
1207,4,1,28
1208,4,1,28
1209,4,1,28
1210,4,1,28
1211,4,1,28
1212,1,1,1
1213,4,1,28
1214,4,4,31
1215,5,4,40
1216,4,4,31
1217,4,4,31
1218,4,4,31
1219,4,4,31
1220,4,4,31
1221,4,4,31
1222,4,4,31
1223,4,4,31
1224,4,4,31
1225,4,4,31
1226,5,4,40
1227,5,4,40
1228,4,4,31
1229,4,4,31
1230,5,4,40
1231,5,4,40
1232,5,4,40
1233,4,4,31
1234,4,5,32
1235,4,4,31
1236,4,4,31
