frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,8,80
3,9,8,80
4,9,7,79
5,9,7,79
6,9,7,79
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,8,80
60,9,8,80
61,9,7,79
62,9,7,79
63,9,7,79
64,9,7,79
65,9,7,79
66,9,8,80
67,9,8,80
68,9,8,80
69,9,8,80
70,9,8,80
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,9,8,80
76,9,8,80
77,9,7,79
78,9,7,79
79,6,7,52
80,6,7,52
81,6,7,52
82,6,7,52
83,6,7,52
84,6,7,52
85,9,8,80
86,9,8,80
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,8,80
92,9,8,80
93,9,8,80
94,9,8,80
95,9,8,80
96,9,8,80
97,9,8,80
98,9,8,80
99,9,8,80
100,9,8,80
101,9,8,80
102,9,8,80
103,6,8,53
104,6,8,53
105,9,8,80
106,6,8,53
107,9,8,80
108,6,7,52
109,9,7,79
110,9,8,80
111,9,8,80
112,9,8,80
113,6,8,53
114,3,2,20
115,3,1,19
116,6,5,50
129,3,3,21
130,1,1,1
131,1,1,1
132,1,1,1
138,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,2,2,11
148,-1,-1,-19
149,-2,-2,-29
150,-5,-5,-59
151,11,11,101
152,21,21,201
153,0,0,-9
154,1,1,1
155,1,1,1
156,0,0,-9
157,1,1,1
158,1,1,1
159,1,1,1
160,2,2,11
161,1,2,2
162,-2,-2,-29
177,1,2,2
178,1,2,2
179,-887,-887,-8879
180,0,0,-9
181,1,1,1
182,1,1,1
183,2,2,11
184,3,3,21
185,2,2,11
186,2,2,11
187,1,1,1
188,2,2,11
189,1,1,1
190,1,1,1
191,1,1,1
192,1,1,1
193,1,1,1
194,1,1,1
195,2,2,11
196,2,2,11
197,1,1,1
198,2,2,11
200,20,20,191
201,1,1,1
202,2,2,11
203,1,1,1
204,1,1,1
205,1,1,1
206,1,1,1
207,1,1,1
208,1,1,1
209,1,1,1
210,1,1,1
211,2,2,11
212,1,1,1
213,-5,-5,-59
214,2,2,11
215,3,3,21
216,2,2,11
217,3,3,21
218,3,3,21
219,3,3,21
220,3,3,21
221,3,3,21
222,3,3,21
223,3,3,21
224,3,3,21
239,9,7,79
240,9,7,79
241,9,7,79
242,9,8,80
243,9,8,80
244,9,8,80
245,9,8,80
246,9,8,80
247,9,8,80
248,9,7,79
249,9,7,79
250,9,7,79
251,9,7,79
252,9,7,79
253,9,7,79
254,9,7,79
255,9,7,79
256,9,7,79
257,9,8,80
258,9,8,80
259,9,8,80
260,9,7,79
261,9,7,79
262,9,7,79
263,9,7,79
264,9,7,79
265,9,7,79
266,9,7,79
267,9,7,79
268,9,7,79
269,9,7,79
270,9,7,79
271,9,7,79
272,9,7,79
273,9,7,79
274,6,7,52
275,6,7,52
276,6,7,52
277,6,7,52
278,9,7,79
279,9,7,79
280,9,7,79
281,9,7,79
282,9,7,79
283,9,8,80
284,9,8,80
285,9,7,79
286,9,7,79
287,9,7,79
288,9,7,79
289,9,7,79
290,9,7,79
291,9,7,79
292,9,7,79
293,9,7,79
294,9,7,79
295,9,7,79
296,9,7,79
297,9,7,79
298,6,7,52
299,9,7,79
300,6,7,52
301,9,7,79
302,9,7,79
303,9,7,79
304,6,7,52
305,6,7,52
306,6,7,52
307,9,7,79
308,9,8,80
309,6,7,52
310,9,7,79
311,9,7,79
312,9,7,79
313,9,7,79
314,9,8,80
315,9,8,80
316,9,7,79
317,9,8,80
318,6,8,53
319,6,8,53
320,6,7,52
321,6,7,52
322,6,7,52
323,6,7,52
324,6,7,52
325,6,8,53
326,6,7,52
327,6,7,52
328,6,7,52
329,6,7,52
330,9,7,79
331,9,7,79
332,9,7,79
333,9,7,79
334,9,7,79
335,9,7,79
336,9,7,79
337,9,8,80
338,9,8,80
339,9,8,80
340,9,8,80
341,9,8,80
342,9,8,80
343,9,7,79
344,9,7,79
345,9,7,79
346,9,7,79
347,9,7,79
348,9,7,79
349,9,7,79
350,9,8,80
351,9,9,81
352,9,8,80
353,9,8,80
354,6,8,53
355,6,8,53
356,6,7,52
357,9,7,79
358,9,7,79
359,9,8,80
360,6,8,53
361,6,8,53
362,6,8,53
363,6,8,53
364,6,8,53
365,9,7,79
366,9,7,79
367,9,7,79
368,9,7,79
369,9,7,79
370,9,7,79
371,9,7,79
372,6,7,52
373,6,7,52
374,6,7,52
375,6,7,52
376,6,7,52
377,6,7,52
378,6,7,52
379,6,7,52
380,6,7,52
381,6,7,52
382,9,7,79
383,9,7,79
384,9,7,79
385,9,7,79
386,9,7,79
387,9,7,79
388,9,7,79
389,9,7,79
390,9,7,79
391,9,7,79
392,9,7,79
393,9,7,79
394,9,7,79
395,9,7,79
396,9,7,79
397,9,7,79
398,9,7,79
399,9,7,79
400,9,7,79
401,9,7,79
402,9,7,79
403,6,7,52
404,6,7,52
405,9,8,80
406,6,7,52
407,6,7,52
408,6,7,52
409,6,7,52
410,6,7,52
411,6,7,52
412,6,7,52
413,6,7,52
414,6,7,52
415,6,8,53
416,6,7,52
417,6,7,52
418,9,8,80
419,9,8,80
420,9,8,80
421,9,8,80
422,9,8,80
423,9,8,80
424,9,8,80
425,9,8,80
426,9,8,80
427,9,8,80
428,9,7,79
429,9,7,79
430,9,7,79
431,9,7,79
432,9,7,79
433,9,7,79
434,9,7,79
435,9,7,79
436,9,7,79
437,9,7,79
438,9,7,79
439,9,7,79
440,9,7,79
441,9,7,79
442,9,7,79
443,6,7,52
444,6,7,52
445,6,7,52
446,6,7,52
447,9,7,79
448,9,7,79
449,9,8,80
450,9,7,79
451,9,7,79
452,9,7,79
453,9,7,79
454,9,7,79
455,9,7,79
456,9,7,79
457,9,7,79
458,9,7,79
459,9,7,79
460,6,7,52
461,6,7,52
462,6,7,52
463,6,7,52
464,6,7,52
465,9,7,79
