frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,8,8,71
4,8,8,71
5,8,8,71
6,8,7,70
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,4,76
16,9,4,76
17,6,4,49
18,6,4,49
19,9,7,79
20,9,7,79
21,8,8,71
22,8,7,70
23,8,7,70
24,8,7,70
25,8,7,70
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,5,5,41
46,5,5,41
47,5,5,41
48,5,5,41
49,5,5,41
50,5,5,41
51,8,5,68
52,8,5,68
53,8,5,68
54,8,7,70
55,8,7,70
56,8,7,70
57,8,7,70
58,8,7,70
59,8,4,67
60,8,4,67
61,8,7,70
62,8,7,70
63,8,7,70
64,8,7,70
65,8,7,70
66,8,7,70
67,8,7,70
68,8,7,70
69,8,7,70
70,8,7,70
71,8,7,70
72,8,7,70
73,8,7,70
74,8,7,70
75,8,7,70
76,8,7,70
77,8,7,70
78,8,7,70
79,8,7,70
80,8,7,70
81,8,7,70
82,8,7,70
83,8,8,71
84,8,8,71
85,8,8,71
86,8,8,71
87,8,5,68
88,8,5,68
89,8,5,68
90,5,5,41
91,5,5,41
92,5,5,41
93,5,5,41
94,5,5,41
95,5,5,41
96,6,5,50
97,6,5,50
98,6,5,50
99,6,5,50
100,6,5,50
101,6,5,50
102,6,5,50
103,6,5,50
104,6,5,50
105,6,4,49
106,6,4,49
107,6,7,52
108,9,7,79
109,9,7,79
110,9,7,79
111,9,7,79
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,9,7,79
118,9,7,79
119,9,7,79
120,9,7,79
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,8,7,70
129,8,7,70
130,8,7,70
131,8,7,70
132,8,7,70
133,8,7,70
134,8,7,70
135,8,7,70
136,8,8,71
137,8,7,70
138,8,7,70
139,8,7,70
140,9,4,76
141,9,4,76
142,9,4,76
143,9,4,76
144,9,4,76
145,9,4,76
146,9,4,76
147,9,4,76
148,9,4,76
149,9,4,76
150,8,4,67
151,8,4,67
152,8,7,70
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,9,72
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,8,71
171,8,8,71
172,8,8,71
173,8,8,71
174,8,8,71
175,8,8,71
176,8,8,71
177,8,7,70
178,8,7,70
179,8,7,70
180,8,7,70
181,8,7,70
182,8,7,70
183,8,7,70
184,8,4,67
185,8,4,67
186,8,4,67
187,8,4,67
188,8,4,67
189,8,4,67
190,8,4,67
191,8,4,67
192,8,4,67
193,8,4,67
194,8,4,67
195,8,7,70
196,8,8,71
197,8,8,71
198,8,7,70
199,8,8,71
200,8,8,71
201,8,8,71
202,8,8,71
203,8,8,71
204,8,8,71
205,8,8,71
206,8,5,68
207,8,5,68
208,5,5,41
209,5,5,41
210,5,5,41
211,5,5,41
212,5,5,41
213,8,5,68
214,8,5,68
215,8,5,68
216,8,5,68
217,8,5,68
218,8,5,68
219,8,8,71
220,8,8,71
221,8,8,71
222,8,8,71
223,8,8,71
224,8,8,71
225,8,8,71
226,8,8,71
227,8,8,71
228,8,8,71
229,8,8,71
230,5,5,41
231,5,5,41
232,5,5,41
233,5,5,41
234,5,5,41
235,5,5,41
236,5,5,41
237,5,5,41
238,5,5,41
239,5,5,41
240,5,5,41
241,5,5,41
242,5,5,41
243,5,5,41
244,8,8,71
245,8,8,71
246,9,7,79
247,9,7,79
248,9,7,79
249,9,7,79
250,6,7,52
251,6,4,49
252,6,4,49
253,6,4,49
254,6,4,49
255,6,4,49
256,6,4,49
257,6,4,49
258,6,4,49
259,9,4,76
260,9,4,76
261,9,4,76
262,9,4,76
263,9,4,76
264,6,4,49
265,6,4,49
266,9,4,76
267,9,7,79
268,9,7,79
269,8,7,70
270,9,7,79
271,9,7,79
272,9,7,79
273,9,7,79
274,9,7,79
275,9,7,79
276,9,7,79
277,9,7,79
278,8,7,70
279,8,7,70
280,8,4,67
281,8,4,67
282,8,4,67
283,8,4,67
284,8,4,67
285,8,4,67
286,8,4,67
287,8,4,67
288,8,4,67
289,8,4,67
290,8,4,67
291,8,4,67
292,8,4,67
293,8,4,67
294,8,5,68
295,5,5,41
296,5,5,41
297,5,5,41
298,5,5,41
299,5,5,41
300,8,8,71
301,8,8,71
302,8,8,71
303,8,8,71
304,8,8,71
305,8,8,71
