frame_idx,l_label,r_label,label
0,5,7,43
1,5,7,43
2,5,4,40
3,5,4,40
4,5,4,40
5,5,4,40
6,5,4,40
7,5,4,40
8,8,4,67
9,9,4,76
10,9,4,76
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,8,7,70
18,8,7,70
19,8,7,70
20,8,7,70
21,8,8,71
22,8,8,71
23,8,8,71
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,5,68
39,5,5,41
40,5,5,41
41,5,5,41
42,5,4,40
43,6,4,49
44,6,4,49
45,6,4,49
46,6,4,49
47,9,4,76
48,9,4,76
49,9,7,79
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,7,79
60,8,7,70
61,8,7,70
62,8,7,70
63,8,7,70
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,7,70
69,8,7,70
70,8,7,70
71,8,7,70
72,8,7,70
73,8,7,70
74,8,7,70
75,8,7,70
76,8,8,71
77,5,5,41
78,5,5,41
79,5,5,41
80,5,4,40
81,5,4,40
82,5,4,40
83,5,4,40
84,8,7,70
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,8,7,70
90,8,7,70
91,8,7,70
92,8,7,70
93,8,7,70
94,8,7,70
95,8,7,70
96,8,7,70
97,8,7,70
98,8,7,70
99,8,8,71
100,8,8,71
101,8,8,71
102,5,5,41
103,5,5,41
104,5,5,41
105,5,5,41
106,8,8,71
107,8,8,71
108,8,8,71
109,8,8,71
110,8,8,71
111,8,8,71
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,9,8,80
117,9,8,80
118,8,8,71
119,8,8,71
120,8,8,71
121,8,7,70
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,9,7,79
129,9,7,79
130,9,7,79
131,9,7,79
132,9,7,79
133,9,7,79
134,9,7,79
135,9,7,79
136,9,7,79
137,9,7,79
138,9,7,79
139,9,7,79
140,9,7,79
141,8,7,70
142,8,7,70
143,8,7,70
144,8,7,70
145,8,7,70
146,8,7,70
147,9,7,79
148,9,7,79
149,9,7,79
150,9,7,79
151,9,7,79
152,9,7,79
153,9,7,79
154,6,7,52
155,6,4,49
156,6,4,49
157,6,4,49
158,6,4,49
159,9,7,79
160,9,7,79
161,9,7,79
162,9,7,79
163,9,7,79
164,9,7,79
165,9,7,79
166,9,7,79
167,9,7,79
168,9,7,79
169,9,7,79
170,8,7,70
171,9,7,79
172,9,7,79
173,9,7,79
174,9,7,79
175,9,7,79
176,9,7,79
177,9,7,79
178,9,7,79
179,9,7,79
180,9,7,79
181,6,4,49
182,6,4,49
183,6,4,49
184,6,4,49
185,6,4,49
186,9,7,79
187,9,7,79
188,9,7,79
189,9,7,79
190,9,7,79
191,9,7,79
192,9,7,79
193,9,7,79
194,9,7,79
195,9,7,79
196,9,7,79
197,9,7,79
198,9,7,79
199,8,7,70
200,8,8,71
201,8,8,71
202,8,7,70
203,8,7,70
204,8,7,70
205,8,7,70
206,8,7,70
207,8,7,70
208,8,7,70
209,8,7,70
210,8,7,70
211,8,7,70
212,8,7,70
213,8,7,70
214,8,7,70
215,8,7,70
216,8,7,70
217,8,7,70
218,8,7,70
219,8,7,70
220,8,7,70
221,8,7,70
222,8,7,70
223,8,7,70
224,8,7,70
225,8,7,70
226,8,8,71
227,8,8,71
228,8,8,71
229,8,8,71
230,8,8,71
231,8,8,71
232,8,8,71
233,8,8,71
234,8,8,71
235,8,7,70
236,8,7,70
237,8,7,70
238,8,7,70
239,8,7,70
240,9,7,79
241,9,7,79
242,6,7,52
243,9,7,79
244,9,7,79
245,9,4,76
280,9,7,79
281,9,7,79
282,9,7,79
283,9,7,79
284,9,7,79
