frame_idx,l_label,r_label,label
0,9,8,80
1,6,4,49
2,6,4,49
3,6,4,49
4,6,4,49
5,6,4,49
6,6,7,52
7,6,7,52
8,6,7,52
9,6,7,52
10,6,7,52
11,6,7,52
12,6,7,52
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,8,8,71
59,8,8,71
60,8,8,71
61,8,5,68
62,8,5,68
63,8,8,71
64,9,8,80
65,9,8,80
66,6,5,50
67,6,4,49
68,6,4,49
69,6,4,49
70,6,7,52
71,6,7,52
72,9,7,79
73,8,7,70
74,8,8,71
75,7,8,62
76,8,8,71
77,9,8,80
78,6,7,52
79,6,7,52
80,6,7,52
81,6,7,52
82,6,4,49
83,6,4,49
84,6,4,49
85,6,4,49
86,6,4,49
87,6,4,49
88,6,4,49
89,9,4,76
90,9,4,76
91,9,1,73
92,6,1,46
93,6,1,46
94,6,1,46
95,9,1,73
96,9,1,73
97,9,1,73
98,9,1,73
99,9,1,73
100,6,1,46
101,9,4,76
102,9,4,76
103,9,4,76
104,9,4,76
105,9,4,76
106,9,4,76
107,9,4,76
108,9,4,76
109,9,4,76
110,9,4,76
111,9,4,76
112,9,4,76
113,9,4,76
114,9,4,76
115,9,4,76
116,9,7,79
117,9,7,79
118,9,7,79
119,9,4,76
120,9,7,79
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,9,7,79
129,9,7,79
130,9,7,79
131,9,4,76
132,9,4,76
133,9,4,76
134,9,4,76
135,9,4,76
136,9,4,76
137,9,4,76
