frame_idx,l_label,r_label,label
0,6,4,49
1,6,4,49
2,6,4,49
3,6,4,49
4,6,4,49
5,6,4,49
6,5,4,40
7,5,4,40
8,6,4,49
9,6,4,49
10,6,4,49
11,6,4,49
12,6,4,49
13,6,4,49
14,6,4,49
15,6,4,49
16,6,4,49
17,6,4,49
18,6,4,49
19,6,4,49
20,6,4,49
21,6,4,49
22,6,4,49
23,6,4,49
24,6,4,49
25,6,4,49
26,6,5,50
27,6,4,49
28,6,4,49
29,6,4,49
30,6,4,49
31,6,4,49
32,6,4,49
33,6,4,49
34,6,4,49
35,6,4,49
36,6,4,49
37,6,4,49
38,6,8,53
39,9,8,80
40,9,8,80
41,9,8,80
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,5,68
64,8,5,68
65,5,5,41
66,5,5,41
67,5,5,41
68,6,5,50
69,6,5,50
70,6,5,50
71,6,5,50
72,6,5,50
73,6,5,50
74,6,5,50
75,6,5,50
76,6,5,50
77,6,5,50
78,6,5,50
79,6,5,50
80,5,5,41
81,8,5,68
82,8,5,68
83,8,5,68
84,5,5,41
85,5,5,41
86,5,5,41
87,5,5,41
88,5,5,41
89,5,5,41
90,5,5,41
91,6,5,50
92,6,5,50
93,6,5,50
94,6,5,50
95,6,5,50
96,6,5,50
97,6,5,50
98,6,5,50
99,6,6,51
100,6,6,51
101,6,6,51
102,8,5,68
103,8,5,68
104,8,5,68
105,8,5,68
106,8,5,68
107,8,5,68
108,8,7,70
109,9,7,79
110,9,7,79
111,9,4,76
112,9,4,76
113,9,4,76
114,9,4,76
115,9,4,76
116,9,4,76
117,9,4,76
118,9,4,76
119,9,4,76
120,5,4,40
121,5,4,40
122,5,4,40
123,5,5,41
124,4,4,31
125,5,4,40
126,5,4,40
127,5,4,40
128,5,4,40
129,5,4,40
130,4,4,31
131,4,1,28
132,5,1,37
133,2,1,10
134,5,1,37
135,2,1,10
136,2,1,10
137,2,1,10
138,2,1,10
139,3,1,19
140,3,1,19
141,3,1,19
142,2,1,10
143,2,1,10
144,2,1,10
145,2,1,10
146,2,1,10
147,2,1,10
148,2,1,10
149,3,1,19
150,3,1,19
151,3,1,19
152,3,1,19
153,3,1,19
154,3,1,19
155,3,1,19
156,2,1,10
157,2,1,10
158,2,1,10
159,2,1,10
160,3,1,19
161,3,1,19
162,3,1,19
