frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,5,77
3,9,5,77
4,9,5,77
5,9,5,77
6,9,4,76
7,9,4,76
8,9,4,76
9,9,4,76
10,9,4,76
11,9,4,76
12,9,4,76
13,9,4,76
14,9,4,76
15,9,4,76
16,9,4,76
17,9,4,76
18,9,4,76
19,9,4,76
20,9,4,76
21,9,5,77
22,9,5,77
23,9,5,77
24,9,5,77
25,9,5,77
26,9,5,77
27,9,5,77
28,9,5,77
29,9,5,77
30,9,5,77
31,9,5,77
32,9,5,77
33,9,5,77
34,9,5,77
35,9,5,77
36,9,5,77
37,9,5,77
38,9,5,77
39,9,5,77
40,9,5,77
41,9,5,77
42,9,5,77
43,9,5,77
44,9,5,77
45,9,5,77
46,9,5,77
47,9,5,77
48,9,5,77
49,9,5,77
50,9,5,77
51,9,5,77
52,9,5,77
53,9,5,77
54,9,5,77
55,9,5,77
56,9,5,77
57,9,5,77
58,9,5,77
59,9,5,77
60,9,5,77
61,9,5,77
62,9,5,77
63,9,5,77
64,9,5,77
65,9,5,77
66,9,5,77
67,9,5,77
68,9,5,77
69,9,5,77
70,9,5,77
71,9,5,77
72,9,5,77
73,9,5,77
74,9,5,77
75,9,5,77
76,9,5,77
77,9,5,77
78,9,5,77
79,9,5,77
80,9,5,77
81,9,5,77
82,9,5,77
83,9,5,77
84,9,5,77
85,9,5,77
86,9,5,77
87,9,5,77
88,9,5,77
89,9,5,77
90,9,5,77
91,9,5,77
92,9,5,77
93,9,5,77
94,9,5,77
95,9,5,77
96,9,5,77
97,9,5,77
98,9,5,77
99,9,5,77
100,9,5,77
101,9,5,77
102,9,5,77
103,9,5,77
104,9,5,77
105,6,4,49
106,6,4,49
107,6,5,50
108,6,5,50
109,6,5,50
110,6,5,50
111,6,5,50
112,6,5,50
113,6,5,50
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,5,5,41
119,5,5,41
120,5,5,41
121,5,5,41
122,5,5,41
123,5,5,41
124,5,8,44
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,8,8,71
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,7,70
148,8,7,70
149,8,7,70
150,8,7,70
151,8,7,70
152,8,7,70
153,8,7,70
154,8,7,70
155,8,7,70
156,8,7,70
157,8,7,70
158,8,7,70
159,8,7,70
160,8,7,70
161,8,7,70
162,8,7,70
163,8,7,70
164,8,7,70
165,8,7,70
166,8,7,70
167,8,7,70
168,8,7,70
169,8,7,70
170,8,8,71
171,8,8,71
172,8,8,71
173,8,8,71
174,8,8,71
175,8,7,70
176,8,7,70
177,8,7,70
178,8,7,70
179,8,7,70
180,8,7,70
181,8,7,70
182,8,8,71
183,8,8,71
184,8,8,71
185,8,8,71
186,8,8,71
187,8,7,70
188,9,7,79
189,6,7,52
190,6,7,52
191,6,4,49
192,6,4,49
193,6,4,49
194,6,4,49
195,6,4,49
196,6,4,49
197,6,4,49
198,6,4,49
199,6,4,49
200,6,4,49
201,6,4,49
202,6,4,49
203,6,7,52
204,6,7,52
205,6,7,52
206,9,7,79
207,9,7,79
208,9,7,79
209,9,7,79
210,9,7,79
211,9,7,79
212,9,7,79
213,9,7,79
214,9,7,79
215,9,7,79
216,9,7,79
217,9,7,79
218,9,7,79
219,9,7,79
220,9,7,79
221,9,7,79
222,9,7,79
223,9,7,79
224,8,7,70
225,8,7,70
226,8,7,70
227,8,7,70
228,8,7,70
229,8,7,70
230,8,7,70
231,8,7,70
232,8,7,70
233,8,7,70
234,8,7,70
235,8,7,70
236,8,7,70
237,8,7,70
238,8,7,70
239,8,7,70
240,8,7,70
241,8,7,70
242,8,7,70
243,8,7,70
244,8,7,70
245,8,7,70
246,8,7,70
247,8,4,67
248,8,5,68
249,8,5,68
250,9,5,77
251,9,7,79
252,9,7,79
253,9,7,79
254,9,7,79
255,9,7,79
256,9,7,79
257,9,7,79
258,9,7,79
259,9,7,79
260,9,7,79
261,9,7,79
262,9,7,79
263,9,7,79
264,9,7,79
265,9,7,79
266,9,7,79
267,9,7,79
268,9,7,79
269,9,7,79
270,9,7,79
271,9,7,79
272,9,7,79
273,9,7,79
274,9,7,79
275,9,7,79
276,9,7,79
277,9,7,79
278,9,7,79
279,9,7,79
280,9,7,79
281,9,7,79
282,9,7,79
283,9,7,79
284,9,7,79
285,9,7,79
286,9,7,79
287,9,7,79
288,9,7,79
289,9,7,79
290,9,7,79
291,9,7,79
292,9,7,79
293,9,7,79
294,9,7,79
295,9,7,79
296,9,7,79
297,9,7,79
298,9,7,79
299,9,7,79
300,9,7,79
301,9,7,79
302,9,7,79
303,9,7,79
304,9,7,79
305,9,7,79
306,9,7,79
307,9,7,79
308,9,7,79
309,9,7,79
310,9,7,79
311,9,4,76
312,9,4,76
313,9,4,76
314,9,4,76
315,9,4,76
316,9,4,76
317,9,4,76
318,9,4,76
319,9,4,76
320,9,4,76
321,9,4,76
322,9,4,76
323,9,4,76
324,9,4,76
325,9,4,76
326,9,4,76
327,9,4,76
328,9,4,76
329,9,4,76
330,9,4,76
331,9,4,76
332,9,4,76
333,9,4,76
334,9,4,76
335,9,4,76
336,9,4,76
337,9,4,76
338,9,4,76
339,9,4,76
340,9,4,76
341,9,4,76
342,9,7,79
343,9,7,79
344,9,7,79
345,9,7,79
346,9,7,79
347,9,7,79
348,9,7,79
349,9,7,79
350,9,7,79
351,9,7,79
352,9,7,79
353,9,7,79
354,9,7,79
355,9,7,79
356,9,7,79
357,9,7,79
358,9,7,79
359,9,7,79
360,9,7,79
361,9,7,79
362,9,7,79
363,9,7,79
364,9,7,79
365,9,8,80
366,9,8,80
367,9,8,80
368,9,8,80
369,9,8,80
370,6,7,52
371,6,7,52
372,6,4,49
373,6,4,49
374,6,7,52
375,6,7,52
376,6,7,52
377,6,7,52
378,6,8,53
379,9,7,79
380,9,7,79
381,9,7,79
382,9,7,79
383,9,8,80
384,9,8,80
385,8,8,71
386,9,7,79
387,9,7,79
388,9,7,79
389,9,7,79
390,9,7,79
391,9,7,79
392,9,7,79
393,9,7,79
394,9,7,79
395,9,7,79
396,9,7,79
397,9,7,79
398,9,8,80
399,9,8,80
400,9,8,80
401,9,5,77
402,9,5,77
403,9,5,77
404,9,5,77
405,9,5,77
406,9,5,77
407,9,5,77
408,9,5,77
409,9,5,77
410,9,5,77
411,9,5,77
412,9,8,80
413,9,8,80
414,9,8,80
415,9,8,80
416,9,8,80
417,9,8,80
418,9,7,79
419,9,7,79
420,9,7,79
421,9,7,79
