frame_idx,l_label,r_label,label
0,9,7,79
1,9,7,79
2,9,7,79
3,9,7,79
4,9,7,79
5,9,7,79
6,9,7,79
7,6,8,53
8,5,5,41
9,5,5,41
10,5,5,41
11,5,5,41
12,5,5,41
13,5,5,41
14,5,5,41
15,8,5,68
16,8,8,71
17,8,8,71
18,8,8,71
19,8,8,71
20,8,8,71
21,8,8,71
22,8,8,71
23,8,8,71
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,8,71
69,8,8,71
70,8,8,71
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,7,79
92,6,7,52
93,6,7,52
94,6,7,52
95,6,4,49
96,6,4,49
97,6,4,49
98,6,4,49
99,6,4,49
100,6,4,49
101,9,4,76
102,6,4,49
103,6,4,49
104,6,4,49
105,6,4,49
106,6,5,50
107,6,5,50
108,5,5,41
109,5,5,41
110,5,5,41
111,5,5,41
112,5,5,41
113,5,5,41
114,5,5,41
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,8,8,71
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,8,71
148,8,8,71
149,8,8,71
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,8,71
171,8,8,71
172,8,8,71
173,8,8,71
174,8,8,71
175,8,8,71
176,8,8,71
177,8,8,71
178,8,8,71
179,8,8,71
180,8,8,71
181,8,8,71
182,8,8,71
183,8,8,71
184,8,8,71
185,8,8,71
186,8,8,71
187,8,5,68
188,8,5,68
189,8,4,67
190,8,4,67
191,8,4,67
192,8,4,67
193,8,7,70
194,8,7,70
195,8,7,70
196,8,7,70
197,8,7,70
198,8,7,70
199,8,7,70
200,8,7,70
201,8,7,70
202,8,7,70
203,8,7,70
204,8,7,70
205,8,7,70
206,8,7,70
207,8,7,70
208,8,7,70
209,8,7,70
210,8,7,70
211,8,7,70
212,8,7,70
213,8,7,70
214,8,7,70
215,8,7,70
216,8,7,70
217,8,7,70
218,8,7,70
219,8,7,70
220,8,7,70
221,8,7,70
222,8,7,70
223,8,7,70
224,8,7,70
225,8,7,70
226,8,7,70
