frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,8,80
3,9,8,80
4,9,8,80
5,9,8,80
6,9,8,80
7,9,8,80
8,9,8,80
9,9,8,80
10,9,8,80
11,9,8,80
12,9,8,80
13,9,8,80
14,9,8,80
15,9,8,80
16,9,8,80
17,9,8,80
18,9,8,80
19,9,8,80
20,9,8,80
21,9,8,80
22,9,8,80
23,9,8,80
24,9,8,80
25,9,8,80
26,9,8,80
27,9,8,80
28,9,8,80
29,9,8,80
30,9,8,80
31,9,8,80
32,9,8,80
33,9,8,80
34,9,8,80
35,9,8,80
36,9,8,80
37,9,8,80
38,9,8,80
39,9,8,80
40,9,8,80
41,9,8,80
42,9,8,80
43,9,8,80
44,9,8,80
45,9,8,80
46,9,8,80
47,9,8,80
48,9,8,80
49,9,8,80
50,9,8,80
51,9,8,80
52,9,8,80
53,9,8,80
54,9,8,80
55,9,8,80
56,9,8,80
57,9,8,80
58,9,8,80
59,9,8,80
60,9,8,80
61,9,8,80
62,9,8,80
63,9,8,80
64,9,8,80
65,9,8,80
66,9,8,80
67,9,8,80
68,9,8,80
69,9,8,80
70,9,8,80
71,9,8,80
72,9,8,80
73,9,8,80
74,9,8,80
75,9,8,80
76,9,8,80
77,9,8,80
78,9,8,80
79,9,8,80
80,9,8,80
81,9,8,80
82,9,8,80
83,9,8,80
84,9,8,80
85,9,8,80
86,9,8,80
87,9,8,80
88,9,8,80
89,9,8,80
90,9,8,80
91,9,8,80
92,9,8,80
93,9,8,80
94,9,8,80
95,9,8,80
96,9,8,80
97,9,8,80
98,9,8,80
99,9,8,80
100,9,8,80
101,9,8,80
102,9,8,80
103,9,8,80
104,9,8,80
105,9,8,80
106,9,8,80
107,9,8,80
108,9,8,80
109,9,8,80
110,9,8,80
111,9,8,80
112,9,8,80
113,9,8,80
114,9,8,80
115,9,8,80
116,9,8,80
117,9,8,80
118,9,8,80
119,9,8,80
120,9,8,80
121,9,8,80
122,9,8,80
123,9,8,80
124,9,8,80
125,9,8,80
126,9,8,80
127,9,8,80
128,9,8,80
129,9,8,80
130,9,8,80
131,9,8,80
132,9,7,79
133,9,7,79
134,9,7,79
135,9,7,79
136,9,7,79
137,9,7,79
138,9,7,79
139,9,7,79
140,9,7,79
141,9,7,79
142,9,7,79
143,9,7,79
144,9,7,79
145,9,7,79
146,9,7,79
147,9,7,79
148,9,7,79
149,9,7,79
150,9,7,79
151,9,7,79
152,9,7,79
153,9,7,79
154,9,7,79
155,9,7,79
156,9,7,79
157,9,7,79
158,9,7,79
159,9,7,79
160,9,7,79
161,9,7,79
162,9,7,79
163,9,7,79
164,9,7,79
165,9,7,79
166,9,7,79
167,9,7,79
168,9,7,79
169,9,7,79
170,9,7,79
171,9,4,76
172,9,4,76
173,9,4,76
174,9,4,76
175,8,4,67
176,9,4,76
177,9,7,79
178,9,7,79
179,9,7,79
180,9,7,79
181,9,7,79
182,9,7,79
183,9,7,79
184,9,7,79
185,9,7,79
186,9,7,79
187,9,7,79
188,9,7,79
189,9,7,79
190,9,7,79
191,9,7,79
192,9,7,79
193,9,7,79
194,9,7,79
195,9,7,79
196,9,7,79
197,9,4,76
198,9,4,76
199,9,4,76
200,9,4,76
201,9,4,76
202,9,4,76
203,9,4,76
204,9,4,76
205,9,4,76
206,9,4,76
207,9,4,76
208,9,4,76
209,9,4,76
210,9,4,76
211,9,4,76
212,9,4,76
213,9,4,76
214,9,4,76
215,9,4,76
216,9,4,76
217,9,7,79
218,9,7,79
219,9,7,79
220,9,8,80
221,9,9,81
222,9,9,81
223,9,9,81
224,9,9,81
225,9,9,81
226,9,9,81
227,9,8,80
228,9,8,80
229,9,8,80
230,9,8,80
231,9,8,80
232,9,7,79
233,9,8,80
234,9,8,80
235,9,8,80
236,9,8,80
237,9,8,80
238,9,8,80
239,9,8,80
240,9,7,79
241,9,7,79
242,9,7,79
243,9,7,79
244,9,7,79
245,9,7,79
246,9,8,80
247,9,8,80
248,9,7,79
249,9,7,79
250,9,7,79
251,9,7,79
252,9,7,79
253,9,7,79
254,9,8,80
255,9,8,80
256,9,8,80
257,9,8,80
258,9,8,80
259,9,8,80
260,9,8,80
261,9,8,80
262,9,8,80
263,9,7,79
264,9,7,79
265,9,7,79
266,9,7,79
267,9,7,79
268,9,7,79
269,9,4,76
270,6,4,49
271,6,4,49
272,6,4,49
273,6,4,49
274,6,4,49
275,6,5,50
276,6,8,53
277,6,8,53
278,9,8,80
279,9,8,80
280,9,7,79
281,9,7,79
282,9,8,80
283,9,8,80
284,9,8,80
285,9,8,80
286,9,8,80
287,9,8,80
288,9,8,80
289,9,8,80
290,9,7,79
291,9,7,79
292,9,7,79
293,9,7,79
294,9,7,79
295,9,7,79
296,9,7,79
297,9,7,79
298,9,8,80
299,9,8,80
300,9,8,80
301,9,8,80
302,9,8,80
303,9,8,80
304,9,8,80
305,9,8,80
306,8,8,71
307,8,7,70
308,8,7,70
309,8,7,70
310,7,4,58
311,7,4,58
312,7,4,58
313,7,7,61
314,7,7,61
315,7,7,61
316,7,7,61
317,7,7,61
318,7,7,61
319,7,7,61
320,7,7,61
321,7,7,61
322,7,7,61
323,7,7,61
324,7,7,61
325,7,7,61
326,8,7,70
327,9,7,79
328,7,7,61
329,7,7,61
330,7,7,61
331,7,7,61
332,7,7,61
333,7,7,61
334,7,7,61
335,7,7,61
336,7,7,61
337,7,7,61
338,7,7,61
339,7,7,61
340,4,4,31
341,4,4,31
342,4,4,31
343,4,4,31
344,4,4,31
345,4,4,31
346,4,4,31
347,4,4,31
348,4,2,29
349,4,4,31
350,4,4,31
351,4,4,31
352,4,4,31
353,4,4,31
354,4,4,31
355,4,4,31
356,4,4,31
357,4,4,31
358,4,4,31
359,4,4,31
360,4,4,31
361,4,4,31
362,4,4,31
363,4,4,31
364,4,4,31
365,4,4,31
366,4,4,31
367,4,4,31
368,4,4,31
369,4,4,31
370,4,4,31
371,5,4,40
372,5,4,40
373,5,5,41
374,5,5,41
375,5,5,41
376,5,5,41
377,5,5,41
378,5,5,41
379,5,5,41
380,5,5,41
381,5,5,41
382,5,5,41
383,5,5,41
384,8,5,68
385,8,8,71
386,8,8,71
387,8,8,71
388,8,8,71
389,8,8,71
390,8,8,71
391,8,8,71
392,8,8,71
393,8,8,71
394,8,8,71
395,8,8,71
396,8,8,71
397,8,8,71
398,8,8,71
399,8,8,71
400,8,8,71
401,8,8,71
402,8,8,71
403,8,8,71
404,8,8,71
405,8,8,71
406,8,8,71
407,8,8,71
408,8,8,71
409,8,8,71
410,8,8,71
411,8,8,71
412,8,8,71
413,8,8,71
414,8,8,71
415,8,8,71
416,8,8,71
417,8,8,71
418,8,8,71
419,8,8,71
420,8,8,71
421,8,8,71
