frame_idx,l_label,r_label,label
0,6,7,52
1,6,8,53
2,6,8,53
3,6,8,53
4,6,8,53
5,6,8,53
6,6,8,53
7,6,8,53
8,6,8,53
9,6,8,53
10,6,8,53
11,6,8,53
12,6,8,53
13,6,7,52
14,6,7,52
15,6,7,52
16,6,7,52
17,6,7,52
18,6,7,52
19,6,7,52
20,6,7,52
21,6,7,52
22,6,7,52
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,7,79
60,9,4,76
61,9,4,76
62,9,4,76
63,9,4,76
64,9,4,76
65,9,4,76
66,9,4,76
67,9,4,76
68,6,4,49
69,6,4,49
70,6,4,49
71,6,4,49
72,6,4,49
73,6,4,49
74,6,4,49
75,6,4,49
76,6,4,49
77,6,4,49
78,6,4,49
79,6,4,49
80,6,4,49
81,9,4,76
82,9,4,76
83,9,4,76
84,9,4,76
85,6,1,46
86,6,1,46
87,6,1,46
88,2,2,11
89,1,2,2
92,-2,-2,-29
93,-2,-2,-29
94,-2,-2,-29
95,-2,-2,-29
96,-2,-2,-29
98,-2,-2,-29
117,-5,-5,-59
118,-2,-2,-29
126,-2,-2,-29
127,-2,-2,-29
128,-2,-2,-29
129,-2,-2,-29
130,-2,-2,-29
133,-2,-2,-29
134,-2,-2,-29
135,-2,-2,-29
155,-17,-17,-179
156,-14,-14,-149
157,-14,-14,-149
158,-14,-14,-149
159,-14,-14,-149
160,-14,-14,-149
161,-14,-14,-149
162,-14,-14,-149
163,-14,-14,-149
164,-14,-14,-149
165,-14,-14,-149
166,-14,-14,-149
167,-14,-14,-149
168,-14,-14,-149
169,-14,-14,-149
171,-20,-20,-209
172,-20,-20,-209
173,-17,-17,-179
174,-17,-17,-179
175,-17,-17,-179
176,-17,-17,-179
177,-17,-17,-179
178,-17,-17,-179
179,-17,-17,-179
180,-17,-17,-179
181,-17,-17,-179
182,-17,-17,-179
183,-17,-17,-179
184,-14,-14,-149
185,-17,-17,-179
186,-17,-17,-179
187,-17,-17,-179
188,-17,-17,-179
189,-20,-20,-209
190,-20,-20,-209
191,-17,-17,-179
192,-17,-17,-179
193,-17,-17,-179
194,-17,-17,-179
195,-20,-20,-209
196,-20,-20,-209
197,-17,-17,-179
198,-17,-17,-179
199,-20,-20,-209
200,-20,-20,-209
202,3,3,21
208,1,1,1
209,1,1,1
210,1,1,1
211,1,1,1
212,1,3,3
213,1,3,3
214,1,3,3
215,1,1,1
216,1,1,1
217,1,1,1
218,1,1,1
219,1,1,1
220,1,1,1
221,1,1,1
222,1,1,1
223,1,1,1
224,1,1,1
225,1,1,1
226,1,1,1
227,1,1,1
228,1,1,1
229,1,1,1
230,1,3,3
231,1,1,1
232,1,1,1
233,1,2,2
234,3,3,21
245,6,1,46
246,6,1,46
247,6,1,46
248,6,1,46
249,6,1,46
250,6,1,46
251,6,1,46
252,6,1,46
253,6,1,46
254,6,1,46
255,6,1,46
256,6,1,46
257,6,1,46
258,6,1,46
259,6,1,46
260,6,1,46
261,6,1,46
262,6,1,46
263,6,1,46
264,6,1,46
265,6,1,46
266,6,1,46
267,6,1,46
268,6,1,46
269,6,1,46
270,6,1,46
271,6,1,46
272,6,1,46
273,6,1,46
274,6,1,46
275,6,1,46
276,6,1,46
277,6,1,46
278,6,1,46
279,6,1,46
280,6,1,46
281,6,1,46
282,6,1,46
283,6,1,46
284,6,1,46
285,6,1,46
286,6,1,46
287,5,1,37
288,5,1,37
289,5,1,37
290,5,1,37
291,5,1,37
292,5,1,37
293,5,1,37
294,6,1,46
295,5,1,37
296,6,1,46
297,5,1,37
298,5,1,37
299,5,1,37
300,5,1,37
301,5,1,37
302,5,1,37
303,5,1,37
304,5,1,37
305,5,1,37
306,5,1,37
307,5,1,37
308,5,1,37
309,5,1,37
310,5,1,37
311,5,1,37
312,5,1,37
313,5,1,37
314,5,1,37
315,5,1,37
316,5,1,37
317,5,1,37
318,5,1,37
319,5,1,37
320,6,1,46
321,6,1,46
322,6,1,46
323,6,1,46
324,6,1,46
325,6,1,46
326,6,1,46
327,6,1,46
328,6,1,46
329,6,1,46
330,6,1,46
331,9,1,73
332,9,1,73
333,9,1,73
334,8,1,64
335,8,1,64
336,8,1,64
337,8,1,64
338,8,1,64
339,8,1,64
340,9,1,73
341,9,1,73
342,8,1,64
343,8,1,64
344,8,1,64
345,8,1,64
346,8,1,64
347,8,1,64
348,8,1,64
349,9,1,73
350,9,1,73
351,9,1,73
352,9,1,73
353,9,1,73
354,9,1,73
355,9,1,73
356,9,1,73
357,9,1,73
358,9,1,73
359,9,1,73
360,9,1,73
361,9,1,73
362,9,1,73
363,9,1,73
364,9,1,73
365,9,1,73
366,9,1,73
367,9,1,73
368,9,1,73
369,9,1,73
370,9,1,73
371,9,4,76
372,9,4,76
373,9,4,76
374,9,4,76
375,9,4,76
376,9,4,76
377,9,4,76
378,9,4,76
379,9,4,76
380,9,4,76
381,9,4,76
382,9,4,76
383,9,4,76
384,9,4,76
385,9,4,76
386,9,4,76
387,9,4,76
388,9,4,76
389,9,4,76
390,9,4,76
391,9,4,76
392,9,4,76
393,9,4,76
394,9,4,76
395,9,4,76
396,9,4,76
397,9,4,76
398,9,4,76
399,9,4,76
400,9,4,76
401,9,4,76
402,9,4,76
403,9,4,76
404,9,4,76
405,9,4,76
406,9,4,76
407,9,4,76
408,9,4,76
409,9,4,76
410,9,4,76
411,9,4,76
412,9,4,76
413,9,1,73
414,9,1,73
415,9,1,73
416,6,1,46
417,6,1,46
418,6,1,46
419,6,1,46
420,6,1,46
421,6,1,46
422,3,1,19
423,3,1,19
424,3,1,19
425,3,1,19
426,3,1,19
427,3,1,19
428,6,1,46
429,6,1,46
430,6,1,46
431,6,1,46
432,6,1,46
433,6,1,46
434,6,4,49
435,6,4,49
436,6,4,49
437,6,4,49
438,6,1,46
439,9,1,73
440,9,1,73
441,9,1,73
442,9,1,73
443,9,1,73
444,9,1,73
445,9,1,73
446,6,1,46
447,6,1,46
448,6,1,46
449,6,1,46
450,9,1,73
451,8,1,64
452,8,1,64
453,8,1,64
454,8,1,64
455,8,1,64
456,8,1,64
457,8,1,64
458,6,1,46
459,6,1,46
460,6,1,46
461,5,1,37
462,5,1,37
463,5,1,37
464,5,1,37
465,5,1,37
466,5,1,37
467,5,1,37
468,5,1,37
469,5,1,37
470,5,1,37
471,5,1,37
472,5,1,37
473,5,1,37
474,5,1,37
475,5,1,37
476,5,1,37
477,5,1,37
478,5,1,37
479,5,1,37
480,5,1,37
481,5,1,37
482,5,1,37
483,5,1,37
484,5,1,37
485,5,1,37
486,5,1,37
487,5,1,37
488,5,1,37
489,6,4,49
490,6,4,49
491,6,4,49
492,6,4,49
493,6,4,49
494,6,4,49
495,6,4,49
496,6,4,49
497,6,4,49
498,6,4,49
499,6,4,49
500,6,4,49
501,6,4,49
502,6,7,52
503,6,7,52
504,6,7,52
505,6,7,52
506,6,7,52
507,6,7,52
508,6,7,52
509,6,7,52
510,6,8,53
511,9,7,79
512,9,8,80
513,9,8,80
514,9,7,79
515,9,7,79
516,9,7,79
517,9,7,79
518,9,7,79
519,9,7,79
520,9,7,79
521,9,7,79
522,9,7,79
523,9,7,79
524,9,7,79
525,9,7,79
526,9,7,79
527,9,7,79
528,9,7,79
529,9,7,79
530,9,7,79
531,9,7,79
532,9,7,79
533,9,7,79
534,9,7,79
535,9,7,79
536,6,7,52
537,6,7,52
538,6,7,52
539,6,7,52
540,6,4,49
541,6,4,49
542,6,7,52
543,6,7,52
544,5,7,43
545,5,7,43
546,5,7,43
547,5,7,43
548,5,7,43
549,5,7,43
550,5,7,43
551,5,8,44
552,5,8,44
553,5,8,44
554,5,8,44
555,5,7,43
556,5,7,43
557,5,7,43
558,5,7,43
559,5,7,43
560,5,7,43
561,5,7,43
562,5,7,43
563,5,7,43
564,5,7,43
565,5,7,43
566,5,7,43
567,3,1,19
568,3,1,19
569,3,2,20
570,3,3,21
571,3,3,21
572,3,2,20
573,3,3,21
574,3,3,21
636,3,1,19
637,1,3,3
638,3,3,21
639,3,3,21
640,1,3,3
641,1,1,1
642,3,3,21
671,1,3,3
672,3,1,19
681,9,7,79
682,9,8,80
683,9,8,80
684,9,8,80
685,9,8,80
686,9,8,80
687,9,8,80
688,9,8,80
689,9,8,80
690,9,8,80
691,9,8,80
692,9,8,80
693,9,8,80
694,9,8,80
695,9,8,80
696,9,8,80
697,9,8,80
698,9,8,80
699,9,8,80
700,9,8,80
701,9,8,80
702,9,8,80
703,9,8,80
704,9,8,80
705,9,8,80
706,9,8,80
707,9,8,80
708,9,8,80
709,9,8,80
710,9,8,80
711,9,8,80
712,9,8,80
713,9,8,80
714,9,8,80
715,9,8,80
716,9,8,80
717,9,8,80
718,9,8,80
719,9,8,80
720,9,7,79
721,9,7,79
722,9,7,79
723,9,7,79
724,9,7,79
725,9,7,79
726,8,7,70
727,8,7,70
728,9,7,79
729,9,4,76
730,9,4,76
731,9,4,76
732,9,4,76
733,9,4,76
734,9,1,73
735,9,1,73
736,9,1,73
737,9,1,73
738,9,4,76
739,9,4,76
740,9,4,76
741,9,4,76
742,9,4,76
743,9,4,76
744,9,4,76
745,9,4,76
746,9,7,79
747,9,7,79
748,9,8,80
749,9,7,79
750,9,7,79
751,9,8,80
752,9,8,80
753,9,8,80
754,9,8,80
755,9,8,80
756,9,8,80
757,9,8,80
758,9,7,79
759,9,7,79
760,9,8,80
761,9,7,79
762,9,7,79
763,6,8,53
764,6,8,53
765,6,8,53
766,6,8,53
767,6,8,53
768,6,8,53
769,6,8,53
770,6,8,53
771,6,8,53
772,6,8,53
773,6,8,53
774,6,8,53
775,6,8,53
776,6,8,53
777,6,5,50
778,6,8,53
779,6,8,53
780,6,8,53
781,6,8,53
782,6,8,53
783,6,8,53
784,6,8,53
785,6,8,53
786,6,8,53
787,6,8,53
788,6,8,53
789,9,8,80
790,9,8,80
791,9,7,79
792,9,7,79
793,9,7,79
794,9,7,79
795,9,7,79
796,9,7,79
797,8,7,70
798,8,4,67
799,5,4,40
800,5,4,40
801,5,4,40
802,5,4,40
803,5,4,40
804,5,4,40
805,5,4,40
806,5,5,41
807,5,5,41
808,5,5,41
809,5,5,41
810,5,5,41
811,5,5,41
812,5,5,41
813,5,5,41
814,5,5,41
815,5,5,41
816,5,5,41
817,5,5,41
818,5,5,41
819,5,5,41
820,5,5,41
821,5,5,41
822,5,5,41
823,5,5,41
824,5,5,41
825,5,5,41
826,5,5,41
827,5,5,41
828,5,5,41
829,5,5,41
830,5,5,41
831,5,5,41
832,5,5,41
833,5,5,41
834,5,5,41
835,5,5,41
836,5,5,41
837,5,5,41
838,5,5,41
839,5,5,41
840,5,5,41
841,5,5,41
842,5,5,41
843,5,5,41
844,5,5,41
845,5,5,41
846,5,4,40
847,6,4,49
848,6,4,49
849,6,4,49
850,6,4,49
851,6,4,49
852,6,4,49
853,6,4,49
854,6,4,49
855,6,4,49
856,6,4,49
857,6,4,49
858,6,4,49
859,6,4,49
860,6,4,49
861,6,4,49
862,6,4,49
863,6,4,49
864,6,4,49
865,6,4,49
866,6,4,49
867,6,4,49
868,6,4,49
869,6,4,49
870,5,4,40
871,5,4,40
872,5,4,40
873,5,4,40
874,5,4,40
875,5,4,40
876,5,4,40
877,4,4,31
878,4,1,28
879,4,1,28
880,4,1,28
881,4,1,28
882,4,1,28
883,4,1,28
884,4,1,28
885,4,1,28
886,4,1,28
887,4,4,31
888,4,4,31
889,4,4,31
890,4,4,31
891,4,4,31
892,4,4,31
893,4,4,31
894,4,4,31
895,4,4,31
896,4,4,31
897,4,4,31
898,4,4,31
899,7,4,58
900,7,4,58
901,7,4,58
902,7,4,58
903,7,4,58
904,7,4,58
905,7,4,58
906,7,4,58
907,7,4,58
908,7,4,58
909,7,7,61
910,8,7,70
911,8,7,70
912,8,8,71
913,8,8,71
914,8,8,71
915,8,8,71
916,8,8,71
917,8,8,71
918,7,8,62
919,8,8,71
920,9,7,79
921,9,7,79
922,9,7,79
923,9,7,79
924,9,7,79
925,9,7,79
926,9,7,79
