frame_idx,l_label,r_label,label
0,6,4,49
1,6,4,49
2,6,4,49
3,6,4,49
4,6,4,49
5,6,4,49
6,6,4,49
7,6,4,49
8,6,4,49
9,6,4,49
10,9,8,80
11,9,8,80
12,8,8,71
13,8,8,71
14,8,8,71
15,8,8,71
16,8,8,71
17,8,8,71
18,8,8,71
19,8,8,71
20,8,8,71
21,8,8,71
22,8,8,71
23,8,8,71
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,7,70
37,8,7,70
38,8,7,70
39,8,7,70
40,8,4,67
41,8,4,67
42,8,4,67
43,8,4,67
44,8,4,67
45,8,4,67
46,8,4,67
47,8,4,67
48,8,4,67
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
64,3,3,21
65,3,3,21
66,3,3,21
84,3,3,21
85,3,3,21
86,3,3,21
87,3,3,21
88,3,3,21
89,3,3,21
107,1,1,1
108,1,1,1
109,1,1,1
130,1,1,1
133,3,3,21
134,3,3,21
135,3,3,21
136,3,3,21
137,3,3,21
138,3,3,21
141,1,1,1
143,1,1,1
176,1,1,1
177,1,1,1
178,1,1,1
179,1,1,1
310,1,3,3
312,2,3,12
314,3,3,21
315,3,3,21
316,3,2,20
364,7,4,58
365,4,4,31
366,4,4,31
367,4,4,31
368,4,4,31
369,4,4,31
370,4,4,31
371,4,4,31
372,4,4,31
373,4,4,31
374,4,4,31
375,4,4,31
376,4,4,31
377,7,4,58
378,7,4,58
379,7,4,58
380,8,4,67
381,8,4,67
382,7,4,58
383,7,4,58
384,4,4,31
385,4,4,31
386,4,4,31
387,4,4,31
388,4,4,31
389,4,4,31
390,4,4,31
391,4,4,31
392,4,4,31
393,4,4,31
394,4,4,31
395,4,4,31
396,4,4,31
397,4,4,31
398,4,4,31
399,4,4,31
400,4,4,31
401,4,4,31
402,4,4,31
403,4,4,31
404,4,4,31
405,4,4,31
406,4,4,31
407,4,4,31
408,4,4,31
409,4,4,31
410,4,4,31
411,4,4,31
412,4,4,31
413,4,4,31
414,4,4,31
415,4,4,31
416,4,4,31
417,4,4,31
418,4,4,31
419,4,4,31
420,4,4,31
421,4,4,31
422,4,4,31
423,4,4,31
424,7,4,58
425,8,4,67
426,9,4,76
427,8,4,67
428,8,4,67
429,8,4,67
430,4,4,31
431,4,4,31
432,4,4,31
433,4,4,31
434,7,4,58
435,4,4,31
436,4,4,31
437,4,4,31
438,4,4,31
439,7,4,58
440,1,1,1
