frame_idx,l_label,r_label,label
0,8,7,70
1,8,7,70
2,8,7,70
3,8,7,70
4,8,8,71
5,8,8,71
6,8,7,70
7,8,7,70
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,6,4,49
44,6,4,49
45,6,4,49
46,6,4,49
47,6,4,49
48,6,4,49
49,6,4,49
50,6,4,49
51,6,4,49
52,6,4,49
53,6,4,49
54,6,4,49
55,6,4,49
56,6,4,49
57,6,4,49
58,6,4,49
59,6,4,49
60,6,4,49
61,6,4,49
62,6,4,49
63,6,4,49
64,6,4,49
65,6,4,49
66,6,4,49
67,6,4,49
68,6,4,49
69,6,4,49
70,6,4,49
71,6,4,49
72,6,4,49
73,6,4,49
74,6,4,49
75,6,4,49
76,6,4,49
77,6,1,46
78,3,1,19
79,3,1,19
80,6,1,46
81,6,1,46
82,6,1,46
83,6,1,46
84,6,1,46
85,3,1,19
86,3,1,19
87,3,1,19
88,3,1,19
89,3,1,19
90,3,1,19
91,3,1,19
92,6,1,46
93,6,4,49
94,6,4,49
95,6,4,49
96,6,4,49
97,6,4,49
98,6,4,49
99,6,4,49
100,6,4,49
101,6,4,49
102,6,4,49
103,6,4,49
104,6,4,49
105,6,4,49
106,6,4,49
107,6,4,49
108,6,4,49
109,6,4,49
110,5,5,41
111,8,8,71
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,4,67
132,8,4,67
133,8,4,67
134,8,4,67
135,8,4,67
136,8,4,67
137,8,4,67
138,8,5,68
139,8,5,68
140,8,5,68
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,5,68
148,8,5,68
149,8,5,68
150,8,4,67
151,8,4,67
152,8,4,67
153,8,4,67
154,8,4,67
155,8,4,67
156,8,4,67
157,8,4,67
158,8,4,67
159,8,4,67
160,8,4,67
161,8,4,67
162,8,4,67
163,8,4,67
164,8,4,67
165,7,4,58
166,7,4,58
167,8,4,67
168,8,4,67
169,8,4,67
170,8,4,67
171,8,4,67
172,8,4,67
173,8,4,67
174,8,4,67
175,8,4,67
176,8,4,67
177,8,4,67
178,8,4,67
179,8,4,67
180,8,4,67
181,8,4,67
182,8,4,67
183,8,4,67
184,8,4,67
185,8,4,67
186,8,4,67
187,8,4,67
188,8,4,67
189,8,4,67
190,8,4,67
191,8,4,67
192,8,4,67
193,8,4,67
194,8,4,67
195,8,4,67
196,8,7,70
197,8,7,70
198,8,7,70
199,8,7,70
200,8,7,70
