frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,8,8,71
4,8,8,71
5,8,8,71
6,8,8,71
7,8,8,71
8,8,8,71
9,8,8,71
10,8,8,71
11,8,8,71
12,8,8,71
13,8,8,71
14,8,8,71
15,8,8,71
16,8,8,71
17,8,8,71
18,8,8,71
19,8,8,71
20,8,8,71
21,8,8,71
22,8,8,71
23,8,8,71
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,8,71
69,8,8,71
70,8,8,71
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,8,8,71
76,8,8,71
77,8,8,71
78,8,8,71
79,8,8,71
80,8,8,71
81,8,8,71
82,8,8,71
83,8,8,71
84,8,8,71
85,8,8,71
86,8,8,71
87,8,8,71
88,8,8,71
89,8,8,71
90,8,8,71
91,8,8,71
92,8,8,71
93,8,8,71
94,8,8,71
95,8,8,71
96,8,8,71
97,8,8,71
98,8,8,71
99,8,8,71
100,8,8,71
101,8,8,71
102,8,8,71
103,8,8,71
104,8,8,71
105,8,8,71
106,8,8,71
107,8,8,71
108,8,8,71
109,8,8,71
110,8,8,71
111,8,8,71
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,9,7,79
135,9,7,79
136,9,7,79
137,9,4,76
138,9,4,76
139,9,4,76
140,9,7,79
141,9,4,76
142,9,7,79
143,9,7,79
144,9,7,79
145,9,7,79
146,9,7,79
147,9,7,79
148,9,7,79
149,9,7,79
150,9,7,79
151,9,7,79
152,9,7,79
153,9,7,79
154,9,7,79
155,9,7,79
156,9,7,79
157,9,7,79
158,9,7,79
159,9,7,79
160,9,7,79
161,9,7,79
162,9,7,79
163,9,7,79
164,9,7,79
165,9,7,79
166,9,7,79
167,9,7,79
168,9,7,79
169,9,7,79
170,9,7,79
171,9,7,79
172,9,7,79
173,9,4,76
174,9,4,76
175,9,4,76
176,9,4,76
177,9,4,76
178,9,7,79
179,9,7,79
180,9,7,79
181,9,7,79
182,9,7,79
183,9,7,79
184,9,7,79
185,9,7,79
186,9,7,79
187,9,7,79
188,9,7,79
189,9,7,79
190,9,7,79
191,9,7,79
192,9,7,79
193,9,7,79
194,9,7,79
195,9,7,79
196,9,7,79
197,9,7,79
198,9,7,79
199,9,7,79
200,9,7,79
201,8,8,71
202,8,8,71
203,8,8,71
204,8,8,71
205,8,8,71
206,8,8,71
207,8,8,71
208,8,8,71
209,8,8,71
210,8,8,71
211,8,8,71
212,8,8,71
213,8,8,71
214,8,8,71
215,8,8,71
216,8,8,71
217,8,8,71
218,8,8,71
219,8,8,71
220,8,8,71
221,8,8,71
222,8,8,71
223,8,8,71
224,8,8,71
225,8,8,71
226,8,8,71
227,8,8,71
228,8,8,71
229,8,8,71
230,8,8,71
231,8,8,71
232,8,8,71
233,8,8,71
234,8,8,71
235,8,8,71
236,8,8,71
237,8,8,71
238,8,8,71
239,8,8,71
240,8,8,71
241,8,8,71
242,8,8,71
243,8,8,71
244,8,8,71
245,8,8,71
246,8,8,71
247,8,8,71
248,8,8,71
249,8,8,71
250,8,8,71
251,8,8,71
252,8,8,71
253,8,8,71
254,8,8,71
255,8,8,71
256,8,8,71
257,8,8,71
258,8,8,71
259,8,8,71
260,8,8,71
261,8,8,71
262,8,8,71
263,8,8,71
264,8,8,71
265,8,8,71
266,8,8,71
267,8,8,71
268,8,8,71
269,8,8,71
270,8,8,71
271,8,8,71
272,8,8,71
273,8,8,71
274,8,7,70
275,8,7,70
276,8,7,70
277,8,7,70
278,8,7,70
279,8,7,70
280,8,8,71
281,8,8,71
282,8,8,71
283,8,8,71
284,8,8,71
285,8,8,71
286,8,8,71
287,8,8,71
288,8,8,71
289,8,8,71
290,8,8,71
291,8,8,71
292,8,8,71
293,8,8,71
294,8,8,71
295,8,5,68
296,8,5,68
297,8,5,68
298,8,5,68
299,8,5,68
300,8,5,68
301,8,4,67
302,8,4,67
303,8,4,67
304,8,4,67
305,8,4,67
