frame_idx,l_label,r_label,label
4,8,5,68
5,8,8,71
6,8,8,71
7,8,8,71
8,8,8,71
9,8,8,71
10,8,8,71
11,8,8,71
12,9,8,80
13,9,8,80
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,5,7,43
23,5,4,40
24,5,5,41
25,5,5,41
26,5,5,41
27,5,5,41
28,5,5,41
29,5,5,41
30,5,5,41
31,5,5,41
32,5,5,41
33,5,5,41
34,5,5,41
35,5,5,41
36,5,5,41
37,5,5,41
38,5,5,41
39,5,5,41
40,5,5,41
41,5,5,41
42,5,5,41
43,5,5,41
44,5,5,41
45,5,5,41
46,5,5,41
47,5,5,41
48,5,5,41
49,5,5,41
50,5,5,41
51,5,5,41
52,5,5,41
53,5,5,41
54,5,5,41
55,5,5,41
56,5,5,41
57,5,4,40
58,5,4,40
59,6,4,49
60,6,4,49
61,6,4,49
62,6,4,49
63,6,4,49
64,6,4,49
65,6,4,49
66,6,4,49
67,6,4,49
68,6,4,49
69,6,4,49
70,6,4,49
71,6,4,49
72,6,4,49
73,6,4,49
74,6,4,49
75,6,4,49
76,6,4,49
77,6,4,49
78,6,4,49
79,6,4,49
80,6,4,49
81,6,4,49
82,6,4,49
83,6,4,49
84,6,4,49
85,6,4,49
86,5,4,40
87,5,4,40
88,5,5,41
89,5,5,41
90,5,5,41
91,5,5,41
92,5,5,41
93,5,5,41
94,5,5,41
95,5,5,41
96,5,5,41
97,5,5,41
98,5,5,41
99,5,5,41
100,5,5,41
101,5,5,41
102,5,5,41
103,5,5,41
104,5,5,41
105,5,5,41
106,5,5,41
107,5,5,41
108,5,5,41
109,5,5,41
110,5,5,41
111,5,5,41
112,5,5,41
113,5,5,41
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,5,5,41
119,5,5,41
120,5,5,41
121,5,5,41
122,5,5,41
123,5,5,41
124,5,5,41
125,5,5,41
126,5,5,41
127,5,5,41
128,5,5,41
129,5,5,41
130,5,5,41
131,5,5,41
132,5,5,41
133,5,5,41
