frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,8,80
3,9,8,80
4,9,8,80
5,9,8,80
6,9,7,79
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,5,77
19,9,5,77
20,9,5,77
21,9,5,77
22,9,5,77
23,9,5,77
24,9,5,77
25,9,5,77
26,9,5,77
27,9,5,77
28,9,5,77
29,9,5,77
30,9,5,77
31,9,5,77
32,9,5,77
33,9,5,77
34,9,5,77
35,9,5,77
36,9,5,77
37,9,5,77
38,9,5,77
39,9,5,77
40,9,5,77
41,9,5,77
42,9,5,77
43,9,5,77
44,9,5,77
45,9,5,77
46,9,5,77
47,9,5,77
48,9,5,77
49,9,5,77
50,9,5,77
51,9,5,77
52,9,5,77
53,9,5,77
54,9,5,77
55,9,5,77
56,9,5,77
57,9,5,77
58,9,5,77
59,9,5,77
60,9,5,77
61,9,5,77
62,9,5,77
63,9,5,77
64,9,5,77
65,9,4,76
66,9,4,76
67,9,4,76
68,9,4,76
69,9,4,76
70,9,4,76
71,9,4,76
72,9,4,76
73,9,4,76
74,9,4,76
75,9,4,76
76,9,4,76
77,8,4,67
78,8,4,67
79,8,7,70
80,8,8,71
81,8,8,71
82,8,8,71
83,8,8,71
84,8,8,71
85,8,8,71
86,8,8,71
87,8,8,71
88,8,8,71
89,8,8,71
90,8,8,71
91,8,8,71
92,8,8,71
93,8,8,71
94,8,7,70
95,9,7,79
96,9,7,79
97,9,7,79
98,9,7,79
99,9,7,79
100,9,7,79
101,9,7,79
102,9,7,79
103,9,7,79
104,9,7,79
105,9,7,79
106,9,7,79
107,9,7,79
108,9,7,79
109,9,7,79
110,9,7,79
111,9,7,79
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,8,7,70
118,8,7,70
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,8,8,71
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,8,71
148,8,8,71
149,8,8,71
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,8,71
171,8,8,71
172,8,8,71
173,8,8,71
174,8,8,71
175,8,8,71
176,8,8,71
177,8,8,71
178,8,8,71
179,8,8,71
180,8,8,71
181,8,8,71
182,8,8,71
183,8,8,71
184,8,8,71
185,8,8,71
186,8,8,71
187,8,8,71
188,8,8,71
189,8,8,71
190,8,8,71
191,8,8,71
192,8,8,71
193,8,7,70
194,8,4,67
195,6,4,49
196,9,4,76
197,9,4,76
198,9,4,76
199,6,4,49
200,6,4,49
201,6,4,49
202,6,4,49
203,6,4,49
204,6,4,49
205,9,4,76
206,8,4,67
207,8,8,71
208,8,8,71
209,8,8,71
210,8,8,71
211,8,8,71
212,8,8,71
213,8,8,71
214,8,8,71
215,8,8,71
216,8,8,71
217,8,8,71
218,8,8,71
219,8,8,71
220,8,8,71
221,8,8,71
222,8,8,71
223,8,8,71
224,8,8,71
225,8,8,71
226,8,8,71
227,8,5,68
228,8,5,68
229,8,5,68
230,8,5,68
231,8,5,68
232,8,5,68
233,8,5,68
234,8,5,68
235,8,5,68
236,8,5,68
237,8,5,68
238,8,5,68
239,8,5,68
240,8,5,68
241,8,5,68
242,8,5,68
243,8,5,68
244,8,5,68
245,8,5,68
246,8,5,68
247,8,5,68
248,8,5,68
249,8,5,68
250,8,5,68
251,8,5,68
252,8,5,68
253,8,5,68
254,8,5,68
255,8,5,68
256,8,5,68
257,8,5,68
258,8,5,68
259,8,5,68
260,8,5,68
261,8,5,68
262,8,5,68
263,8,5,68
264,8,5,68
265,8,5,68
266,8,5,68
267,8,5,68
268,8,5,68
269,8,5,68
270,8,5,68
271,8,5,68
272,8,5,68
273,8,5,68
274,8,4,67
275,8,4,67
276,8,4,67
277,8,4,67
278,8,4,67
279,8,4,67
280,8,4,67
281,8,4,67
282,8,4,67
283,8,4,67
284,8,4,67
285,8,4,67
286,8,4,67
287,8,4,67
288,8,4,67
289,8,4,67
290,8,4,67
291,8,4,67
292,8,4,67
293,8,4,67
294,8,4,67
295,8,4,67
296,8,4,67
297,8,4,67
298,8,4,67
299,8,4,67
300,8,4,67
301,8,4,67
302,8,4,67
303,8,4,67
304,8,4,67
305,8,4,67
306,8,4,67
307,8,4,67
308,8,4,67
309,8,4,67
310,8,4,67
311,8,4,67
312,8,4,67
313,8,4,67
314,8,4,67
315,8,4,67
316,8,4,67
317,8,5,68
318,8,5,68
319,8,5,68
320,8,5,68
321,8,5,68
322,8,8,71
323,8,8,71
324,8,8,71
325,8,8,71
326,8,8,71
327,8,8,71
328,8,8,71
329,8,8,71
330,8,8,71
331,8,8,71
332,8,8,71
333,8,8,71
334,8,8,71
335,8,8,71
336,8,8,71
337,8,8,71
338,8,8,71
339,8,8,71
340,8,8,71
341,8,8,71
342,8,5,68
343,8,5,68
344,8,5,68
345,8,5,68
346,8,5,68
347,8,5,68
348,8,5,68
349,8,5,68
350,8,5,68
351,8,5,68
352,8,5,68
353,8,5,68
354,8,5,68
355,8,5,68
356,8,5,68
357,8,5,68
358,8,5,68
359,8,5,68
360,8,5,68
361,8,8,71
362,8,8,71
363,8,8,71
364,8,8,71
365,8,8,71
366,8,8,71
367,8,8,71
368,8,8,71
369,8,8,71
370,8,8,71
371,8,8,71
372,8,8,71
373,8,8,71
374,8,8,71
375,5,5,41
376,5,5,41
377,5,5,41
378,5,5,41
379,5,5,41
380,5,5,41
381,5,5,41
382,5,5,41
383,5,5,41
384,5,5,41
385,5,5,41
386,5,8,44
387,5,8,44
388,5,8,44
389,5,8,44
390,5,8,44
391,5,8,44
392,5,8,44
393,8,8,71
394,8,8,71
395,8,8,71
396,8,8,71
397,8,8,71
398,8,8,71
399,8,8,71
400,8,8,71
401,8,8,71
402,8,8,71
403,8,8,71
404,8,8,71
405,8,8,71
406,8,8,71
407,8,8,71
408,8,8,71
409,8,8,71
410,8,8,71
411,8,7,70
412,8,7,70
413,8,7,70
414,5,7,43
415,5,4,40
416,5,4,40
417,5,4,40
418,5,4,40
419,5,4,40
420,5,4,40
421,6,4,49
