frame_idx,l_label,r_label,label
0,5,5,41
1,5,5,41
2,5,5,41
3,5,4,40
4,6,4,49
5,6,4,49
6,6,4,49
7,6,4,49
8,6,4,49
9,6,4,49
10,6,4,49
11,6,4,49
12,6,4,49
13,6,4,49
14,6,4,49
15,6,4,49
16,6,4,49
17,6,4,49
18,6,4,49
19,6,4,49
20,6,4,49
21,6,4,49
22,6,4,49
23,6,4,49
24,6,4,49
25,6,4,49
26,6,4,49
27,6,4,49
28,6,4,49
29,6,4,49
30,6,4,49
31,9,4,76
32,9,4,76
33,9,4,76
34,9,7,79
35,9,7,79
36,9,4,76
37,9,4,76
38,9,4,76
39,9,4,76
40,9,4,76
41,9,4,76
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,6,7,52
52,6,7,52
53,6,7,52
54,6,7,52
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,7,79
60,9,7,79
61,9,7,79
62,9,7,79
63,9,7,79
64,6,7,52
65,6,7,52
66,6,7,52
67,6,7,52
68,3,7,25
69,6,7,52
70,6,7,52
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,7,79
92,9,7,79
93,9,7,79
94,9,7,79
95,9,7,79
96,9,7,79
97,9,7,79
98,9,7,79
99,9,7,79
100,9,7,79
101,9,4,76
102,9,4,76
103,9,4,76
104,9,4,76
105,9,4,76
106,9,4,76
107,9,4,76
108,9,4,76
109,9,7,79
110,9,7,79
111,9,7,79
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,9,7,79
118,9,7,79
119,9,7,79
120,6,7,52
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,9,7,79
129,9,7,79
130,9,7,79
131,9,7,79
132,9,7,79
133,9,7,79
134,9,7,79
135,9,7,79
136,9,7,79
137,9,7,79
138,9,7,79
139,9,7,79
140,9,7,79
141,9,7,79
142,9,7,79
143,9,7,79
144,9,7,79
145,9,7,79
146,9,7,79
147,9,7,79
148,9,7,79
149,9,7,79
150,9,7,79
151,9,7,79
152,9,7,79
153,9,7,79
154,9,7,79
155,9,7,79
156,9,7,79
157,9,7,79
158,9,7,79
159,9,7,79
160,8,8,71
161,9,7,79
162,6,4,49
163,6,4,49
164,9,4,76
165,9,7,79
166,9,7,79
167,9,7,79
168,9,7,79
169,9,7,79
170,9,7,79
171,9,4,76
172,6,4,49
173,6,4,49
174,6,4,49
175,6,4,49
176,6,4,49
177,6,4,49
178,6,4,49
179,6,4,49
180,6,4,49
181,6,4,49
182,6,7,52
183,6,7,52
184,6,7,52
185,9,7,79
186,8,8,71
187,8,8,71
188,9,7,79
189,9,7,79
190,9,7,79
191,9,7,79
192,9,7,79
193,9,7,79
194,9,7,79
195,9,7,79
196,9,7,79
197,9,7,79
198,9,7,79
199,9,7,79
200,9,7,79
201,9,7,79
202,9,7,79
203,9,7,79
204,9,7,79
205,8,7,70
206,8,7,70
207,8,7,70
208,8,7,70
209,8,7,70
210,8,7,70
211,9,7,79
212,9,7,79
213,9,7,79
214,9,7,79
215,9,7,79
216,9,7,79
217,9,7,79
218,9,7,79
219,9,7,79
220,9,7,79
221,9,7,79
222,9,7,79
223,6,7,52
224,6,7,52
225,6,7,52
226,6,7,52
227,6,7,52
228,6,7,52
229,6,7,52
230,6,7,52
231,6,7,52
232,6,7,52
233,6,7,52
234,6,7,52
235,9,7,79
236,9,7,79
237,9,7,79
238,9,7,79
239,9,7,79
240,9,7,79
241,9,7,79
242,9,7,79
243,9,7,79
244,6,7,52
245,6,7,52
246,6,7,52
247,6,7,52
248,6,7,52
249,6,7,52
250,6,7,52
251,6,7,52
252,6,4,49
253,6,7,52
254,8,7,70
255,8,7,70
256,8,7,70
257,8,7,70
258,8,7,70
259,8,7,70
260,8,7,70
261,8,7,70
262,8,7,70
263,8,7,70
264,8,7,70
265,8,7,70
266,8,7,70
267,8,7,70
268,8,7,70
269,8,7,70
270,8,7,70
271,7,7,61
272,8,7,70
273,8,7,70
274,8,7,70
275,8,8,71
276,8,8,71
277,8,8,71
278,8,8,71
279,8,7,70
280,8,7,70
281,8,7,70
282,8,7,70
283,8,7,70
284,8,7,70
285,9,7,79
286,9,7,79
287,9,7,79
288,9,7,79
289,8,7,70
290,8,7,70
291,9,7,79
292,7,7,61
293,7,8,62
294,7,8,62
295,8,8,71
296,8,8,71
297,8,7,70
298,8,7,70
299,8,8,71
300,9,7,79
301,9,7,79
302,9,7,79
303,9,7,79
304,9,7,79
305,9,7,79
306,9,7,79
307,9,7,79
308,9,7,79
309,9,7,79
310,9,7,79
311,8,8,71
312,8,8,71
313,8,8,71
314,8,8,71
315,8,8,71
316,9,7,79
317,9,7,79
318,9,7,79
319,9,7,79
320,9,7,79
321,9,7,79
322,9,7,79
323,9,7,79
324,9,7,79
325,9,7,79
326,9,7,79
327,9,7,79
328,9,7,79
329,9,7,79
330,6,4,49
331,9,4,76
332,9,4,76
333,9,4,76
334,9,4,76
335,6,4,49
336,6,4,49
337,6,4,49
338,9,7,79
339,9,7,79
340,9,7,79
341,9,7,79
342,9,7,79
343,9,7,79
344,9,7,79
345,9,7,79
346,9,7,79
347,9,7,79
348,9,7,79
349,9,7,79
350,8,7,70
351,8,7,70
352,8,7,70
353,9,7,79
354,9,7,79
355,9,7,79
356,9,7,79
357,9,7,79
358,9,7,79
