frame_idx,l_label,r_label,label
0,8,7,70
1,8,7,70
2,8,7,70
3,8,7,70
4,8,7,70
5,8,7,70
6,8,4,67
7,8,4,67
8,8,4,67
9,8,4,67
10,8,4,67
11,9,4,76
12,9,4,76
13,9,4,76
14,8,4,67
15,8,7,70
16,8,7,70
17,8,7,70
18,8,7,70
19,8,7,70
20,8,7,70
21,8,7,70
22,8,7,70
23,8,7,70
24,8,4,67
25,5,4,40
26,5,4,40
27,5,4,40
28,5,4,40
29,5,4,40
30,5,4,40
31,5,5,41
32,5,5,41
33,5,5,41
34,5,5,41
35,5,5,41
36,5,5,41
37,5,5,41
38,5,5,41
39,5,5,41
40,5,5,41
41,5,5,41
42,5,5,41
43,5,5,41
44,5,5,41
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,8,71
69,8,8,71
70,8,8,71
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,8,8,71
76,8,8,71
77,8,8,71
78,8,8,71
79,8,8,71
80,8,8,71
81,8,8,71
82,8,8,71
83,8,8,71
84,8,8,71
85,8,5,68
86,8,5,68
87,8,4,67
88,8,4,67
89,8,4,67
90,8,4,67
91,8,4,67
92,8,4,67
93,8,4,67
94,8,4,67
95,8,4,67
96,8,4,67
97,8,4,67
98,8,4,67
99,8,4,67
100,8,4,67
101,8,4,67
102,8,4,67
103,8,4,67
104,8,4,67
105,8,4,67
106,8,4,67
107,8,4,67
108,8,4,67
109,8,4,67
110,8,4,67
111,8,4,67
112,8,4,67
113,8,4,67
114,8,4,67
115,8,4,67
116,8,4,67
117,8,4,67
118,8,4,67
119,8,4,67
120,8,4,67
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,5,8,44
129,5,8,44
130,5,8,44
131,8,8,71
132,8,8,71
133,5,8,44
134,5,8,44
135,5,8,44
136,5,8,44
137,5,8,44
138,5,8,44
139,5,8,44
140,5,8,44
141,8,8,71
142,8,8,71
143,8,8,71
144,9,7,79
145,6,4,49
146,6,4,49
147,6,4,49
148,6,4,49
149,6,4,49
150,6,4,49
151,6,4,49
152,6,4,49
153,6,4,49
154,6,4,49
155,6,4,49
156,6,4,49
157,6,4,49
158,6,4,49
159,6,4,49
160,6,4,49
161,6,4,49
162,6,4,49
163,6,4,49
164,6,4,49
165,6,4,49
166,6,4,49
167,6,4,49
168,6,4,49
169,6,4,49
170,6,4,49
171,6,4,49
172,6,4,49
173,6,5,50
174,5,5,41
175,5,5,41
176,8,8,71
177,8,8,71
178,8,8,71
179,5,8,44
180,5,8,44
181,5,8,44
182,5,5,41
183,5,5,41
184,5,5,41
185,5,5,41
186,5,5,41
187,5,5,41
188,5,5,41
189,5,5,41
190,5,5,41
191,5,5,41
192,5,5,41
193,5,5,41
194,5,5,41
195,5,5,41
196,5,8,44
197,8,8,71
198,8,8,71
199,8,8,71
200,8,8,71
