frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,8,80
3,9,8,80
4,9,8,80
5,9,8,80
6,6,5,50
7,6,5,50
8,6,5,50
9,6,5,50
10,6,5,50
11,6,5,50
12,6,5,50
13,6,5,50
14,5,5,41
15,5,5,41
16,5,5,41
17,5,5,41
18,5,5,41
19,5,5,41
20,8,8,71
21,8,8,71
22,8,8,71
23,8,8,71
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,9,8,80
65,9,8,80
66,9,8,80
67,9,8,80
68,8,8,71
69,8,8,71
70,8,8,71
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,8,8,71
76,8,8,71
77,8,8,71
78,8,8,71
79,8,8,71
80,8,8,71
81,8,8,71
82,8,8,71
83,8,8,71
84,8,8,71
85,8,8,71
86,8,8,71
87,8,8,71
88,8,8,71
89,8,8,71
90,8,8,71
91,8,8,71
92,8,8,71
93,8,8,71
94,8,8,71
95,8,8,71
96,8,8,71
97,8,8,71
98,8,8,71
99,8,8,71
100,8,8,71
101,8,8,71
102,8,8,71
103,8,8,71
104,8,8,71
105,8,8,71
106,8,8,71
107,8,8,71
108,8,8,71
109,8,8,71
110,8,8,71
111,8,8,71
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,8,8,71
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,8,71
148,8,8,71
149,8,8,71
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,8,71
428,1,1,1
447,1,1,1
448,1,1,1
449,1,1,1
450,1,1,1
451,1,1,1
452,1,1,1
453,1,1,1
454,1,1,1
455,1,1,1
456,1,1,1
458,5,5,41
459,5,5,41
460,5,5,41
461,5,8,44
462,5,8,44
463,5,8,44
464,5,8,44
465,8,8,71
466,8,8,71
467,8,8,71
468,8,8,71
469,8,8,71
470,8,8,71
471,8,8,71
472,8,8,71
473,8,8,71
474,8,8,71
475,8,8,71
476,8,8,71
477,8,8,71
478,8,8,71
479,8,8,71
480,8,8,71
481,8,8,71
482,8,8,71
483,8,8,71
484,8,8,71
485,8,8,71
486,8,8,71
487,8,8,71
488,8,8,71
489,8,8,71
490,8,8,71
491,8,8,71
492,8,8,71
493,8,8,71
494,8,8,71
495,8,8,71
496,8,8,71
497,8,8,71
498,8,8,71
499,8,8,71
500,8,8,71
501,8,8,71
502,8,8,71
503,8,8,71
504,8,8,71
505,8,8,71
506,8,8,71
507,8,5,68
508,8,5,68
509,8,5,68
510,8,5,68
511,8,5,68
512,8,5,68
513,8,5,68
514,8,5,68
515,8,2,65
516,8,2,65
517,8,2,65
518,8,5,68
519,8,5,68
520,8,5,68
521,8,5,68
522,8,5,68
523,8,5,68
524,8,5,68
525,8,5,68
526,8,5,68
527,8,5,68
528,8,6,69
529,8,6,69
530,8,6,69
531,8,6,69
532,8,9,72
533,8,9,72
534,8,9,72
535,8,9,72
536,8,9,72
537,8,9,72
538,8,9,72
539,8,9,72
540,8,9,72
541,8,9,72
542,8,9,72
543,8,9,72
544,8,9,72
545,8,9,72
546,8,9,72
547,8,9,72
548,8,9,72
549,8,9,72
550,8,9,72
551,8,9,72
552,8,9,72
553,8,9,72
554,8,9,72
555,8,9,72
556,8,9,72
557,8,9,72
558,8,9,72
559,8,9,72
560,8,9,72
561,8,9,72
562,8,9,72
563,8,9,72
564,8,9,72
565,8,9,72
566,8,9,72
567,8,9,72
568,8,9,72
569,8,9,72
570,8,9,72
571,8,9,72
572,8,9,72
573,8,9,72
574,8,9,72
575,8,9,72
576,8,9,72
577,8,9,72
578,8,9,72
579,8,9,72
580,8,9,72
581,8,9,72
582,8,9,72
583,8,9,72
584,8,9,72
585,8,9,72
586,8,9,72
587,8,9,72
588,8,9,72
589,8,9,72
590,8,9,72
591,8,9,72
592,8,9,72
593,8,9,72
594,8,9,72
595,8,9,72
596,8,9,72
597,8,9,72
598,8,9,72
599,8,9,72
600,8,9,72
601,8,9,72
602,8,9,72
603,8,9,72
604,8,9,72
605,8,9,72
606,8,6,69
607,8,6,69
608,8,6,69
609,8,5,68
610,8,5,68
611,8,5,68
612,8,5,68
613,8,5,68
614,8,5,68
615,8,5,68
616,5,5,41
617,5,5,41
618,5,5,41
619,5,5,41
620,5,5,41
621,5,5,41
622,5,5,41
623,5,5,41
624,5,5,41
625,5,5,41
626,5,5,41
627,5,5,41
628,5,5,41
629,5,5,41
630,5,5,41
631,5,5,41
632,5,5,41
633,5,5,41
634,5,5,41
635,5,5,41
636,5,5,41
637,5,5,41
638,5,5,41
639,5,5,41
640,5,5,41
641,5,5,41
642,5,5,41
643,5,5,41
644,5,5,41
645,5,4,40
646,8,4,67
647,8,4,67
648,8,5,68
649,8,5,68
650,8,5,68
651,5,5,41
652,5,5,41
653,5,5,41
654,5,5,41
655,5,5,41
656,5,5,41
657,5,5,41
658,5,5,41
659,8,8,71
660,8,8,71
661,8,8,71
662,8,8,71
663,8,7,70
664,8,7,70
665,8,7,70
666,8,7,70
667,8,7,70
668,8,7,70
669,8,7,70
670,8,7,70
671,8,7,70
672,8,7,70
673,8,8,71
674,8,8,71
675,8,8,71
676,8,8,71
677,8,8,71
678,8,8,71
679,8,7,70
680,8,7,70
681,8,7,70
682,8,7,70
683,8,7,70
684,8,7,70
685,8,7,70
686,8,7,70
687,8,7,70
688,8,7,70
689,8,7,70
690,8,7,70
691,8,7,70
692,8,7,70
693,8,7,70
694,8,8,71
695,8,8,71
696,8,8,71
697,7,8,62
