frame_idx,l_label,r_label,label
0,9,7,79
1,9,7,79
2,9,7,79
3,9,7,79
4,9,7,79
5,9,7,79
6,9,7,79
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,6,7,52
39,6,4,49
40,6,4,49
41,6,4,49
42,6,4,49
43,6,4,49
44,6,4,49
45,6,4,49
46,6,4,49
47,6,4,49
48,9,4,76
49,8,7,70
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,7,79
60,9,7,79
61,9,7,79
62,9,7,79
63,9,7,79
64,9,7,79
65,9,7,79
66,9,7,79
67,9,7,79
68,9,7,79
69,9,7,79
70,9,7,79
71,9,7,79
72,9,7,79
73,9,7,79
74,8,7,70
75,8,7,70
76,8,7,70
77,8,8,71
78,8,7,70
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,7,79
92,9,7,79
93,9,7,79
94,9,7,79
95,9,7,79
96,6,4,49
97,6,4,49
98,6,4,49
99,2,1,10
100,2,2,11
101,5,4,40
102,3,2,20
103,3,4,22
104,3,2,20
105,6,4,49
106,3,2,20
107,3,3,21
108,3,3,21
109,3,2,20
110,3,2,20
185,-2,-2,-29
186,-2,-2,-29
187,-2,-2,-29
188,-2,-2,-29
189,-2,-2,-29
190,-2,-2,-29
196,2,2,11
197,2,2,11
198,2,2,11
199,2,2,11
200,2,2,11
201,2,2,11
202,2,2,11
203,2,2,11
204,2,5,14
205,2,2,11
206,2,5,14
207,2,5,14
208,2,5,14
209,2,5,14
210,2,5,14
211,2,5,14
212,2,5,14
213,2,2,11
214,2,2,11
215,2,2,11
216,2,2,11
217,2,2,11
218,2,2,11
219,2,2,11
220,2,2,11
221,2,2,11
222,2,2,11
223,2,2,11
224,2,2,11
225,2,2,11
226,2,2,11
227,2,2,11
228,2,2,11
229,2,2,11
230,2,2,11
231,2,2,11
232,2,2,11
233,2,2,11
234,2,2,11
235,2,2,11
236,2,2,11
237,2,2,11
238,2,2,11
239,2,2,11
240,2,2,11
241,2,2,11
242,2,2,11
243,2,2,11
244,2,2,11
245,2,2,11
246,2,2,11
247,2,2,11
248,2,2,11
249,2,2,11
250,2,2,11
251,2,2,11
252,2,2,11
253,2,2,11
254,2,2,11
255,2,2,11
256,2,2,11
257,2,2,11
258,2,2,11
259,2,2,11
260,2,2,11
261,2,2,11
262,2,2,11
263,2,2,11
264,2,2,11
265,2,2,11
266,2,2,11
267,2,2,11
268,2,2,11
269,2,2,11
270,2,2,11
271,2,2,11
272,2,1,10
273,2,1,10
274,2,1,10
275,3,1,19
276,3,1,19
277,3,1,19
278,3,1,19
279,3,1,19
280,3,1,19
281,3,1,19
282,3,1,19
283,3,1,19
284,3,1,19
285,2,1,10
286,3,1,19
287,2,1,10
288,2,1,10
289,2,1,10
290,2,1,10
291,3,1,19
292,3,1,19
293,3,1,19
294,3,1,19
295,3,1,19
296,3,1,19
297,3,1,19
298,3,1,19
299,3,1,19
300,3,1,19
301,3,1,19
302,3,1,19
