frame_idx,l_label,r_label,label
16,1,1,1
22,1,1,1
23,1,1,1
31,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
39,4,4,31
40,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,1,1,1
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,1,1,1
77,1,1,1
78,1,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
100,-2,-2,-29
101,-2,-2,-29
102,-2,-2,-29
103,-2,-2,-29
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,4,1,28
110,4,1,28
111,4,1,28
112,4,1,28
113,4,1,28
114,4,1,28
115,4,1,28
116,4,1,28
117,4,1,28
118,4,1,28
119,4,1,28
120,4,1,28
121,4,1,28
122,4,1,28
123,4,1,28
124,4,1,28
125,4,1,28
126,4,1,28
127,4,1,28
128,4,1,28
129,1,1,1
130,1,1,1
131,2,1,10
132,3,1,19
133,3,1,19
134,6,1,46
135,6,1,46
136,6,4,49
137,6,4,49
138,6,4,49
139,6,4,49
140,6,4,49
141,6,4,49
142,5,4,40
143,5,4,40
144,5,4,40
145,5,5,41
146,5,5,41
147,5,5,41
148,5,5,41
149,5,5,41
150,5,5,41
151,5,4,40
152,4,4,31
153,5,4,40
154,5,1,37
155,5,1,37
156,5,1,37
157,6,1,46
158,6,1,46
159,6,1,46
160,3,1,19
161,3,4,22
162,6,4,49
163,6,5,50
164,6,4,49
165,6,4,49
166,6,5,50
167,3,5,23
168,6,5,50
169,6,5,50
170,6,5,50
171,6,5,50
172,6,5,50
173,6,4,49
174,6,4,49
175,6,4,49
176,6,4,49
177,6,4,49
178,6,4,49
179,3,4,22
180,3,4,22
181,3,4,22
182,3,4,22
183,3,4,22
184,3,4,22
185,3,4,22
186,3,4,22
187,3,4,22
188,3,4,22
189,3,5,23
190,6,5,50
191,6,5,50
192,6,5,50
193,6,5,50
194,6,5,50
286,4,4,31
287,4,4,31
288,4,4,31
289,4,4,31
290,4,4,31
291,4,4,31
292,4,4,31
293,4,4,31
294,4,4,31
295,4,4,31
296,4,4,31
297,4,4,31
298,4,4,31
299,4,4,31
300,4,4,31
301,4,4,31
302,4,4,31
303,4,4,31
304,4,4,31
305,4,4,31
306,4,4,31
307,4,4,31
308,4,4,31
309,4,4,31
310,4,4,31
311,4,4,31
312,4,4,31
313,4,4,31
314,4,4,31
315,4,4,31
316,4,4,31
317,4,4,31
318,4,4,31
319,4,4,31
320,4,4,31
321,4,4,31
322,4,4,31
323,4,4,31
324,4,4,31
325,4,4,31
326,4,4,31
327,4,4,31
328,4,4,31
329,4,4,31
330,4,4,31
331,4,4,31
332,4,4,31
333,4,4,31
334,4,4,31
335,4,4,31
336,4,4,31
337,4,4,31
338,4,4,31
339,4,4,31
340,4,4,31
341,4,4,31
342,4,4,31
343,4,4,31
344,4,4,31
345,4,4,31
346,4,4,31
347,4,4,31
348,4,4,31
349,4,4,31
350,4,4,31
351,4,4,31
352,4,4,31
353,4,4,31
354,4,4,31
355,4,4,31
356,4,4,31
357,4,4,31
358,4,4,31
359,4,4,31
360,4,4,31
361,4,4,31
362,4,4,31
363,9,2,74
364,9,2,74
365,9,2,74
366,9,2,74
367,9,2,74
368,9,2,74
369,9,2,74
370,9,2,74
371,9,2,74
372,9,2,74
373,9,2,74
374,9,2,74
375,9,2,74
376,9,2,74
377,9,5,77
378,9,5,77
379,9,5,77
380,8,5,68
381,8,2,65
382,8,2,65
383,9,2,74
384,9,2,74
385,9,2,74
386,9,2,74
387,9,2,74
388,9,2,74
389,9,2,74
390,9,2,74
391,9,2,74
392,9,2,74
393,9,2,74
394,9,2,74
395,9,2,74
396,9,2,74
397,9,2,74
398,9,2,74
399,9,2,74
400,9,2,74
401,9,2,74
402,9,2,74
403,8,2,65
404,8,2,65
405,8,2,65
406,8,2,65
407,8,2,65
408,9,2,74
409,9,2,74
410,9,2,74
411,8,2,65
412,8,2,65
413,8,2,65
414,8,5,68
415,8,5,68
416,9,5,77
417,9,5,77
418,9,5,77
419,9,5,77
420,9,5,77
421,9,5,77
422,9,5,77
423,9,5,77
424,9,5,77
425,6,2,47
426,2,3,12
435,1,1,1
438,1,1,1
439,1,1,1
443,1,1,1
444,1,1,1
454,2,2,11
455,1,1,1
456,1,1,1
457,1,1,1
458,1,1,1
459,1,1,1
460,1,1,1
461,1,1,1
462,1,1,1
463,1,1,1
464,1,1,1
465,1,1,1
466,1,1,1
467,1,1,1
468,1,1,1
469,1,1,1
470,1,1,1
471,1,1,1
472,1,1,1
473,1,1,1
474,1,1,1
475,1,1,1
476,1,1,1
477,1,1,1
478,1,1,1
479,1,1,1
480,1,1,1
481,1,1,1
482,1,1,1
483,1,1,1
484,1,1,1
485,1,1,1
486,1,1,1
487,1,1,1
488,1,1,1
489,1,1,1
490,1,1,1
491,1,1,1
493,6,4,49
494,6,4,49
495,6,4,49
496,6,4,49
497,6,8,53
498,6,8,53
499,6,8,53
500,6,8,53
501,6,8,53
502,6,8,53
503,6,8,53
504,6,8,53
505,6,8,53
506,6,8,53
507,6,8,53
508,6,8,53
509,9,8,80
510,9,8,80
511,9,8,80
512,9,8,80
513,9,8,80
514,9,8,80
515,9,8,80
516,9,8,80
517,9,8,80
518,9,8,80
519,9,8,80
520,9,8,80
521,9,8,80
522,9,8,80
523,9,8,80
524,9,8,80
525,9,8,80
526,9,8,80
527,9,8,80
528,9,8,80
529,8,8,71
530,8,8,71
531,8,8,71
532,9,8,80
533,9,8,80
534,9,8,80
535,9,8,80
536,9,8,80
537,8,8,71
538,8,8,71
539,8,8,71
540,8,8,71
541,8,8,71
542,8,8,71
543,8,8,71
544,8,8,71
545,8,8,71
546,8,8,71
547,8,8,71
548,8,8,71
549,8,8,71
550,8,8,71
551,8,8,71
552,8,8,71
553,8,8,71
554,8,8,71
555,9,8,80
556,9,8,80
557,9,8,80
558,9,8,80
559,9,8,80
560,9,8,80
561,6,8,53
562,6,8,53
563,6,8,53
564,6,8,53
565,6,8,53
566,6,8,53
567,6,8,53
568,3,8,26
569,3,8,26
570,6,8,53
571,6,8,53
572,6,8,53
573,6,8,53
574,6,8,53
575,6,8,53
576,6,8,53
577,6,8,53
578,6,8,53
579,9,8,80
580,9,8,80
581,9,8,80
582,9,8,80
583,9,9,81
584,9,9,81
585,9,9,81
586,9,6,78
587,9,5,77
588,9,5,77
589,9,5,77
590,9,5,77
591,9,5,77
592,9,5,77
593,9,5,77
594,9,5,77
595,9,5,77
596,9,5,77
597,9,5,77
598,9,5,77
599,9,5,77
600,9,5,77
601,9,5,77
602,9,5,77
603,9,5,77
604,9,4,76
605,9,4,76
606,9,4,76
607,9,5,77
608,9,5,77
609,9,5,77
610,9,8,80
611,9,8,80
612,9,8,80
613,9,8,80
614,9,8,80
615,9,8,80
616,9,5,77
617,9,5,77
618,9,5,77
619,9,5,77
620,9,5,77
621,9,5,77
622,9,5,77
623,9,5,77
624,9,5,77
625,9,5,77
626,9,8,80
627,9,4,76
628,9,4,76
629,9,4,76
630,9,4,76
631,9,4,76
632,9,4,76
633,9,4,76
634,9,4,76
635,9,4,76
636,9,4,76
637,9,4,76
638,9,4,76
639,9,4,76
640,9,4,76
641,9,7,79
642,9,7,79
643,9,7,79
644,9,8,80
645,9,8,80
646,9,8,80
647,9,8,80
648,9,8,80
649,9,8,80
650,9,8,80
651,9,8,80
652,9,8,80
653,9,8,80
654,9,8,80
655,9,8,80
656,9,8,80
657,9,8,80
658,9,8,80
659,9,8,80
660,9,8,80
661,9,8,80
662,9,8,80
663,9,8,80
664,9,8,80
665,9,8,80
666,9,8,80
667,9,8,80
668,9,8,80
669,9,8,80
670,9,8,80
671,9,8,80
672,9,8,80
673,9,8,80
674,9,8,80
675,9,8,80
676,9,9,81
677,9,9,81
678,9,9,81
679,9,9,81
680,9,9,81
681,9,9,81
682,9,9,81
683,9,9,81
684,9,9,81
685,9,8,80
686,9,8,80
687,9,8,80
688,9,8,80
689,9,8,80
690,9,8,80
691,9,8,80
692,9,8,80
693,9,8,80
694,9,8,80
695,9,8,80
696,9,8,80
697,9,8,80
698,9,8,80
699,9,8,80
700,9,8,80
701,9,8,80
702,9,8,80
703,9,8,80
704,9,8,80
705,9,8,80
706,9,8,80
707,6,8,53
708,6,8,53
709,6,8,53
710,6,8,53
711,3,8,26
712,3,8,26
713,3,8,26
714,3,8,26
715,3,8,26
716,3,8,26
717,6,8,53
718,6,8,53
719,9,8,80
720,9,8,80
721,9,8,80
722,9,8,80
723,9,8,80
724,9,8,80
725,9,8,80
726,9,8,80
727,9,8,80
728,9,8,80
729,9,8,80
730,9,8,80
731,9,8,80
732,9,8,80
733,9,8,80
734,9,8,80
735,9,8,80
736,9,8,80
737,9,8,80
738,9,8,80
739,9,8,80
740,9,8,80
741,9,8,80
742,9,8,80
743,9,8,80
744,9,8,80
745,9,8,80
746,9,8,80
747,9,8,80
748,9,8,80
