frame_idx,l_label,r_label,label
0,6,4,49
1,6,7,52
2,6,7,52
3,6,7,52
4,9,7,79
5,9,7,79
6,9,7,79
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,8,7,70
16,8,7,70
17,8,7,70
18,8,7,70
19,7,7,61
20,8,7,70
21,7,7,61
22,7,7,61
23,7,7,61
24,7,7,61
25,7,7,61
26,7,7,61
27,7,7,61
28,7,7,61
29,7,7,61
30,7,7,61
31,7,7,61
32,7,7,61
33,7,7,61
34,7,7,61
35,7,7,61
36,7,7,61
37,7,7,61
38,7,7,61
39,7,7,61
40,7,7,61
41,7,7,61
42,7,7,61
43,7,7,61
44,7,7,61
45,8,7,70
46,8,7,70
47,8,7,70
48,8,7,70
49,8,8,71
50,8,8,71
51,8,7,70
52,8,7,70
53,8,7,70
54,8,7,70
55,8,7,70
56,8,7,70
57,8,7,70
58,8,7,70
59,8,7,70
60,8,7,70
61,8,7,70
62,8,7,70
63,8,7,70
64,8,7,70
65,8,7,70
66,8,7,70
67,8,7,70
68,8,7,70
69,8,7,70
70,8,7,70
71,8,7,70
72,8,7,70
73,8,7,70
74,8,7,70
75,8,7,70
76,8,7,70
77,8,7,70
78,8,7,70
79,8,7,70
80,8,7,70
81,8,7,70
82,8,7,70
83,8,7,70
84,8,7,70
85,8,7,70
86,8,7,70
87,8,7,70
88,8,7,70
89,8,7,70
90,8,7,70
91,8,7,70
92,8,7,70
93,8,7,70
94,8,7,70
95,8,7,70
96,8,7,70
97,8,7,70
98,8,7,70
99,8,7,70
100,8,7,70
101,8,7,70
102,8,7,70
103,8,7,70
104,8,7,70
105,8,7,70
106,8,7,70
107,8,7,70
108,8,7,70
109,8,7,70
110,8,7,70
111,8,7,70
112,8,4,67
113,8,4,67
114,8,4,67
115,8,1,64
116,8,1,64
117,8,1,64
118,8,1,64
119,8,1,64
120,8,1,64
121,8,1,64
122,8,1,64
123,8,1,64
124,8,1,64
125,8,1,64
126,8,1,64
127,8,1,64
128,8,1,64
129,8,1,64
130,8,1,64
131,8,1,64
132,8,1,64
133,8,1,64
134,8,1,64
135,8,1,64
136,8,1,64
137,8,1,64
138,8,1,64
139,8,1,64
140,8,1,64
141,8,1,64
142,8,1,64
143,8,1,64
144,8,1,64
145,8,1,64
146,8,1,64
147,8,1,64
148,8,1,64
149,8,4,67
150,8,4,67
151,8,4,67
152,8,4,67
153,8,4,67
154,8,4,67
155,8,4,67
156,8,4,67
157,8,4,67
158,8,4,67
159,8,4,67
160,8,4,67
161,8,4,67
162,8,4,67
163,8,4,67
164,8,4,67
165,8,4,67
166,8,4,67
167,8,1,64
168,8,1,64
169,8,1,64
170,8,4,67
171,8,4,67
172,9,4,76
173,9,4,76
174,9,4,76
175,9,4,76
176,9,4,76
177,9,4,76
178,9,4,76
179,9,4,76
180,9,4,76
181,9,4,76
182,9,4,76
183,9,1,73
184,9,1,73
185,9,4,76
186,9,4,76
187,9,4,76
188,9,4,76
189,9,4,76
190,9,4,76
191,9,4,76
192,9,4,76
193,9,4,76
194,9,4,76
195,9,4,76
196,9,4,76
197,9,4,76
198,9,4,76
199,9,4,76
200,9,4,76
201,9,4,76
202,6,4,49
203,6,4,49
204,6,4,49
205,6,4,49
206,6,4,49
207,6,4,49
208,6,4,49
209,6,4,49
210,6,4,49
211,6,4,49
212,9,4,76
213,9,4,76
214,9,4,76
215,9,4,76
216,9,4,76
217,9,4,76
218,9,4,76
219,9,4,76
220,9,4,76
221,9,4,76
222,9,4,76
223,9,4,76
224,9,4,76
225,9,4,76
226,9,4,76
227,9,4,76
228,9,4,76
229,9,4,76
230,9,4,76
231,9,4,76
232,9,4,76
233,9,4,76
234,9,4,76
235,9,4,76
236,9,4,76
237,9,4,76
238,9,4,76
239,9,4,76
240,9,4,76
241,9,4,76
242,9,4,76
243,9,4,76
244,9,4,76
245,9,8,80
246,6,8,53
247,6,8,53
248,6,8,53
249,6,8,53
250,6,8,53
251,9,8,80
252,9,8,80
253,9,8,80
254,9,8,80
255,9,8,80
256,9,8,80
257,9,8,80
258,9,8,80
259,9,8,80
260,9,8,80
261,9,8,80
262,9,8,80
263,9,8,80
264,9,8,80
265,9,8,80
266,9,8,80
267,9,9,81
268,9,8,80
269,9,9,81
270,9,9,81
271,9,8,80
272,9,8,80
273,9,8,80
274,9,8,80
275,9,8,80
276,9,8,80
277,9,8,80
278,2,3,12
279,2,2,11
280,2,3,12
281,1,2,2
282,1,1,1
283,1,1,1
284,1,1,1
285,2,1,10
286,1,1,1
287,2,2,11
288,2,2,11
289,2,2,11
290,2,1,10
291,1,1,1
292,1,1,1
293,1,1,1
294,1,1,1
295,1,1,1
296,2,1,10
297,2,2,11
298,2,2,11
299,2,2,11
300,1,1,1
301,1,1,1
302,1,1,1
303,1,1,1
304,2,1,10
305,1,1,1
306,1,1,1
307,2,1,10
308,1,1,1
309,1,1,1
310,1,1,1
311,1,1,1
312,2,1,10
313,2,1,10
314,2,1,10
315,2,2,11
316,2,2,11
317,1,1,1
318,1,1,1
319,2,1,10
320,2,1,10
321,2,1,10
322,2,1,10
323,2,1,10
324,2,1,10
325,2,1,10
326,2,1,10
327,2,1,10
328,2,1,10
329,2,1,10
330,2,1,10
331,2,1,10
332,2,1,10
333,2,1,10
334,2,1,10
335,2,1,10
336,2,1,10
337,2,1,10
338,2,1,10
339,1,1,1
340,1,1,1
341,1,1,1
342,1,1,1
343,1,1,1
344,1,1,1
345,1,1,1
346,1,1,1
347,1,1,1
348,2,1,10
349,3,2,20
350,2,2,11
351,3,2,20
352,2,1,10
353,2,1,10
354,1,1,1
355,1,1,1
356,1,1,1
357,2,1,10
358,1,1,1
359,2,1,10
360,2,1,10
361,2,1,10
362,2,1,10
363,2,1,10
364,3,1,19
365,2,1,10
366,1,1,1
367,2,1,10
368,3,1,19
369,3,1,19
370,3,1,19
371,3,1,19
372,3,1,19
373,3,2,20
374,3,1,19
375,3,1,19
376,3,1,19
377,3,1,19
378,3,1,19
379,3,1,19
380,3,1,19
381,3,1,19
382,3,1,19
383,3,1,19
384,3,1,19
385,3,1,19
386,3,1,19
387,2,1,10
388,1,1,1
389,1,1,1
390,1,1,1
391,1,1,1
392,1,1,1
393,2,1,10
394,2,1,10
395,2,1,10
396,2,1,10
397,1,1,1
398,1,1,1
399,1,1,1
400,1,1,1
401,1,1,1
402,1,1,1
403,1,1,1
404,1,1,1
405,1,1,1
406,1,1,1
407,1,1,1
408,1,1,1
409,1,1,1
410,1,1,1
411,1,1,1
412,1,1,1
413,1,1,1
414,6,4,49
415,6,4,49
416,6,4,49
417,6,4,49
418,6,4,49
419,6,4,49
420,6,4,49
421,6,4,49
422,6,4,49
423,6,4,49
424,6,4,49
425,6,4,49
426,6,4,49
427,6,4,49
428,6,4,49
429,6,4,49
430,6,4,49
431,6,4,49
432,6,4,49
433,6,4,49
434,6,7,52
435,6,4,49
436,6,4,49
437,6,4,49
438,6,7,52
439,6,7,52
440,6,7,52
441,6,7,52
442,6,7,52
443,9,7,79
444,9,7,79
445,9,7,79
446,9,7,79
447,9,7,79
448,9,8,80
449,9,8,80
450,8,8,71
451,8,8,71
452,8,7,70
453,8,7,70
454,8,7,70
455,8,7,70
456,8,4,67
457,8,4,67
458,8,4,67
459,8,4,67
460,8,4,67
461,8,4,67
462,5,4,40
463,5,4,40
464,5,4,40
465,5,4,40
466,5,4,40
467,5,4,40
468,5,4,40
469,5,4,40
470,5,4,40
471,5,4,40
472,5,4,40
473,5,4,40
474,5,4,40
475,5,4,40
476,5,4,40
477,5,4,40
478,5,4,40
479,5,4,40
480,5,4,40
481,5,4,40
482,5,4,40
483,5,4,40
484,5,4,40
485,5,4,40
486,5,4,40
487,5,4,40
488,5,4,40
489,5,4,40
490,5,4,40
491,5,4,40
492,8,4,67
493,8,4,67
494,8,4,67
495,8,4,67
496,8,7,70
497,8,7,70
498,8,7,70
499,8,7,70
500,8,7,70
501,8,7,70
502,8,7,70
503,8,7,70
504,8,7,70
505,8,7,70
506,9,7,79
507,9,7,79
508,9,7,79
509,9,7,79
510,9,7,79
511,9,7,79
512,8,7,70
513,8,7,70
514,8,4,67
515,8,4,67
516,8,4,67
517,8,4,67
518,8,4,67
519,8,4,67
520,8,4,67
521,8,4,67
522,8,4,67
523,8,5,68
524,8,1,64
525,8,1,64
526,8,1,64
527,8,1,64
528,8,1,64
529,8,4,67
530,8,4,67
531,8,4,67
532,9,4,76
533,9,4,76
534,9,4,76
535,9,4,76
536,9,4,76
537,9,4,76
538,9,4,76
539,9,4,76
540,9,4,76
541,9,4,76
542,9,4,76
543,9,4,76
544,9,4,76
545,9,4,76
546,9,5,77
547,9,5,77
548,9,5,77
549,9,2,74
550,9,2,74
551,9,1,73
552,9,1,73
553,9,1,73
554,9,1,73
555,9,4,76
556,8,4,67
557,9,4,76
558,9,4,76
559,8,4,67
560,8,4,67
561,8,4,67
562,8,4,67
563,9,4,76
564,9,4,76
565,9,4,76
566,9,4,76
567,9,4,76
568,8,4,67
569,8,7,70
570,8,7,70
571,8,7,70
572,8,7,70
573,8,7,70
574,8,7,70
575,8,7,70
576,8,7,70
577,8,7,70
578,8,7,70
579,8,7,70
580,8,7,70
581,8,7,70
582,9,7,79
583,9,7,79
584,6,7,52
585,6,7,52
586,6,7,52
587,6,7,52
588,6,7,52
589,6,7,52
590,6,7,52
591,6,7,52
592,6,7,52
593,6,7,52
594,9,7,79
595,9,7,79
596,6,7,52
597,6,7,52
598,6,7,52
599,6,7,52
600,6,7,52
601,6,7,52
602,6,7,52
603,6,7,52
604,6,7,52
605,6,7,52
606,6,7,52
607,6,7,52
608,6,7,52
609,6,7,52
610,6,7,52
611,6,7,52
612,6,4,49
613,6,4,49
614,6,4,49
615,6,4,49
616,6,4,49
617,6,4,49
618,6,4,49
619,6,4,49
620,6,4,49
621,6,4,49
622,9,7,79
623,9,7,79
624,9,7,79
625,9,7,79
626,9,7,79
627,9,7,79
628,9,7,79
629,9,7,79
630,9,7,79
631,9,7,79
632,9,7,79
633,9,7,79
634,9,7,79
635,9,7,79
636,9,7,79
637,9,7,79
638,9,7,79
639,9,7,79
640,9,7,79
641,9,7,79
642,6,7,52
643,6,7,52
644,6,7,52
645,6,7,52
646,5,7,43
647,5,4,40
648,5,4,40
649,5,4,40
650,5,4,40
651,5,4,40
652,5,4,40
653,5,4,40
654,5,4,40
655,5,4,40
656,5,4,40
657,5,4,40
658,5,4,40
659,5,4,40
660,5,4,40
661,5,4,40
662,5,4,40
663,5,4,40
664,5,4,40
665,5,4,40
666,5,7,43
667,5,7,43
668,5,7,43
669,5,7,43
670,5,7,43
671,5,7,43
672,5,7,43
673,5,7,43
674,5,7,43
675,5,7,43
676,5,7,43
677,5,7,43
678,5,7,43
679,5,7,43
680,5,7,43
