frame_idx,l_label,r_label,label
12,8,7,70
13,8,7,70
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,9,7,79
55,9,7,79
56,9,7,79
57,9,7,79
58,9,7,79
59,9,7,79
60,9,7,79
61,9,7,79
62,9,7,79
63,9,7,79
64,9,7,79
65,9,7,79
66,9,7,79
67,9,7,79
68,9,7,79
69,9,7,79
70,9,7,79
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,7,79
92,9,7,79
93,9,7,79
94,9,7,79
95,9,7,79
96,9,7,79
97,9,7,79
98,9,7,79
99,9,7,79
100,9,7,79
101,9,7,79
102,9,7,79
103,9,7,79
104,9,7,79
105,9,7,79
106,9,7,79
107,9,7,79
108,9,7,79
109,9,7,79
110,9,7,79
111,9,7,79
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,9,7,79
118,9,7,79
119,9,7,79
120,9,7,79
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,9,7,79
129,9,7,79
130,9,7,79
131,9,7,79
132,9,7,79
133,9,7,79
134,9,7,79
135,9,7,79
136,9,7,79
137,9,7,79
138,9,7,79
139,9,7,79
140,9,7,79
141,9,7,79
142,9,7,79
143,9,7,79
144,9,7,79
145,9,7,79
146,9,7,79
147,9,7,79
148,9,7,79
149,9,7,79
150,9,7,79
151,9,7,79
152,9,7,79
153,9,7,79
154,9,7,79
155,9,7,79
156,9,7,79
157,9,7,79
158,9,7,79
159,9,7,79
160,9,7,79
161,9,7,79
162,9,7,79
163,9,7,79
164,8,4,67
165,7,4,58
166,7,4,58
167,7,4,58
168,8,4,67
169,9,7,79
170,9,7,79
171,9,7,79
172,9,4,76
173,9,7,79
174,9,7,79
175,9,7,79
176,9,7,79
177,9,7,79
178,9,7,79
179,9,7,79
180,9,7,79
181,9,7,79
182,9,7,79
183,9,7,79
184,9,7,79
185,9,7,79
186,9,7,79
187,9,7,79
188,9,7,79
189,9,7,79
190,9,7,79
191,8,7,70
192,8,7,70
193,8,7,70
194,8,7,70
195,8,7,70
196,8,7,70
197,8,7,70
198,8,7,70
199,9,7,79
200,9,7,79
201,9,7,79
202,9,7,79
203,9,7,79
204,9,7,79
205,9,7,79
206,9,7,79
207,9,7,79
208,9,7,79
209,9,7,79
210,9,7,79
211,9,7,79
212,9,7,79
213,9,7,79
214,9,7,79
215,9,7,79
216,9,7,79
217,9,7,79
218,9,7,79
219,9,7,79
220,9,7,79
221,9,7,79
222,9,7,79
223,9,7,79
224,8,7,70
225,8,4,67
226,8,7,70
227,8,4,67
228,8,7,70
229,8,8,71
230,8,7,70
231,9,7,79
232,9,7,79
233,9,7,79
234,9,7,79
235,9,7,79
236,9,7,79
237,9,7,79
238,9,7,79
239,9,7,79
240,9,7,79
241,9,7,79
242,9,7,79
243,9,7,79
244,9,7,79
245,9,7,79
246,9,7,79
247,9,7,79
248,9,7,79
249,9,7,79
250,9,7,79
251,9,7,79
252,9,7,79
253,9,7,79
254,9,7,79
255,9,7,79
256,9,7,79
257,9,7,79
258,9,7,79
259,9,7,79
260,9,7,79
261,9,7,79
262,9,7,79
