frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,4,76
3,6,4,49
4,6,4,49
5,6,4,49
6,6,4,49
7,6,4,49
8,6,4,49
9,6,4,49
10,6,4,49
11,6,4,49
12,6,5,50
13,5,5,41
14,5,5,41
15,5,5,41
16,5,5,41
17,5,5,41
18,5,5,41
19,5,5,41
20,5,5,41
21,5,5,41
22,5,5,41
23,8,5,68
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,5,68
58,8,5,68
59,8,5,68
60,8,5,68
61,8,4,67
62,8,4,67
63,8,4,67
64,8,4,67
65,8,4,67
66,8,4,67
67,8,4,67
68,8,4,67
69,8,4,67
70,8,4,67
71,8,4,67
72,8,5,68
73,8,5,68
74,8,8,71
75,8,8,71
76,8,8,71
77,8,8,71
78,8,8,71
79,8,8,71
80,8,5,68
81,8,5,68
82,8,4,67
83,8,1,64
84,8,1,64
85,5,1,37
86,5,1,37
87,5,1,37
88,5,1,37
89,5,1,37
90,5,1,37
91,5,1,37
92,5,4,40
93,5,4,40
94,5,4,40
95,8,4,67
96,8,4,67
97,8,4,67
98,8,5,68
99,8,5,68
100,5,5,41
101,5,5,41
102,5,5,41
103,5,5,41
104,5,5,41
105,5,5,41
106,5,5,41
107,5,5,41
108,5,5,41
109,5,5,41
110,5,5,41
111,5,8,44
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,6,5,50
130,6,5,50
131,6,4,49
132,6,4,49
133,6,4,49
134,6,4,49
135,6,4,49
136,6,4,49
137,6,4,49
138,6,4,49
139,6,4,49
140,6,4,49
141,6,4,49
142,6,4,49
143,6,4,49
144,6,4,49
145,6,4,49
146,6,4,49
147,6,5,50
148,6,5,50
149,6,5,50
150,5,5,41
151,5,5,41
152,5,5,41
153,5,5,41
154,5,8,44
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
439,1,1,1
441,6,4,49
442,6,4,49
443,6,4,49
444,5,5,41
445,5,5,41
446,5,5,41
447,5,5,41
448,5,5,41
449,5,5,41
450,5,5,41
451,5,5,41
452,5,5,41
453,5,5,41
454,5,5,41
455,8,5,68
456,8,8,71
457,8,8,71
458,8,8,71
459,8,8,71
460,8,8,71
461,8,8,71
462,8,8,71
463,8,8,71
464,8,8,71
465,8,8,71
466,8,8,71
467,8,8,71
468,8,8,71
469,8,8,71
470,8,8,71
471,8,8,71
472,8,8,71
473,8,8,71
474,8,8,71
475,8,8,71
476,8,8,71
477,8,8,71
478,8,8,71
479,8,8,71
480,8,8,71
481,8,8,71
482,8,8,71
483,8,8,71
484,8,8,71
485,8,8,71
486,8,8,71
487,8,8,71
488,8,8,71
489,8,8,71
490,8,8,71
491,8,8,71
492,8,8,71
493,8,8,71
494,8,8,71
495,8,5,68
496,8,5,68
497,8,5,68
498,8,5,68
499,8,2,65
500,8,2,65
501,8,2,65
502,8,1,64
503,8,1,64
504,8,1,64
505,8,2,65
506,8,2,65
507,8,2,65
508,8,5,68
509,8,5,68
510,8,5,68
511,8,5,68
512,8,5,68
513,8,5,68
514,8,5,68
515,8,5,68
516,8,5,68
517,8,6,69
518,8,6,69
519,8,6,69
520,8,6,69
521,8,6,69
522,8,9,72
523,8,9,72
524,8,9,72
525,8,9,72
526,8,9,72
527,8,9,72
528,8,9,72
529,8,9,72
530,8,9,72
531,7,9,63
532,7,9,63
533,7,9,63
534,7,9,63
535,8,9,72
536,8,9,72
537,8,9,72
538,8,9,72
539,8,9,72
540,8,9,72
541,8,9,72
542,8,9,72
543,8,9,72
544,8,9,72
545,8,9,72
546,8,9,72
547,8,9,72
548,8,9,72
549,8,9,72
550,8,9,72
551,8,9,72
552,8,9,72
553,8,9,72
554,8,9,72
555,8,9,72
556,8,9,72
557,8,9,72
558,8,9,72
559,8,9,72
560,8,9,72
561,8,9,72
562,8,9,72
563,8,9,72
564,8,9,72
565,8,9,72
566,8,9,72
567,8,9,72
568,8,9,72
569,8,9,72
570,8,9,72
571,8,9,72
572,8,9,72
573,8,9,72
574,8,9,72
575,8,9,72
576,8,9,72
577,8,9,72
578,8,9,72
579,8,9,72
580,8,9,72
581,8,9,72
582,8,9,72
583,8,9,72
584,8,9,72
585,8,9,72
586,8,9,72
587,8,9,72
588,8,8,71
589,8,8,71
590,8,8,71
591,8,8,71
592,8,8,71
593,8,8,71
594,8,8,71
595,8,8,71
596,8,8,71
597,8,8,71
598,8,8,71
599,8,8,71
600,8,8,71
601,8,8,71
602,8,8,71
603,8,8,71
604,8,8,71
605,8,8,71
606,8,8,71
607,8,8,71
608,8,8,71
609,8,8,71
610,8,7,70
611,8,7,70
612,8,7,70
613,8,7,70
614,8,8,71
615,8,8,71
616,8,8,71
617,8,8,71
618,8,8,71
619,8,5,68
620,8,5,68
621,8,5,68
622,8,5,68
623,8,5,68
624,8,5,68
625,8,5,68
626,5,5,41
627,5,5,41
628,5,5,41
629,4,5,32
630,4,5,32
631,5,5,41
632,8,5,68
633,8,5,68
634,8,5,68
635,8,5,68
636,8,5,68
637,8,5,68
638,8,5,68
639,5,5,41
640,5,5,41
641,8,5,68
642,8,5,68
643,8,5,68
644,8,7,70
645,6,4,49
646,6,4,49
647,6,4,49
648,6,4,49
649,6,4,49
650,6,4,49
651,6,4,49
652,5,4,40
653,5,5,41
654,5,5,41
655,5,5,41
656,5,5,41
657,5,5,41
658,5,5,41
659,5,5,41
660,5,5,41
661,5,5,41
662,8,8,71
663,8,8,71
664,8,8,71
665,8,8,71
666,8,9,72
667,8,8,71
668,8,8,71
669,8,8,71
670,8,8,71
671,8,8,71
672,8,8,71
673,8,7,70
674,8,8,71
675,8,8,71
676,8,8,71
677,8,8,71
678,8,8,71
679,8,8,71
680,8,8,71
681,8,8,71
682,8,8,71
683,7,8,62
684,8,8,71
685,8,8,71
686,8,8,71
687,7,8,62
688,8,8,71
689,8,8,71
690,8,8,71
691,8,8,71
692,8,8,71
693,8,8,71
694,8,8,71
695,8,8,71
696,8,8,71
697,8,8,71
