frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,9,5,77
4,9,5,77
5,9,5,77
6,9,5,77
7,9,5,77
8,9,5,77
9,9,5,77
10,9,5,77
11,9,5,77
12,9,5,77
13,9,5,77
14,9,5,77
15,9,5,77
16,9,5,77
17,9,5,77
18,9,5,77
19,9,5,77
20,9,5,77
21,9,6,78
22,9,6,78
23,9,6,78
24,9,6,78
25,9,6,78
26,9,6,78
27,9,6,78
28,9,5,77
29,9,5,77
30,9,5,77
31,9,5,77
32,9,5,77
33,9,5,77
34,9,5,77
35,9,5,77
36,9,5,77
37,9,5,77
38,9,4,76
39,9,5,77
40,9,5,77
41,9,5,77
42,9,5,77
43,9,5,77
44,9,5,77
45,9,5,77
46,9,5,77
47,9,5,77
48,9,5,77
49,9,5,77
50,9,5,77
51,9,5,77
52,9,5,77
53,9,5,77
54,9,5,77
55,9,5,77
56,9,5,77
57,9,5,77
58,9,5,77
59,9,5,77
60,9,5,77
61,9,5,77
62,9,5,77
63,9,5,77
64,9,5,77
65,9,5,77
66,9,5,77
67,6,5,50
68,6,5,50
69,6,5,50
70,6,5,50
71,6,5,50
72,5,5,41
73,5,5,41
74,5,5,41
75,5,5,41
76,5,5,41
77,5,5,41
78,5,5,41
79,5,5,41
80,5,5,41
81,5,5,41
82,5,5,41
83,5,4,40
84,5,4,40
85,5,4,40
86,5,4,40
87,5,4,40
88,5,4,40
89,5,4,40
90,5,4,40
91,5,4,40
92,5,4,40
93,5,4,40
94,6,4,49
95,6,5,50
96,6,5,50
97,6,5,50
98,6,5,50
99,6,8,53
100,6,8,53
101,6,8,53
102,6,8,53
103,6,8,53
104,9,8,80
105,9,8,80
106,9,8,80
107,9,8,80
108,9,8,80
109,9,8,80
110,9,5,77
111,9,4,76
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,9,7,79
118,9,7,79
119,8,8,71
120,8,8,71
121,5,5,41
122,5,5,41
123,5,5,41
124,5,5,41
125,5,5,41
126,5,5,41
127,5,5,41
128,5,5,41
129,5,5,41
130,5,5,41
131,5,5,41
132,5,5,41
133,5,5,41
134,5,5,41
135,5,5,41
136,8,5,68
137,8,5,68
138,8,5,68
139,8,5,68
140,8,5,68
141,8,5,68
142,8,5,68
143,8,5,68
144,8,5,68
145,8,5,68
146,8,8,71
147,8,8,71
148,8,8,71
149,8,8,71
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,5,68
164,8,5,68
165,8,5,68
166,8,5,68
167,8,5,68
168,8,5,68
169,8,5,68
170,8,4,67
171,8,4,67
172,8,4,67
173,8,4,67
174,8,4,67
175,8,4,67
176,8,4,67
177,8,4,67
178,8,4,67
179,8,4,67
180,8,5,68
181,8,5,68
182,8,5,68
183,8,5,68
184,5,5,41
185,5,5,41
186,5,5,41
187,5,5,41
188,5,5,41
189,5,5,41
190,5,5,41
191,5,5,41
192,5,5,41
193,5,5,41
194,5,5,41
195,5,5,41
196,5,5,41
197,5,5,41
198,5,5,41
199,5,5,41
200,5,5,41
201,5,5,41
202,5,5,41
203,5,5,41
204,5,5,41
205,6,4,49
206,6,4,49
207,6,4,49
208,6,4,49
209,6,4,49
210,6,4,49
211,6,4,49
212,6,4,49
213,6,4,49
214,6,4,49
215,6,4,49
216,6,4,49
217,6,4,49
218,6,4,49
219,6,4,49
220,6,4,49
221,6,4,49
222,6,4,49
223,6,4,49
224,6,4,49
225,6,4,49
226,6,4,49
227,6,4,49
228,6,4,49
229,6,4,49
230,6,4,49
231,6,4,49
232,9,4,76
233,9,4,76
234,9,4,76
235,9,4,76
236,9,4,76
237,9,4,76
238,9,4,76
239,9,4,76
240,9,5,77
241,9,5,77
242,9,5,77
243,9,5,77
244,9,5,77
245,9,5,77
246,9,5,77
247,9,5,77
248,9,5,77
249,9,5,77
250,9,5,77
251,9,5,77
252,9,8,80
253,9,8,80
254,9,8,80
255,9,8,80
256,9,8,80
257,9,8,80
258,9,8,80
259,9,8,80
260,9,8,80
261,9,8,80
262,9,8,80
263,9,8,80
264,9,8,80
265,9,8,80
266,9,8,80
267,9,8,80
268,9,8,80
269,9,8,80
270,9,8,80
271,9,8,80
272,9,8,80
273,9,8,80
274,9,8,80
275,9,8,80
276,9,8,80
277,9,8,80
278,9,8,80
279,9,8,80
280,9,8,80
281,9,8,80
282,9,8,80
283,9,8,80
284,9,8,80
285,9,8,80
286,9,8,80
287,9,8,80
288,9,5,77
289,9,5,77
290,9,5,77
291,9,5,77
292,9,4,76
293,9,4,76
294,9,4,76
295,9,4,76
296,9,4,76
297,9,4,76
298,9,4,76
299,9,4,76
300,9,4,76
301,9,4,76
302,9,4,76
303,9,4,76
304,9,4,76
305,9,4,76
