frame_idx,l_label,r_label,label
0,6,7,52
1,6,7,52
2,6,7,52
3,6,7,52
4,6,7,52
5,6,7,52
6,6,7,52
7,6,8,53
8,6,8,53
9,6,8,53
10,6,5,50
11,6,5,50
12,6,5,50
13,6,5,50
14,5,5,41
15,5,4,40
16,5,4,40
17,5,4,40
18,5,4,40
19,5,4,40
20,5,4,40
21,5,4,40
22,6,4,49
23,6,4,49
24,9,4,76
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,8,7,70
31,8,7,70
32,8,7,70
33,8,8,71
34,5,7,43
35,6,7,52
36,6,7,52
37,6,7,52
38,6,7,52
39,6,7,52
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,8,7,70
49,8,7,70
50,8,7,70
51,8,7,70
52,8,7,70
53,5,4,40
54,6,4,49
55,6,4,49
56,6,4,49
57,6,4,49
58,6,4,49
59,6,4,49
60,6,4,49
61,6,4,49
62,6,4,49
63,6,4,49
64,6,4,49
65,6,4,49
66,6,4,49
67,6,4,49
68,6,4,49
69,6,4,49
70,6,4,49
71,6,4,49
72,6,7,52
73,6,7,52
74,9,7,79
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,4,76
81,9,4,76
82,6,4,49
83,6,4,49
84,6,7,52
85,6,7,52
86,9,7,79
87,8,7,70
89,3,1,19
90,1,1,1
91,3,3,21
92,1,1,1
93,-14,-14,-149
94,1,1,1
95,3,3,21
96,2,2,11
97,2,2,11
98,1,1,1
99,3,3,21
100,1,1,1
101,2,2,11
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,1,1,1
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,1,1,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,2,2,11
132,2,2,11
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
176,7,7,61
177,7,7,61
178,7,7,61
179,9,4,76
180,9,7,79
181,9,7,79
182,9,7,79
183,9,7,79
184,9,7,79
185,9,7,79
186,9,7,79
187,9,7,79
188,9,7,79
189,9,7,79
190,9,7,79
191,9,7,79
