frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,7,79
3,9,7,79
4,6,7,52
5,6,4,49
6,6,4,49
7,6,4,49
8,6,4,49
9,6,4,49
10,6,4,49
11,6,4,49
12,6,4,49
13,6,4,49
14,6,4,49
15,6,4,49
16,6,4,49
17,6,4,49
18,6,4,49
19,6,4,49
20,6,4,49
21,6,5,50
22,5,5,41
23,5,5,41
24,5,5,41
25,5,5,41
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,7,70
69,8,7,70
70,9,8,80
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,6,7,52
76,6,7,52
77,6,7,52
78,6,7,52
79,6,4,49
80,6,4,49
81,6,4,49
82,6,4,49
83,6,4,49
84,6,4,49
85,6,4,49
86,6,4,49
87,6,4,49
88,6,4,49
89,6,4,49
90,6,4,49
91,6,4,49
92,6,4,49
93,5,4,40
94,5,4,40
95,5,4,40
96,5,4,40
97,5,4,40
98,5,4,40
99,5,4,40
100,5,4,40
101,5,4,40
102,5,4,40
103,5,4,40
104,5,4,40
105,5,4,40
106,5,4,40
107,5,4,40
108,6,4,49
109,6,4,49
110,5,5,41
111,8,5,68
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,8,8,71
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,5,68
145,8,5,68
146,8,4,67
147,8,4,67
148,8,1,64
149,8,1,64
150,8,1,64
151,8,1,64
152,8,1,64
153,8,1,64
154,8,4,67
155,8,4,67
156,8,4,67
157,8,4,67
158,8,4,67
159,8,4,67
160,8,5,68
161,8,5,68
162,8,5,68
163,8,5,68
164,8,4,67
165,8,4,67
166,8,4,67
167,8,4,67
427,6,4,49
428,6,4,49
429,6,4,49
430,6,4,49
431,6,4,49
432,6,4,49
433,6,4,49
434,6,4,49
435,6,5,50
436,5,5,41
437,5,5,41
438,5,5,41
439,5,5,41
440,8,5,68
441,8,8,71
442,8,8,71
443,8,8,71
444,8,8,71
445,8,8,71
446,8,8,71
447,8,8,71
448,8,8,71
449,8,8,71
450,8,8,71
451,8,8,71
452,8,8,71
453,8,8,71
454,8,8,71
455,8,8,71
456,8,8,71
457,8,8,71
458,8,8,71
459,8,5,68
460,8,5,68
461,8,5,68
462,8,5,68
463,8,8,71
464,8,8,71
465,8,8,71
466,8,8,71
467,8,8,71
468,8,8,71
469,8,8,71
470,8,8,71
471,8,8,71
472,8,8,71
473,8,8,71
474,8,8,71
475,8,8,71
476,8,8,71
477,8,8,71
478,8,8,71
479,8,8,71
480,8,8,71
481,8,8,71
482,8,8,71
483,8,8,71
484,8,8,71
485,8,8,71
486,8,8,71
487,8,8,71
488,8,8,71
489,8,8,71
490,8,8,71
491,8,8,71
492,8,8,71
493,8,8,71
494,8,8,71
495,8,8,71
496,8,8,71
497,8,8,71
498,8,8,71
499,8,8,71
500,8,8,71
501,8,8,71
502,8,8,71
503,8,5,68
504,5,5,41
505,5,5,41
506,5,5,41
507,5,5,41
508,6,5,50
509,6,5,50
510,8,8,71
511,9,8,80
512,9,8,80
513,9,7,79
514,9,8,80
515,8,8,71
516,8,8,71
517,8,8,71
518,8,8,71
519,8,8,71
520,8,8,71
521,8,8,71
522,8,8,71
523,8,8,71
524,8,8,71
525,8,8,71
526,8,8,71
527,8,8,71
528,8,8,71
529,8,8,71
530,8,8,71
531,8,8,71
532,8,8,71
533,8,8,71
534,8,8,71
535,8,8,71
536,8,8,71
537,8,8,71
538,8,8,71
539,8,8,71
540,8,8,71
541,8,8,71
542,8,8,71
543,8,8,71
544,8,8,71
545,8,8,71
546,8,8,71
547,8,8,71
548,8,8,71
549,8,8,71
550,8,8,71
551,8,8,71
552,8,8,71
553,8,8,71
554,8,8,71
555,8,8,71
556,8,8,71
557,8,8,71
558,8,8,71
559,8,8,71
560,8,8,71
561,8,8,71
562,8,8,71
563,8,8,71
564,8,8,71
565,8,8,71
566,8,8,71
567,8,8,71
568,8,8,71
569,8,8,71
570,8,8,71
571,8,8,71
572,8,8,71
573,8,8,71
574,8,8,71
575,8,8,71
576,8,8,71
577,8,8,71
578,8,8,71
579,8,8,71
580,8,8,71
581,8,8,71
582,8,8,71
583,8,8,71
584,8,8,71
585,8,8,71
586,8,8,71
587,8,8,71
588,8,8,71
589,8,8,71
590,8,8,71
591,8,8,71
592,8,8,71
593,8,8,71
594,8,8,71
595,8,8,71
596,8,8,71
597,8,8,71
598,8,8,71
599,8,8,71
600,8,8,71
601,8,8,71
602,8,8,71
603,8,8,71
604,8,8,71
605,8,8,71
606,8,8,71
607,8,8,71
608,8,8,71
609,8,8,71
610,8,8,71
611,8,8,71
612,8,8,71
613,8,8,71
614,8,8,71
615,8,8,71
616,8,8,71
617,8,8,71
618,8,8,71
619,8,8,71
620,8,8,71
621,8,8,71
622,8,8,71
623,8,8,71
624,8,5,68
625,8,5,68
626,8,5,68
627,8,5,68
628,8,5,68
629,8,5,68
630,8,5,68
631,8,5,68
632,8,5,68
633,8,5,68
634,8,5,68
635,8,5,68
636,8,5,68
637,8,5,68
638,8,5,68
639,8,5,68
640,8,5,68
641,8,5,68
642,8,5,68
643,8,5,68
644,8,5,68
645,8,5,68
646,8,5,68
647,8,5,68
648,8,5,68
649,9,5,77
650,8,5,68
651,8,5,68
652,8,5,68
653,5,5,41
654,5,5,41
655,6,4,49
656,6,4,49
657,6,4,49
658,6,4,49
659,5,4,40
660,8,4,67
661,8,7,70
662,8,7,70
663,7,5,59
664,7,5,59
665,8,5,68
666,8,5,68
667,5,5,41
668,5,5,41
669,5,5,41
670,5,5,41
671,5,5,41
672,5,6,42
673,4,6,33
674,7,6,60
675,7,6,60
676,7,6,60
677,8,5,68
678,8,5,68
679,8,8,71
680,8,8,71
