frame_idx,l_label,r_label,label
0,4,4,31
1,4,4,31
2,4,4,31
3,4,4,31
4,4,4,31
5,4,4,31
6,5,4,40
7,5,4,40
8,5,4,40
9,5,4,40
10,6,4,49
11,6,4,49
12,6,4,49
13,6,4,49
14,6,4,49
15,6,1,46
16,6,1,46
17,6,1,46
18,6,4,49
19,5,4,40
20,5,4,40
21,5,4,40
22,5,4,40
23,4,4,31
24,4,4,31
25,4,4,31
26,4,4,31
27,4,4,31
28,4,4,31
29,4,4,31
30,4,5,32
31,4,5,32
32,4,5,32
33,4,5,32
34,4,5,32
35,4,5,32
36,4,4,31
37,4,4,31
38,4,4,31
39,4,5,32
40,4,5,32
41,4,4,31
42,4,4,31
43,4,4,31
44,4,4,31
45,4,4,31
46,5,4,40
47,5,4,40
48,5,4,40
49,5,4,40
50,5,4,40
51,5,4,40
52,5,4,40
53,5,4,40
54,5,4,40
55,5,4,40
56,5,4,40
57,5,4,40
58,5,4,40
59,5,4,40
60,5,4,40
61,5,4,40
62,5,4,40
63,5,4,40
64,5,4,40
65,5,4,40
66,5,4,40
67,5,4,40
68,5,4,40
69,5,4,40
70,4,4,31
71,4,4,31
72,4,4,31
73,4,4,31
74,4,4,31
75,4,4,31
76,4,4,31
77,4,4,31
78,4,4,31
79,4,4,31
80,4,4,31
81,4,4,31
82,4,4,31
83,4,4,31
84,4,4,31
85,4,4,31
86,4,4,31
87,4,4,31
88,4,4,31
89,2,4,13
90,2,7,16
91,5,4,40
92,5,4,40
93,5,4,40
94,5,4,40
95,5,4,40
96,5,7,43
97,8,7,70
98,8,7,70
99,8,7,70
100,5,7,43
101,5,7,43
102,5,7,43
103,5,7,43
104,5,7,43
105,5,7,43
106,5,7,43
107,5,7,43
108,5,7,43
109,5,7,43
110,5,7,43
111,5,7,43
112,5,7,43
113,5,7,43
114,5,7,43
115,5,7,43
116,6,7,52
117,6,7,52
118,5,7,43
119,5,4,40
120,9,4,76
121,9,4,76
122,8,4,67
123,8,4,67
124,8,4,67
125,5,4,40
126,5,4,40
127,5,4,40
128,5,4,40
129,5,4,40
130,5,4,40
131,5,4,40
132,5,4,40
133,5,4,40
134,5,4,40
135,5,4,40
136,4,4,31
137,4,4,31
138,4,4,31
139,4,4,31
140,4,4,31
141,4,4,31
142,4,4,31
143,4,4,31
144,4,4,31
145,7,4,58
146,7,4,58
147,7,4,58
148,7,4,58
149,7,4,58
150,7,4,58
151,7,4,58
152,7,4,58
153,7,4,58
154,7,4,58
155,7,4,58
156,7,4,58
157,7,4,58
158,7,4,58
159,4,4,31
160,4,4,31
161,4,4,31
162,4,4,31
163,4,4,31
164,4,4,31
165,4,4,31
166,4,4,31
167,4,4,31
168,4,4,31
169,4,4,31
170,4,4,31
171,4,4,31
172,4,4,31
173,4,4,31
174,4,4,31
175,4,4,31
176,4,4,31
177,4,4,31
178,4,4,31
179,4,4,31
180,4,4,31
181,4,4,31
182,4,4,31
183,4,4,31
184,4,4,31
185,5,4,40
186,5,4,40
187,5,4,40
188,5,4,40
189,5,4,40
190,5,4,40
191,5,4,40
192,5,4,40
193,5,4,40
194,5,4,40
195,5,4,40
196,4,4,31
197,4,4,31
198,7,4,58
199,7,4,58
200,7,4,58
201,8,4,67
202,7,4,58
203,8,7,70
204,7,7,61
205,7,7,61
206,7,7,61
207,7,7,61
208,7,7,61
209,7,7,61
210,7,7,61
211,7,7,61
212,7,7,61
213,7,7,61
214,7,4,58
215,7,4,58
216,4,4,31
217,4,7,34
218,4,7,34
219,4,8,35
220,4,8,35
221,4,7,34
222,4,7,34
223,7,7,61
224,7,7,61
225,7,7,61
226,7,7,61
227,4,4,31
228,4,4,31
229,4,4,31
230,4,4,31
231,4,4,31
232,4,4,31
233,5,4,40
234,5,4,40
235,5,4,40
236,6,4,49
237,6,4,49
238,6,1,46
239,6,1,46
240,6,1,46
241,6,1,46
242,6,4,49
243,6,4,49
244,6,4,49
245,6,4,49
246,6,4,49
247,6,4,49
248,6,4,49
249,6,4,49
250,6,4,49
251,3,4,22
252,3,4,22
253,3,4,22
254,3,4,22
255,3,4,22
256,3,4,22
257,5,4,40
258,5,4,40
259,5,4,40
260,5,4,40
261,5,4,40
262,5,4,40
263,5,4,40
264,5,4,40
265,4,4,31
266,4,4,31
267,4,4,31
268,4,4,31
269,4,4,31
270,4,4,31
271,4,4,31
272,4,4,31
273,4,4,31
274,5,4,40
275,5,4,40
276,2,4,13
277,2,4,13
278,2,4,13
279,2,4,13
280,2,4,13
281,2,4,13
282,2,4,13
283,2,4,13
284,2,4,13
285,2,4,13
286,5,4,40
287,4,4,31
288,4,4,31
289,4,4,31
290,4,4,31
291,4,4,31
292,4,4,31
293,4,4,31
294,4,4,31
295,4,4,31
296,4,4,31
297,4,4,31
298,4,4,31
299,4,4,31
300,4,4,31
301,4,4,31
302,4,4,31
303,4,4,31
304,4,4,31
305,4,4,31
306,4,4,31
307,4,4,31
308,4,4,31
309,4,4,31
310,4,4,31
311,4,4,31
312,4,4,31
313,4,4,31
314,4,4,31
315,4,4,31
316,4,4,31
317,4,4,31
318,4,4,31
319,5,4,40
320,5,4,40
321,5,4,40
322,5,4,40
323,5,4,40
324,5,4,40
325,5,4,40
326,5,4,40
327,5,4,40
328,4,4,31
329,4,4,31
330,4,4,31
331,4,4,31
332,4,4,31
333,4,4,31
334,4,4,31
335,4,4,31
336,4,4,31
337,4,4,31
338,4,4,31
339,4,4,31
340,4,4,31
341,4,4,31
342,4,4,31
343,4,4,31
344,4,4,31
345,4,4,31
346,4,4,31
347,4,4,31
348,4,4,31
349,2,7,16
350,2,7,16
351,2,7,16
352,2,7,16
353,2,7,16
354,2,7,16
355,5,4,40
356,5,4,40
357,5,4,40
358,5,4,40
359,5,4,40
360,5,4,40
361,2,7,16
362,2,7,16
363,2,7,16
364,2,7,16
365,2,7,16
366,2,7,16
367,5,4,40
368,4,4,31
369,4,4,31
370,4,4,31
371,4,4,31
372,4,4,31
373,4,4,31
374,4,4,31
375,4,4,31
376,4,4,31
377,4,4,31
378,4,4,31
379,4,4,31
380,4,4,31
381,4,4,31
382,4,4,31
383,4,4,31
384,4,4,31
385,4,4,31
386,4,4,31
387,4,4,31
388,4,4,31
389,4,4,31
390,4,4,31
391,4,4,31
392,4,5,32
393,4,4,31
394,4,4,31
395,4,4,31
396,4,4,31
397,4,4,31
398,4,4,31
399,4,4,31
400,4,4,31
401,4,4,31
402,4,4,31
403,4,4,31
404,4,4,31
405,4,4,31
406,4,4,31
407,4,4,31
408,4,4,31
409,4,4,31
410,4,4,31
411,4,4,31
412,4,4,31
413,4,4,31
414,4,4,31
415,4,4,31
416,4,4,31
417,4,4,31
418,4,4,31
419,5,4,40
420,2,4,13
421,2,4,13
422,5,4,40
423,2,4,13
424,2,4,13
425,2,4,13
426,2,4,13
427,2,4,13
428,5,4,40
429,4,4,31
430,4,4,31
431,4,4,31
432,5,4,40
433,5,4,40
434,5,4,40
435,5,4,40
436,5,4,40
437,5,4,40
438,5,4,40
439,5,4,40
440,5,4,40
441,8,4,67
442,8,4,67
443,8,4,67
444,8,4,67
445,8,4,67
446,8,4,67
