frame_idx,l_label,r_label,label
0,9,4,76
1,9,7,79
2,9,7,79
3,9,7,79
4,9,7,79
5,9,7,79
6,9,7,79
7,9,7,79
8,9,7,79
9,9,7,79
10,9,7,79
11,9,7,79
12,9,7,79
13,9,7,79
14,9,7,79
15,9,7,79
16,9,7,79
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,9,7,79
41,9,7,79
42,9,7,79
43,9,7,79
44,9,7,79
45,9,7,79
46,9,7,79
47,9,7,79
48,9,7,79
49,9,7,79
50,9,7,79
51,9,7,79
52,9,7,79
53,9,7,79
54,6,7,52
55,6,7,52
56,6,7,52
57,6,7,52
58,6,7,52
59,6,7,52
60,6,7,52
61,9,7,79
62,9,7,79
63,9,7,79
64,9,7,79
65,9,7,79
66,9,7,79
67,9,7,79
68,9,7,79
69,9,7,79
70,9,7,79
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,9,7,79
76,9,4,76
77,9,4,76
78,9,4,76
79,9,4,76
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,8,7,70
91,9,7,79
92,9,7,79
93,9,7,79
94,9,7,79
95,9,7,79
96,9,7,79
97,9,7,79
98,9,7,79
99,9,7,79
100,9,7,79
101,9,7,79
102,9,7,79
103,9,7,79
104,9,7,79
105,9,7,79
106,9,7,79
107,9,7,79
108,9,7,79
109,9,7,79
110,9,7,79
111,9,7,79
112,9,7,79
113,9,7,79
114,9,7,79
115,9,7,79
116,9,7,79
117,9,7,79
118,9,7,79
119,9,7,79
120,9,7,79
121,9,7,79
122,9,7,79
123,9,7,79
124,9,7,79
125,9,7,79
126,9,7,79
127,9,7,79
128,9,7,79
129,9,7,79
130,9,7,79
131,9,7,79
132,9,7,79
133,9,7,79
134,9,7,79
135,9,7,79
136,9,7,79
137,9,7,79
138,9,7,79
139,9,7,79
140,9,7,79
141,9,7,79
142,6,7,52
143,6,7,52
144,6,7,52
145,9,7,79
146,6,7,52
147,6,7,52
148,9,7,79
149,8,7,70
150,8,7,70
151,5,7,43
152,5,7,43
153,6,4,49
154,6,4,49
155,5,4,40
156,5,4,40
157,6,5,50
158,6,5,50
159,6,4,49
160,6,7,52
161,6,8,53
162,6,8,53
163,9,8,80
164,9,8,80
165,9,8,80
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,5,68
171,8,5,68
172,8,5,68
173,8,5,68
174,8,5,68
175,8,5,68
176,9,5,77
177,9,5,77
178,9,5,77
179,9,4,76
180,9,4,76
181,9,4,76
182,9,4,76
183,9,4,76
184,9,4,76
185,9,4,76
186,9,4,76
187,9,4,76
188,9,4,76
189,9,4,76
190,9,4,76
191,9,4,76
192,9,4,76
193,9,4,76
194,9,4,76
195,9,4,76
196,9,4,76
197,9,4,76
198,9,4,76
199,9,4,76
200,9,4,76
201,9,4,76
202,9,4,76
203,9,4,76
204,9,7,79
205,9,8,80
206,9,8,80
207,9,7,79
208,9,7,79
209,9,7,79
210,9,7,79
211,9,7,79
212,9,4,76
213,9,4,76
214,9,7,79
215,9,7,79
216,9,7,79
217,9,7,79
218,9,7,79
219,9,7,79
220,9,7,79
221,9,7,79
222,9,7,79
223,9,8,80
224,9,7,79
225,9,8,80
226,9,7,79
227,9,7,79
228,9,7,79
229,9,7,79
230,9,8,80
231,9,8,80
232,9,8,80
233,9,8,80
234,9,8,80
235,9,8,80
236,9,8,80
237,9,8,80
238,9,8,80
239,9,8,80
240,9,8,80
241,9,8,80
242,9,8,80
243,9,8,80
244,9,8,80
245,9,8,80
246,9,8,80
247,9,8,80
248,9,8,80
249,9,8,80
250,9,8,80
251,9,8,80
252,9,8,80
253,9,8,80
254,9,8,80
255,9,8,80
256,9,8,80
257,9,8,80
258,9,8,80
259,9,8,80
260,9,8,80
261,9,8,80
262,9,8,80
263,9,8,80
264,9,8,80
265,9,8,80
266,9,8,80
267,9,8,80
268,9,8,80
269,9,8,80
270,9,8,80
271,9,8,80
272,9,8,80
273,9,8,80
274,9,8,80
275,9,8,80
276,9,8,80
277,9,8,80
278,9,8,80
279,9,7,79
280,9,8,80
281,9,7,79
282,9,8,80
283,9,8,80
284,9,7,79
285,9,4,76
286,9,4,76
287,9,4,76
288,9,4,76
289,9,4,76
290,9,4,76
291,9,4,76
292,9,4,76
293,9,7,79
294,9,7,79
295,9,7,79
296,9,7,79
297,9,7,79
298,9,7,79
299,9,7,79
300,9,7,79
301,9,7,79
302,9,7,79
303,9,8,80
304,9,4,76
305,8,4,67
306,8,4,67
307,8,4,67
308,8,4,67
309,8,4,67
310,8,7,70
311,8,7,70
312,8,7,70
313,8,8,71
314,6,7,52
315,6,7,52
316,9,7,79
317,6,7,52
318,6,7,52
319,6,7,52
320,6,7,52
321,6,7,52
322,6,7,52
323,6,7,52
324,9,7,79
325,9,7,79
326,9,7,79
327,9,7,79
328,9,7,79
329,9,7,79
330,9,7,79
331,9,7,79
332,9,7,79
333,9,7,79
334,9,7,79
335,9,7,79
336,9,7,79
337,9,7,79
338,9,7,79
339,9,7,79
340,9,7,79
341,9,7,79
342,9,7,79
343,9,7,79
344,8,7,70
345,8,7,70
346,8,7,70
347,8,7,70
348,8,7,70
349,8,7,70
350,8,7,70
351,8,8,71
352,8,8,71
353,8,8,71
354,8,8,71
355,9,8,80
356,6,8,53
357,6,9,54
358,6,9,54
359,6,9,54
360,6,9,54
361,9,9,81
362,9,9,81
363,6,9,54
364,6,9,54
365,6,9,54
366,6,9,54
367,9,9,81
368,6,9,54
369,6,9,54
370,9,9,81
371,9,8,80
372,8,8,71
373,8,8,71
374,8,8,71
375,9,8,80
376,9,8,80
377,9,8,80
378,8,8,71
379,6,8,53
380,6,7,52
381,6,7,52
382,6,7,52
383,9,7,79
384,9,4,76
385,9,4,76
386,9,4,76
387,9,4,76
388,9,4,76
389,9,4,76
390,9,7,79
391,9,7,79
392,9,7,79
393,9,7,79
394,8,7,70
395,8,8,71
396,5,7,43
397,6,4,49
398,6,4,49
399,6,4,49
400,6,4,49
401,9,4,76
402,9,4,76
403,9,4,76
404,9,4,76
405,9,7,79
406,9,7,79
407,9,7,79
408,9,7,79
409,9,7,79
410,6,4,49
411,6,4,49
412,6,4,49
413,6,4,49
414,6,4,49
415,6,4,49
416,9,7,79
417,9,7,79
418,9,7,79
419,9,7,79
420,9,7,79
421,9,7,79
422,9,7,79
423,9,7,79
424,9,7,79
425,9,7,79
426,9,7,79
427,9,7,79
428,9,7,79
429,9,7,79
430,9,7,79
431,9,7,79
432,9,7,79
433,9,7,79
434,9,7,79
435,9,7,79
436,9,7,79
437,9,7,79
438,9,7,79
439,9,7,79
440,9,7,79
441,9,7,79
442,9,7,79
443,9,7,79
444,9,7,79
445,9,7,79
446,9,7,79
447,9,7,79
448,9,7,79
449,9,7,79
450,9,7,79
451,9,7,79
452,9,7,79
453,9,7,79
454,9,7,79
455,9,7,79
456,9,7,79
457,9,7,79
458,9,7,79
459,9,7,79
460,9,7,79
461,9,7,79
462,9,7,79
463,9,7,79
464,9,7,79
465,9,7,79
466,9,7,79
467,9,7,79
468,9,7,79
469,9,7,79
470,9,7,79
471,9,7,79
472,9,7,79
473,9,7,79
474,9,7,79
475,9,7,79
476,9,4,76
477,9,7,79
478,9,7,79
479,9,4,76
480,9,4,76
481,9,4,76
482,9,4,76
483,9,4,76
484,9,4,76
485,9,4,76
486,9,4,76
487,9,4,76
488,9,4,76
489,9,4,76
490,9,4,76
491,9,1,73
492,9,1,73
493,9,4,76
494,9,4,76
495,9,4,76
496,9,4,76
497,9,4,76
498,9,4,76
499,9,7,79
500,9,7,79
501,9,7,79
502,9,7,79
503,9,7,79
504,9,7,79
505,9,7,79
506,9,7,79
507,9,7,79
508,9,7,79
509,9,7,79
510,9,7,79
511,9,7,79
512,9,7,79
513,9,7,79
514,9,7,79
515,9,7,79
516,9,7,79
517,9,7,79
518,9,7,79
519,9,7,79
520,9,7,79
521,9,7,79
522,9,7,79
523,9,7,79
524,9,7,79
525,9,7,79
526,9,4,76
527,9,4,76
528,9,4,76
529,9,4,76
530,9,4,76
531,9,4,76
532,9,8,80
533,9,8,80
534,9,8,80
535,9,8,80
536,9,8,80
537,9,8,80
538,9,8,80
539,9,8,80
540,9,8,80
541,9,8,80
542,8,8,71
543,8,8,71
544,8,8,71
545,8,8,71
546,8,8,71
547,8,8,71
548,8,8,71
549,8,8,71
550,8,8,71
551,8,8,71
552,8,8,71
553,8,8,71
554,8,8,71
555,8,8,71
556,8,8,71
557,8,8,71
558,8,8,71
559,8,8,71
560,8,8,71
561,8,8,71
562,8,8,71
563,9,7,79
564,6,7,52
565,6,4,49
566,6,4,49
567,6,4,49
568,6,4,49
569,6,4,49
570,6,4,49
571,6,4,49
572,6,4,49
573,6,7,52
574,6,7,52
575,6,7,52
576,6,7,52
577,6,7,52
578,6,8,53
579,6,4,49
580,6,4,49
581,6,4,49
582,6,4,49
583,6,4,49
584,6,4,49
585,6,4,49
586,6,4,49
587,6,4,49
588,6,4,49
589,6,7,52
590,9,7,79
591,8,7,70
592,8,7,70
593,8,8,71
594,8,8,71
595,8,8,71
596,8,8,71
597,8,7,70
598,8,7,70
599,9,4,76
600,6,4,49
601,6,1,46
602,6,1,46
603,6,1,46
604,9,1,73
605,9,1,73
606,9,1,73
607,9,1,73
608,9,1,73
609,9,1,73
610,9,4,76
611,9,4,76
612,9,4,76
613,9,4,76
614,9,4,76
615,6,4,49
616,6,4,49
617,9,4,76
618,9,4,76
619,9,7,79
620,9,7,79
621,9,7,79
622,9,7,79
623,9,7,79
624,9,7,79
625,9,7,79
626,9,7,79
627,9,7,79
628,9,7,79
629,9,7,79
630,9,7,79
631,9,7,79
632,9,7,79
633,9,7,79
634,9,7,79
635,9,7,79
636,9,7,79
637,9,7,79
638,9,7,79
639,9,7,79
640,9,7,79
641,9,7,79
642,9,7,79
643,9,7,79
644,9,7,79
645,9,7,79
646,9,7,79
647,9,7,79
648,9,7,79
649,9,7,79
650,9,7,79
651,9,7,79
652,9,7,79
653,9,7,79
654,9,7,79
655,9,7,79
656,9,7,79
657,9,7,79
658,6,7,52
659,6,7,52
660,6,7,52
661,6,7,52
662,6,7,52
663,6,7,52
664,6,7,52
665,6,7,52
666,6,7,52
667,6,7,52
668,6,7,52
669,6,7,52
670,6,7,52
671,6,7,52
672,6,7,52
673,6,7,52
674,6,7,52
675,9,7,79
676,6,7,52
677,9,7,79
678,9,7,79
679,9,7,79
680,6,4,49
681,6,4,49
682,6,4,49
683,6,4,49
684,6,4,49
685,6,4,49
686,9,8,80
687,9,7,79
688,6,7,52
689,6,7,52
690,9,7,79
691,8,7,70
692,9,7,79
693,9,7,79
694,9,7,79
695,9,7,79
696,9,7,79
697,9,7,79
698,9,7,79
699,9,7,79
700,9,7,79
701,9,7,79
702,9,7,79
703,9,7,79
704,9,7,79
705,9,7,79
706,9,7,79
707,9,7,79
708,9,7,79
