frame_idx,l_label,r_label,label
0,5,5,41
1,5,5,41
2,5,5,41
3,5,5,41
4,5,5,41
5,5,4,40
6,5,4,40
7,5,4,40
8,5,1,37
9,5,1,37
10,2,1,10
11,3,1,19
12,2,1,10
13,2,1,10
14,2,1,10
15,6,1,46
16,6,4,49
17,6,4,49
18,6,4,49
19,6,4,49
20,6,4,49
21,6,4,49
22,6,4,49
23,6,4,49
24,6,4,49
25,5,4,40
26,5,4,40
27,5,4,40
28,5,5,41
29,5,5,41
30,5,5,41
31,5,5,41
32,5,5,41
33,5,5,41
34,5,5,41
35,5,5,41
36,5,5,41
37,5,5,41
38,5,4,40
39,5,4,40
40,5,4,40
41,5,4,40
42,5,4,40
43,5,5,41
44,5,5,41
45,5,5,41
46,5,4,40
47,6,4,49
48,3,4,22
49,3,4,22
50,5,4,40
51,5,4,40
52,5,4,40
53,5,4,40
54,5,4,40
55,5,4,40
56,5,4,40
57,5,4,40
58,5,4,40
59,5,4,40
60,5,4,40
61,5,4,40
62,5,4,40
63,5,4,40
64,5,4,40
65,5,4,40
66,5,4,40
67,5,4,40
68,5,4,40
69,5,4,40
70,5,4,40
71,5,4,40
72,5,4,40
73,5,4,40
74,5,4,40
75,5,4,40
76,5,4,40
77,6,4,49
78,6,4,49
79,6,4,49
80,6,4,49
81,6,4,49
82,6,4,49
83,6,4,49
84,6,4,49
85,6,4,49
86,6,4,49
87,5,4,40
88,5,4,40
89,5,4,40
90,5,4,40
91,5,4,40
92,5,4,40
93,5,4,40
94,5,4,40
95,5,4,40
96,5,4,40
97,5,4,40
98,5,4,40
99,5,4,40
100,5,4,40
101,5,4,40
102,5,4,40
103,5,4,40
104,5,4,40
105,5,4,40
106,5,4,40
107,5,4,40
108,5,4,40
109,5,4,40
110,5,5,41
111,5,5,41
112,5,5,41
113,5,5,41
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,5,5,41
119,5,5,41
120,5,5,41
121,5,5,41
122,5,5,41
123,5,5,41
124,5,5,41
125,5,5,41
126,5,5,41
127,5,5,41
128,5,5,41
129,5,5,41
130,5,5,41
131,5,5,41
132,5,5,41
133,5,5,41
134,5,5,41
135,5,5,41
136,5,5,41
137,5,5,41
138,5,5,41
139,5,4,40
140,5,4,40
141,5,4,40
142,5,4,40
143,5,4,40
144,5,4,40
145,5,4,40
146,5,4,40
147,5,4,40
148,5,4,40
149,5,5,41
150,5,5,41
151,5,5,41
152,5,5,41
153,5,5,41
154,5,5,41
155,5,5,41
156,5,5,41
157,5,5,41
158,5,5,41
159,5,5,41
160,5,5,41
161,5,5,41
162,5,5,41
163,5,5,41
164,5,5,41
165,5,5,41
166,5,5,41
167,5,5,41
168,5,5,41
169,5,4,40
171,1,2,2
172,1,2,2
173,1,2,2
174,1,2,2
175,1,2,2
176,1,2,2
177,1,2,2
178,1,2,2
179,1,2,2
180,1,2,2
181,1,2,2
182,1,2,2
183,1,2,2
184,1,2,2
185,1,2,2
186,1,2,2
187,1,2,2
188,1,2,2
189,1,2,2
190,1,2,2
191,1,2,2
192,1,2,2
193,1,2,2
194,1,2,2
195,1,2,2
196,2,2,11
197,1,2,2
198,1,2,2
199,1,2,2
200,1,2,2
201,1,2,2
202,1,2,2
203,1,2,2
204,1,2,2
205,1,2,2
206,1,2,2
207,1,2,2
208,3,1,19
210,5,4,40
211,5,4,40
212,5,4,40
213,5,4,40
214,5,5,41
215,5,5,41
216,5,5,41
217,5,5,41
218,5,5,41
219,5,5,41
220,5,5,41
221,5,5,41
222,5,5,41
223,5,5,41
224,5,5,41
225,5,5,41
226,5,5,41
227,5,5,41
228,5,5,41
229,5,5,41
230,5,5,41
231,5,4,40
232,5,4,40
233,5,4,40
234,5,4,40
235,5,4,40
236,5,4,40
237,5,5,41
238,5,5,41
239,5,5,41
240,5,5,41
241,5,5,41
242,5,5,41
243,5,5,41
244,5,5,41
245,5,5,41
246,5,5,41
247,5,5,41
248,5,5,41
249,5,5,41
250,5,5,41
251,5,5,41
252,5,5,41
253,5,5,41
254,5,5,41
255,5,5,41
256,5,5,41
257,2,5,14
258,2,5,14
259,5,5,41
260,5,5,41
261,5,5,41
262,5,5,41
263,5,5,41
264,5,5,41
265,6,5,50
266,6,5,50
267,6,5,50
268,6,5,50
269,6,5,50
270,5,5,41
271,5,5,41
272,5,5,41
273,5,5,41
274,5,5,41
275,5,5,41
276,5,5,41
277,5,5,41
278,6,5,50
279,6,5,50
280,6,5,50
281,6,5,50
282,6,5,50
283,6,5,50
284,6,5,50
285,3,5,23
286,3,5,23
287,3,5,23
288,3,5,23
289,3,5,23
290,3,5,23
291,3,5,23
292,3,5,23
293,3,5,23
294,5,5,41
295,5,5,41
296,5,5,41
297,5,5,41
298,5,5,41
299,5,5,41
300,5,5,41
301,5,5,41
302,5,5,41
303,5,5,41
304,5,5,41
305,5,5,41
306,5,5,41
307,5,5,41
308,5,5,41
309,5,5,41
310,5,5,41
311,5,5,41
312,5,5,41
313,5,5,41
314,2,5,14
315,2,5,14
316,3,5,23
317,3,5,23
318,5,5,41
319,5,5,41
320,5,5,41
321,5,5,41
322,5,5,41
323,5,5,41
324,5,5,41
325,5,5,41
326,5,5,41
327,5,5,41
328,5,5,41
329,5,5,41
330,5,5,41
331,5,5,41
332,5,5,41
333,5,5,41
334,5,5,41
335,5,4,40
336,5,4,40
337,5,4,40
338,5,4,40
339,5,4,40
340,5,4,40
341,5,4,40
342,5,4,40
343,5,4,40
344,5,4,40
345,5,4,40
346,5,4,40
347,5,4,40
348,5,4,40
349,5,4,40
350,5,4,40
351,5,4,40
352,5,4,40
353,5,4,40
354,5,5,41
355,5,5,41
356,5,5,41
357,5,4,40
358,5,4,40
359,5,4,40
360,5,4,40
