frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,8,8,71
4,8,8,71
5,8,8,71
6,8,8,71
7,8,8,71
8,8,8,71
9,8,8,71
10,8,8,71
11,8,8,71
12,8,8,71
13,8,8,71
14,8,8,71
15,8,8,71
16,8,8,71
17,8,8,71
18,8,8,71
19,8,8,71
20,8,8,71
21,8,8,71
22,8,8,71
23,8,8,71
24,8,8,71
25,8,8,71
26,8,8,71
27,8,8,71
28,8,8,71
29,8,8,71
30,8,8,71
31,8,8,71
32,8,8,71
33,8,8,71
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,8,71
69,8,8,71
70,8,8,71
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,8,8,71
76,9,7,79
77,6,7,52
78,6,7,52
79,9,7,79
80,9,8,80
81,9,8,80
82,9,8,80
83,9,8,80
84,9,8,80
85,9,8,80
86,9,8,80
87,9,8,80
88,9,8,80
89,9,8,80
90,9,8,80
91,9,8,80
92,9,8,80
93,9,8,80
94,9,8,80
95,9,8,80
96,9,9,81
97,9,9,81
98,9,9,81
99,9,9,81
100,9,9,81
101,9,9,81
102,9,9,81
103,9,9,81
104,9,9,81
105,9,9,81
106,9,8,80
107,9,8,80
108,9,9,81
109,9,9,81
110,9,9,81
111,9,9,81
112,6,9,54
113,6,9,54
114,9,9,81
115,9,9,81
116,9,9,81
117,9,9,81
118,8,9,72
119,8,9,72
120,9,9,81
121,5,6,42
122,6,6,51
123,5,6,42
124,5,5,41
125,5,5,41
126,5,4,40
127,5,7,43
128,9,7,79
129,9,7,79
130,6,7,52
136,5,1,37
137,1,1,1
138,5,1,37
139,5,1,37
140,5,1,37
141,6,1,46
142,5,1,37
143,4,1,28
144,4,1,28
145,4,1,28
146,4,1,28
147,4,4,31
148,5,1,37
149,5,1,37
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,8,71
171,8,8,71
172,8,8,71
173,8,8,71
174,8,8,71
175,8,8,71
176,8,8,71
177,8,8,71
178,8,8,71
179,8,8,71
180,8,8,71
181,8,8,71
182,8,8,71
183,8,8,71
184,8,8,71
185,8,8,71
186,8,8,71
187,8,8,71
188,8,8,71
189,8,8,71
190,8,8,71
191,8,8,71
192,8,8,71
193,8,8,71
194,8,8,71
195,8,8,71
196,8,8,71
197,8,8,71
198,8,8,71
199,8,8,71
200,8,8,71
201,8,8,71
202,8,8,71
203,8,8,71
204,8,8,71
205,8,8,71
206,8,8,71
207,8,8,71
208,8,8,71
209,8,8,71
210,8,8,71
211,8,8,71
212,8,8,71
213,8,8,71
214,8,8,71
215,8,5,68
216,8,5,68
217,8,5,68
218,8,5,68
219,8,4,67
220,8,4,67
221,8,4,67
222,8,1,64
223,8,1,64
224,8,1,64
225,8,1,64
226,8,1,64
227,8,1,64
228,8,1,64
229,8,2,65
230,8,5,68
231,8,5,68
232,8,5,68
233,8,5,68
234,8,5,68
235,8,5,68
236,8,5,68
237,8,5,68
238,8,5,68
239,8,5,68
240,8,5,68
241,8,5,68
242,8,5,68
243,8,5,68
244,8,5,68
245,8,5,68
246,8,5,68
247,8,8,71
248,8,8,71
249,8,8,71
250,8,8,71
251,8,8,71
252,8,8,71
253,8,8,71
254,8,8,71
255,8,8,71
256,8,8,71
257,8,8,71
258,8,8,71
259,8,8,71
260,8,8,71
261,8,8,71
262,8,8,71
263,8,8,71
264,8,8,71
265,8,8,71
266,8,8,71
267,8,8,71
268,8,8,71
269,8,8,71
270,8,8,71
271,8,8,71
272,8,8,71
273,8,8,71
274,8,8,71
275,8,8,71
276,8,8,71
277,8,8,71
278,8,8,71
279,8,8,71
280,8,8,71
281,8,8,71
282,8,8,71
283,8,8,71
284,8,8,71
285,8,8,71
286,8,8,71
287,8,8,71
288,8,8,71
289,8,8,71
290,8,8,71
291,8,8,71
292,8,8,71
293,8,8,71
294,8,8,71
295,8,8,71
296,8,8,71
297,8,8,71
298,8,8,71
299,8,8,71
300,8,8,71
301,8,8,71
302,8,8,71
303,8,8,71
304,8,8,71
305,8,8,71
306,8,8,71
307,8,8,71
308,8,8,71
309,8,8,71
310,8,8,71
