frame_idx,l_label,r_label,label
0,9,7,79
1,9,8,80
2,9,8,80
3,9,5,77
4,9,5,77
5,9,5,77
6,9,5,77
7,9,5,77
8,9,5,77
9,9,5,77
10,9,5,77
11,9,5,77
12,9,5,77
13,9,5,77
14,9,5,77
15,9,5,77
16,9,5,77
17,9,5,77
18,9,5,77
19,9,5,77
20,9,5,77
21,9,5,77
22,9,5,77
23,9,5,77
24,9,5,77
25,9,5,77
26,9,5,77
27,9,5,77
28,9,5,77
29,9,5,77
30,9,5,77
31,9,5,77
32,9,5,77
33,9,5,77
34,9,5,77
35,9,5,77
36,9,5,77
37,9,5,77
38,9,5,77
39,9,5,77
40,9,5,77
41,9,5,77
42,9,5,77
43,9,5,77
44,9,5,77
45,9,5,77
46,9,5,77
47,9,5,77
48,9,8,80
49,9,8,80
50,9,8,80
51,9,8,80
52,9,8,80
53,9,8,80
54,9,8,80
55,9,8,80
56,9,8,80
57,9,8,80
58,9,7,79
59,9,7,79
60,9,7,79
61,9,8,80
62,9,8,80
63,9,8,80
64,9,8,80
65,9,8,80
66,9,8,80
67,9,7,79
68,9,7,79
69,9,7,79
70,9,7,79
71,9,7,79
72,9,7,79
73,9,7,79
74,9,7,79
75,9,7,79
76,9,7,79
77,9,7,79
78,9,7,79
79,9,7,79
80,9,7,79
81,9,7,79
82,9,7,79
83,9,7,79
84,9,7,79
85,9,7,79
86,9,7,79
87,9,7,79
88,9,7,79
89,9,7,79
90,9,7,79
91,9,7,79
92,9,7,79
93,9,7,79
94,9,8,80
95,9,8,80
96,9,8,80
97,9,8,80
98,8,8,71
99,8,5,68
100,5,5,41
101,5,5,41
102,6,5,50
103,6,4,49
104,6,4,49
105,6,4,49
106,6,4,49
107,6,4,49
108,6,4,49
109,6,4,49
110,6,4,49
111,6,4,49
112,6,4,49
113,6,4,49
114,6,4,49
115,6,4,49
116,6,4,49
117,6,4,49
118,6,4,49
119,6,4,49
120,6,4,49
121,6,4,49
122,6,4,49
123,6,4,49
124,6,4,49
125,6,4,49
126,6,4,49
127,6,4,49
128,6,4,49
129,6,4,49
130,6,4,49
131,6,4,49
132,6,4,49
133,6,4,49
134,6,4,49
135,6,4,49
136,6,4,49
137,6,4,49
138,6,4,49
139,6,4,49
140,6,4,49
141,6,4,49
142,6,4,49
143,6,4,49
144,6,4,49
145,6,4,49
146,5,5,41
147,5,5,41
148,5,5,41
149,5,5,41
150,5,5,41
151,5,5,41
152,5,5,41
153,5,5,41
154,5,5,41
155,5,5,41
156,5,5,41
157,5,5,41
158,5,5,41
159,5,5,41
160,5,5,41
161,5,5,41
162,5,5,41
163,5,5,41
164,5,5,41
165,5,5,41
166,5,8,44
167,5,8,44
168,5,8,44
169,5,5,41
170,5,8,44
171,5,8,44
172,8,8,71
173,9,8,80
174,9,8,80
175,9,8,80
176,9,8,80
177,9,8,80
178,9,8,80
179,9,8,80
180,9,8,80
181,9,8,80
182,9,5,77
183,9,5,77
184,9,5,77
185,9,5,77
186,9,5,77
187,9,5,77
188,9,5,77
189,9,5,77
190,9,5,77
191,9,5,77
192,9,5,77
193,9,5,77
194,9,5,77
195,9,5,77
196,9,5,77
197,9,5,77
198,9,5,77
199,9,5,77
200,9,5,77
201,9,5,77
202,9,5,77
203,9,5,77
204,9,5,77
205,9,5,77
206,9,5,77
207,9,5,77
208,9,5,77
209,9,5,77
210,9,5,77
211,9,5,77
212,9,5,77
213,9,5,77
214,9,5,77
215,9,5,77
216,9,5,77
217,9,5,77
218,9,5,77
219,9,5,77
220,9,5,77
221,9,5,77
222,9,5,77
223,9,5,77
224,9,5,77
225,9,5,77
226,9,5,77
227,9,5,77
228,9,5,77
229,9,5,77
230,9,5,77
231,9,5,77
232,9,5,77
233,9,5,77
234,9,5,77
235,9,5,77
236,9,5,77
237,9,5,77
238,9,5,77
239,9,5,77
240,9,5,77
241,9,5,77
242,9,5,77
243,9,5,77
244,9,5,77
245,9,5,77
246,9,5,77
247,9,5,77
248,9,5,77
249,9,5,77
250,9,5,77
251,6,5,50
252,6,5,50
253,6,5,50
254,6,5,50
255,6,5,50
256,6,5,50
257,6,5,50
258,5,5,41
259,5,5,41
260,5,5,41
261,5,5,41
262,6,5,50
263,6,4,49
264,6,4,49
265,6,4,49
266,6,4,49
267,5,4,40
268,5,4,40
269,5,5,41
270,5,5,41
271,5,5,41
272,5,5,41
273,6,5,50
274,6,5,50
275,6,5,50
276,6,5,50
277,6,5,50
278,6,5,50
279,5,5,41
280,5,5,41
281,5,5,41
282,5,5,41
283,5,5,41
284,5,5,41
285,5,5,41
286,5,5,41
287,5,5,41
288,5,5,41
289,5,5,41
290,5,5,41
291,5,5,41
292,5,5,41
293,5,5,41
294,5,5,41
295,5,5,41
296,5,5,41
297,5,5,41
298,5,5,41
299,5,5,41
300,5,5,41
301,5,5,41
302,5,5,41
303,5,5,41
304,5,5,41
305,5,5,41
306,5,5,41
307,5,5,41
308,5,4,40
309,5,4,40
310,5,4,40
311,5,4,40
312,5,4,40
313,5,4,40
314,5,4,40
315,5,4,40
316,5,4,40
317,5,4,40
318,5,4,40
319,5,5,41
320,5,5,41
321,5,5,41
322,5,4,40
323,6,4,49
324,6,4,49
325,6,4,49
326,6,4,49
327,6,4,49
328,6,4,49
329,6,4,49
330,6,4,49
331,6,4,49
332,6,4,49
333,6,4,49
334,6,4,49
335,6,7,52
336,6,7,52
337,6,7,52
338,6,7,52
339,6,4,49
340,6,4,49
341,6,4,49
342,6,4,49
343,6,4,49
344,6,4,49
345,6,4,49
346,6,4,49
347,6,4,49
348,6,4,49
349,6,4,49
350,9,4,76
351,8,4,67
352,8,4,67
353,8,4,67
354,9,4,76
355,9,4,76
356,9,4,76
357,9,4,76
358,9,4,76
359,9,4,76
360,9,4,76
361,9,4,76
362,9,4,76
363,9,4,76
364,9,7,79
365,9,7,79
366,9,7,79
367,9,7,79
368,9,7,79
369,9,4,76
370,9,4,76
371,9,4,76
372,9,5,77
373,9,5,77
374,9,5,77
375,9,5,77
376,9,5,77
377,9,5,77
378,9,5,77
379,9,5,77
380,9,5,77
381,9,5,77
382,9,5,77
383,9,5,77
384,9,5,77
385,9,5,77
386,9,8,80
387,9,8,80
388,9,8,80
389,9,8,80
390,9,8,80
391,9,5,77
392,9,5,77
393,9,5,77
394,9,5,77
395,9,8,80
396,9,8,80
397,9,8,80
398,9,8,80
399,9,8,80
400,9,8,80
401,9,8,80
402,9,8,80
403,9,8,80
404,9,8,80
405,9,8,80
406,9,8,80
407,9,8,80
408,9,8,80
409,9,8,80
410,9,8,80
411,9,8,80
412,9,8,80
413,9,8,80
414,9,8,80
415,9,8,80
416,9,8,80
417,9,8,80
418,9,5,77
419,6,5,50
420,6,5,50
421,6,5,50
422,6,5,50
423,6,5,50
424,6,5,50
425,6,5,50
426,6,4,49
427,6,4,49
428,6,4,49
429,6,4,49
430,6,4,49
431,6,4,49
432,6,4,49
433,6,4,49
434,6,4,49
435,6,4,49
436,6,4,49
437,6,4,49
438,6,4,49
439,6,4,49
440,6,4,49
441,6,4,49
442,6,4,49
443,6,5,50
444,5,5,41
445,5,5,41
446,5,5,41
447,5,5,41
448,5,5,41
449,5,8,44
450,5,8,44
451,8,8,71
452,8,8,71
453,8,8,71
454,8,8,71
455,8,8,71
456,8,8,71
457,8,8,71
458,8,8,71
459,8,8,71
460,8,8,71
461,8,8,71
462,8,8,71
463,8,8,71
464,8,8,71
465,8,8,71
724,6,4,49
725,6,4,49
726,6,4,49
727,6,4,49
728,6,4,49
729,6,7,52
730,6,7,52
