frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,8,80
3,9,8,80
4,9,5,77
5,9,5,77
6,9,5,77
7,9,5,77
8,9,5,77
9,9,5,77
10,9,5,77
11,9,5,77
12,9,5,77
13,9,8,80
14,9,8,80
15,9,8,80
16,9,8,80
17,9,8,80
18,9,8,80
19,9,8,80
20,9,8,80
21,9,8,80
22,9,8,80
23,9,8,80
24,9,8,80
25,9,8,80
26,9,8,80
27,9,8,80
28,9,8,80
29,9,8,80
30,9,8,80
31,9,8,80
32,9,8,80
33,9,8,80
34,9,7,79
35,9,7,79
36,9,4,76
37,9,5,77
38,9,5,77
39,9,5,77
40,9,5,77
41,9,5,77
42,9,5,77
43,9,5,77
44,9,5,77
45,9,5,77
46,9,5,77
47,9,5,77
48,9,5,77
49,9,5,77
50,9,5,77
51,9,5,77
52,9,5,77
53,9,5,77
54,9,5,77
55,9,5,77
56,9,5,77
57,9,5,77
58,9,5,77
59,9,5,77
60,9,5,77
61,9,5,77
62,9,5,77
63,9,5,77
64,9,5,77
65,9,5,77
66,9,5,77
67,9,5,77
68,9,5,77
69,9,5,77
70,9,5,77
71,9,5,77
72,9,5,77
73,9,5,77
74,9,5,77
75,9,5,77
76,9,5,77
77,9,5,77
78,9,5,77
79,9,5,77
80,9,5,77
81,9,5,77
82,9,5,77
83,9,5,77
84,9,5,77
85,9,5,77
86,9,5,77
87,9,5,77
88,6,5,50
89,6,5,50
90,6,5,50
91,6,5,50
92,6,5,50
93,5,5,41
94,5,5,41
95,5,5,41
96,5,5,41
97,5,5,41
98,5,5,41
99,5,5,41
100,5,5,41
101,5,5,41
102,5,5,41
103,5,5,41
104,5,5,41
105,5,5,41
106,5,5,41
107,5,5,41
108,5,5,41
109,5,5,41
110,5,5,41
111,5,5,41
112,5,5,41
113,5,5,41
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,5,5,41
119,5,5,41
120,5,5,41
121,5,5,41
122,5,5,41
123,5,5,41
124,5,5,41
125,5,5,41
126,5,5,41
127,5,5,41
128,5,5,41
129,5,5,41
130,5,4,40
131,6,4,49
132,6,4,49
133,6,4,49
134,6,4,49
135,6,4,49
136,6,4,49
137,6,4,49
138,6,4,49
139,6,4,49
140,6,4,49
141,6,4,49
142,6,4,49
143,6,4,49
144,6,4,49
145,6,4,49
146,6,4,49
147,6,4,49
148,6,4,49
149,6,4,49
150,6,4,49
151,6,4,49
152,6,4,49
153,6,4,49
154,6,4,49
155,6,4,49
156,6,4,49
157,6,4,49
158,6,4,49
159,6,4,49
160,6,4,49
161,6,4,49
162,6,5,50
163,5,5,41
164,5,5,41
165,5,5,41
166,5,5,41
167,5,5,41
168,5,5,41
169,5,5,41
170,5,5,41
171,5,5,41
172,5,5,41
173,5,5,41
174,5,5,41
175,5,5,41
176,5,5,41
177,5,5,41
178,5,5,41
179,5,5,41
180,5,5,41
181,5,5,41
182,5,5,41
183,5,5,41
184,5,5,41
185,5,5,41
186,5,5,41
187,5,5,41
188,5,5,41
189,5,5,41
190,5,5,41
191,5,5,41
192,5,5,41
193,5,5,41
194,5,5,41
195,5,5,41
196,5,5,41
197,5,5,41
198,5,5,41
199,5,5,41
200,5,5,41
201,5,5,41
202,5,5,41
203,5,5,41
204,5,5,41
205,5,5,41
206,5,4,40
207,5,4,40
208,5,4,40
209,5,4,40
210,5,5,41
211,5,5,41
212,5,5,41
213,5,5,41
214,5,5,41
215,5,5,41
216,5,5,41
217,5,5,41
218,5,5,41
219,5,7,43
220,5,7,43
221,5,7,43
222,5,7,43
223,5,7,43
224,5,7,43
225,5,7,43
226,5,7,43
227,5,7,43
484,2,1,10
504,2,3,12
505,2,3,12
506,1,3,3
507,3,1,19
508,2,2,11
509,1,1,1
511,8,8,71
512,8,8,71
513,8,8,71
514,8,8,71
515,8,8,71
516,8,8,71
517,8,8,71
518,8,8,71
519,8,8,71
520,8,8,71
521,8,8,71
522,8,8,71
523,8,8,71
524,8,8,71
525,8,8,71
526,8,8,71
527,8,8,71
528,8,8,71
529,8,8,71
530,8,8,71
531,8,8,71
532,8,8,71
533,8,8,71
534,8,8,71
535,8,8,71
536,8,8,71
537,8,8,71
538,8,8,71
539,8,8,71
540,8,8,71
541,8,8,71
542,8,8,71
543,8,8,71
544,8,8,71
545,8,8,71
546,8,8,71
547,8,8,71
548,8,8,71
549,8,8,71
550,8,8,71
551,8,8,71
552,8,8,71
553,8,8,71
554,8,8,71
555,8,8,71
556,8,8,71
557,8,8,71
558,8,8,71
559,8,8,71
560,8,8,71
561,8,8,71
562,8,8,71
563,8,8,71
564,8,8,71
565,8,8,71
566,8,8,71
567,8,8,71
568,8,8,71
569,8,8,71
570,8,8,71
571,8,8,71
572,8,5,68
573,8,5,68
574,8,5,68
575,8,5,68
576,8,5,68
577,8,5,68
578,8,5,68
579,8,5,68
580,8,5,68
581,8,5,68
582,8,5,68
583,8,5,68
584,8,5,68
585,8,5,68
586,8,5,68
587,8,5,68
588,8,5,68
589,8,5,68
590,8,8,71
591,8,8,71
592,8,8,71
593,8,8,71
594,8,8,71
595,8,8,71
596,8,8,71
597,8,8,71
598,8,8,71
599,8,8,71
600,8,8,71
601,8,8,71
602,8,8,71
603,8,8,71
604,8,8,71
605,8,8,71
606,8,8,71
607,8,8,71
608,8,8,71
609,8,8,71
610,8,8,71
611,8,8,71
612,8,8,71
613,8,8,71
614,8,8,71
615,8,8,71
616,8,8,71
617,8,8,71
618,8,8,71
619,8,8,71
620,8,8,71
621,8,8,71
622,8,8,71
623,8,8,71
624,8,8,71
625,8,8,71
626,8,8,71
627,8,8,71
628,8,8,71
629,8,8,71
630,8,8,71
631,8,8,71
632,8,8,71
633,8,8,71
634,8,8,71
635,8,8,71
636,8,8,71
637,8,8,71
638,8,8,71
639,8,8,71
640,8,8,71
641,8,8,71
642,8,8,71
643,8,8,71
644,8,8,71
645,8,8,71
646,8,9,72
647,8,8,71
648,8,8,71
649,8,8,71
650,9,8,80
651,8,8,71
652,8,8,71
653,8,8,71
654,8,8,71
655,8,8,71
656,8,8,71
657,8,8,71
658,8,8,71
659,8,8,71
660,8,8,71
661,8,8,71
662,8,8,71
663,8,8,71
664,8,8,71
665,8,8,71
666,8,7,70
667,8,7,70
668,8,8,71
669,8,8,71
670,8,8,71
671,8,5,68
672,8,5,68
673,8,6,69
674,8,9,72
675,8,9,72
676,8,6,69
677,8,9,72
678,8,8,71
679,8,8,71
680,8,8,71
681,8,8,71
682,8,8,71
683,8,5,68
684,8,5,68
685,8,5,68
686,8,5,68
687,8,5,68
688,8,5,68
689,8,5,68
690,8,5,68
691,9,5,77
692,9,5,77
693,9,5,77
694,9,5,77
695,9,5,77
696,8,5,68
697,5,5,41
