frame_idx,l_label,r_label,label
0,6,5,50
1,6,5,50
2,9,5,77
3,9,5,77
4,9,5,77
5,9,5,77
6,9,5,77
7,9,5,77
8,9,5,77
9,9,5,77
10,9,5,77
11,9,5,77
12,9,5,77
13,9,5,77
14,9,5,77
15,9,5,77
16,9,5,77
17,9,5,77
18,9,5,77
19,9,5,77
20,9,5,77
21,9,5,77
22,9,5,77
23,9,5,77
24,9,5,77
25,9,5,77
26,9,5,77
27,9,5,77
28,9,5,77
29,9,5,77
30,6,5,50
31,6,5,50
32,6,5,50
33,6,5,50
34,6,5,50
35,6,5,50
36,6,5,50
37,6,5,50
38,6,5,50
39,6,5,50
40,5,5,41
41,5,5,41
42,5,5,41
43,5,5,41
44,5,5,41
45,5,5,41
46,5,5,41
47,5,5,41
48,5,5,41
49,5,5,41
50,6,5,50
51,6,5,50
52,6,5,50
53,6,5,50
54,6,5,50
55,6,5,50
56,6,5,50
57,6,5,50
58,6,5,50
59,6,5,50
60,6,5,50
61,6,5,50
62,6,5,50
63,6,5,50
64,6,5,50
65,5,5,41
66,5,5,41
67,5,5,41
68,5,5,41
69,5,5,41
70,5,5,41
71,5,5,41
72,5,5,41
73,5,5,41
74,5,5,41
75,5,5,41
76,5,5,41
77,5,5,41
78,5,5,41
79,5,5,41
80,5,5,41
81,5,5,41
82,5,5,41
83,5,5,41
84,5,5,41
85,5,5,41
86,5,5,41
87,5,5,41
88,5,5,41
89,5,5,41
90,5,5,41
91,6,5,50
92,6,5,50
93,6,5,50
94,6,5,50
95,6,5,50
96,6,5,50
97,5,5,41
98,5,5,41
99,5,5,41
100,5,5,41
101,5,5,41
102,5,5,41
103,5,5,41
104,5,5,41
105,5,5,41
106,5,5,41
107,5,5,41
108,5,5,41
109,5,5,41
110,5,5,41
111,5,5,41
112,5,5,41
113,5,5,41
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,5,5,41
119,5,5,41
120,5,5,41
121,5,5,41
122,5,5,41
123,5,5,41
124,5,5,41
125,5,5,41
126,5,5,41
127,5,5,41
128,5,5,41
129,5,5,41
130,5,5,41
131,5,5,41
132,5,5,41
133,5,5,41
134,5,5,41
135,5,5,41
136,5,5,41
137,5,5,41
138,5,5,41
139,5,5,41
140,5,5,41
141,5,5,41
142,5,5,41
143,5,5,41
144,5,5,41
145,5,5,41
146,5,5,41
147,5,5,41
148,5,5,41
149,5,5,41
150,5,5,41
151,6,5,50
152,6,5,50
153,6,5,50
154,6,5,50
155,6,5,50
156,6,5,50
157,6,5,50
158,6,5,50
159,6,5,50
