frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,8,8,71
4,8,8,71
5,8,8,71
6,8,7,70
7,8,7,70
8,8,7,70
9,8,7,70
10,8,7,70
11,8,7,70
12,8,7,70
13,8,7,70
14,8,7,70
15,8,4,67
16,8,4,67
17,8,4,67
18,8,4,67
19,8,4,67
20,8,4,67
21,8,4,67
22,8,4,67
23,8,4,67
24,8,4,67
25,8,5,68
26,8,5,68
27,8,5,68
28,8,5,68
29,8,5,68
30,8,5,68
31,8,5,68
32,8,5,68
33,8,5,68
34,8,8,71
35,8,8,71
36,8,8,71
37,8,8,71
38,8,8,71
39,8,8,71
40,8,8,71
41,8,8,71
42,8,8,71
43,8,8,71
44,8,8,71
45,8,8,71
46,8,8,71
47,8,8,71
48,8,8,71
49,8,8,71
50,8,8,71
51,8,8,71
52,8,8,71
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,8,8,71
60,8,8,71
61,8,8,71
62,8,8,71
63,8,8,71
64,8,8,71
65,8,8,71
66,8,8,71
67,8,8,71
68,8,8,71
69,8,8,71
70,8,8,71
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,8,8,71
76,8,8,71
77,8,8,71
78,8,8,71
79,8,8,71
80,8,8,71
81,8,8,71
82,8,8,71
83,8,8,71
84,8,8,71
85,8,8,71
86,8,8,71
87,8,8,71
88,8,8,71
89,8,8,71
90,8,8,71
91,8,8,71
92,8,8,71
93,8,8,71
94,8,8,71
95,8,8,71
96,8,8,71
97,8,8,71
98,8,8,71
99,8,8,71
100,8,8,71
101,8,8,71
102,8,8,71
103,8,8,71
104,8,8,71
105,8,8,71
106,8,8,71
107,8,8,71
108,8,8,71
109,8,8,71
110,8,8,71
111,8,8,71
112,8,8,71
113,8,8,71
114,8,8,71
115,8,8,71
116,8,8,71
117,8,8,71
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,8,8,71
140,8,8,71
141,8,8,71
142,8,8,71
143,8,8,71
144,8,8,71
145,8,8,71
146,8,8,71
147,8,8,71
148,8,8,71
149,8,8,71
150,8,8,71
151,8,8,71
152,8,8,71
153,8,8,71
154,8,8,71
155,8,8,71
156,8,8,71
157,8,8,71
158,8,8,71
159,8,8,71
160,8,8,71
161,8,8,71
162,8,8,71
163,8,8,71
164,8,8,71
165,8,8,71
166,8,8,71
167,8,8,71
168,8,8,71
169,8,8,71
170,8,8,71
171,8,8,71
172,8,8,71
173,8,8,71
174,8,8,71
175,8,8,71
176,8,8,71
177,8,8,71
178,8,8,71
179,8,8,71
180,8,8,71
181,8,8,71
182,8,8,71
183,8,5,68
184,8,5,68
185,8,5,68
186,8,5,68
187,8,5,68
188,8,5,68
189,8,5,68
190,8,5,68
191,8,5,68
192,8,5,68
193,8,5,68
194,8,5,68
195,8,5,68
196,8,5,68
197,8,5,68
198,8,5,68
199,8,5,68
200,8,5,68
201,8,5,68
202,8,5,68
203,8,5,68
204,8,5,68
205,8,5,68
479,3,3,21
480,1,3,3
481,1,1,1
482,2,3,12
483,2,2,11
484,2,1,10
485,2,2,11
486,2,2,11
487,2,2,11
488,2,2,11
489,2,2,11
490,2,2,11
491,2,2,11
492,2,2,11
493,2,2,11
494,2,2,11
495,3,2,20
497,5,5,41
498,8,5,68
499,8,5,68
500,8,8,71
501,8,8,71
502,8,8,71
503,8,8,71
504,8,8,71
505,8,8,71
506,8,8,71
507,8,8,71
508,8,8,71
509,8,8,71
510,8,8,71
511,8,8,71
512,8,8,71
513,8,8,71
514,8,8,71
515,8,8,71
516,8,8,71
517,8,8,71
518,8,8,71
519,8,8,71
520,8,8,71
521,8,8,71
522,8,8,71
523,8,8,71
524,8,8,71
525,8,8,71
526,8,8,71
527,8,8,71
528,8,8,71
529,8,8,71
530,8,8,71
531,8,8,71
532,8,8,71
533,8,8,71
534,8,8,71
535,8,8,71
536,8,8,71
537,8,8,71
538,8,8,71
539,8,8,71
540,8,8,71
541,8,8,71
542,8,8,71
543,8,8,71
544,8,8,71
545,8,8,71
546,8,8,71
547,8,8,71
548,8,8,71
549,8,8,71
550,8,8,71
551,8,8,71
552,8,8,71
553,8,8,71
554,8,8,71
555,8,8,71
556,8,8,71
557,8,8,71
558,8,8,71
559,8,5,68
560,8,5,68
561,8,5,68
562,8,5,68
563,8,5,68
564,8,5,68
565,8,5,68
566,8,5,68
567,8,5,68
568,8,5,68
569,8,5,68
570,8,5,68
571,8,5,68
572,8,5,68
573,8,5,68
574,8,5,68
575,8,5,68
576,8,5,68
577,8,5,68
578,8,5,68
579,8,5,68
