frame_idx,l_label,r_label,label
0,9,8,80
1,9,8,80
2,9,8,80
3,9,8,80
4,9,8,80
5,9,8,80
6,9,8,80
7,9,5,77
8,9,5,77
9,9,5,77
10,9,4,76
11,9,4,76
12,9,4,76
13,9,4,76
14,9,4,76
15,9,4,76
16,9,4,76
17,9,7,79
18,9,7,79
19,9,7,79
20,9,7,79
21,9,7,79
22,9,7,79
23,9,7,79
24,9,7,79
25,9,7,79
26,9,7,79
27,9,7,79
28,9,7,79
29,9,7,79
30,9,7,79
31,9,7,79
32,9,7,79
33,9,7,79
34,9,7,79
35,9,7,79
36,9,7,79
37,9,7,79
38,9,7,79
39,9,7,79
40,6,7,52
41,6,7,52
42,6,7,52
43,6,7,52
44,6,7,52
45,6,8,53
46,6,5,50
47,6,5,50
48,6,5,50
49,6,5,50
50,6,5,50
51,6,5,50
52,6,5,50
53,6,5,50
54,6,5,50
55,6,5,50
56,6,5,50
57,6,5,50
58,6,5,50
59,6,5,50
60,6,5,50
61,6,5,50
62,6,8,53
63,6,8,53
64,6,8,53
65,6,8,53
66,6,8,53
67,6,8,53
68,6,8,53
69,6,8,53
70,6,8,53
71,6,5,50
72,6,5,50
73,6,5,50
74,6,5,50
75,6,5,50
76,6,5,50
77,6,5,50
78,6,5,50
79,6,5,50
80,6,5,50
81,6,5,50
82,6,5,50
83,6,5,50
84,6,5,50
85,6,5,50
86,6,8,53
87,9,8,80
88,9,8,80
89,9,8,80
90,9,8,80
91,9,8,80
92,9,8,80
93,9,8,80
94,9,8,80
95,9,8,80
96,9,8,80
97,6,8,53
98,6,5,50
99,6,5,50
100,6,5,50
101,6,5,50
102,6,5,50
103,6,5,50
104,5,5,41
105,5,5,41
106,5,5,41
107,5,5,41
108,5,5,41
109,5,5,41
110,5,5,41
111,5,5,41
112,5,5,41
113,5,5,41
114,5,5,41
115,5,5,41
116,5,5,41
117,5,5,41
118,6,5,50
119,6,5,50
120,6,5,50
121,6,5,50
122,6,5,50
123,6,4,49
124,6,4,49
125,6,4,49
126,6,4,49
127,6,4,49
128,6,4,49
129,5,4,40
130,5,4,40
131,5,4,40
132,5,4,40
133,5,4,40
134,5,4,40
135,5,7,43
136,6,7,52
137,6,7,52
138,6,7,52
139,6,7,52
140,9,7,79
141,9,7,79
142,9,7,79
143,9,7,79
144,9,7,79
145,9,7,79
146,9,7,79
147,9,7,79
148,8,7,70
149,8,7,70
150,9,7,79
151,9,8,80
152,9,8,80
153,9,8,80
154,9,8,80
155,9,8,80
156,9,5,77
157,8,5,68
158,8,5,68
159,8,5,68
160,8,4,67
161,5,4,40
162,5,4,40
163,5,4,40
164,5,4,40
165,5,7,43
166,5,7,43
167,5,7,43
168,5,7,43
169,5,7,43
170,5,7,43
171,5,7,43
172,5,7,43
173,5,7,43
174,8,7,70
175,8,7,70
176,8,7,70
177,8,7,70
178,8,7,70
179,8,7,70
180,8,8,71
181,8,8,71
182,8,8,71
183,8,8,71
184,8,8,71
185,8,8,71
186,8,8,71
187,8,8,71
188,8,8,71
189,8,8,71
190,8,7,70
191,9,7,79
192,9,7,79
193,9,7,79
194,9,7,79
195,9,7,79
196,9,7,79
197,9,7,79
198,9,7,79
199,9,7,79
200,9,7,79
201,9,7,79
202,9,7,79
203,9,8,80
204,9,8,80
205,8,8,71
206,8,8,71
207,5,8,44
208,5,8,44
209,5,5,41
210,5,5,41
211,5,5,41
212,5,8,44
213,8,8,71
214,8,8,71
215,5,8,44
216,5,8,44
217,5,8,44
218,5,8,44
219,5,8,44
220,5,5,41
221,5,5,41
222,5,5,41
223,5,5,41
224,5,5,41
225,5,5,41
226,5,5,41
227,5,5,41
228,5,5,41
229,5,5,41
230,6,5,50
231,6,5,50
232,5,5,41
233,5,5,41
234,5,4,40
235,5,4,40
236,5,4,40
237,5,4,40
238,5,4,40
239,5,4,40
240,5,4,40
241,5,4,40
242,5,4,40
243,5,4,40
244,5,4,40
245,5,4,40
246,5,7,43
247,5,7,43
248,5,7,43
249,5,7,43
250,5,7,43
251,5,7,43
252,5,7,43
253,5,7,43
254,5,7,43
255,5,7,43
256,5,7,43
257,5,7,43
258,5,7,43
259,5,7,43
260,5,7,43
261,5,7,43
262,5,7,43
263,5,7,43
264,8,7,70
265,5,7,43
266,5,7,43
267,5,7,43
268,5,7,43
269,5,4,40
270,5,4,40
271,5,7,43
272,5,7,43
273,5,7,43
274,8,7,70
275,8,7,70
276,8,7,70
277,8,7,70
278,8,7,70
279,8,7,70
280,8,7,70
281,8,7,70
282,8,7,70
283,8,7,70
284,8,7,70
285,8,7,70
286,8,7,70
287,8,7,70
288,8,7,70
289,8,7,70
290,8,7,70
291,8,7,70
292,8,7,70
293,5,7,43
294,6,4,49
295,6,4,49
296,6,4,49
297,6,5,50
298,6,5,50
299,6,5,50
300,6,5,50
301,6,5,50
302,6,5,50
303,6,5,50
304,6,5,50
305,6,5,50
306,8,8,71
307,8,8,71
308,8,8,71
309,8,8,71
310,8,8,71
311,8,8,71
312,8,8,71
313,8,8,71
314,8,8,71
315,8,8,71
316,9,5,77
317,6,5,50
318,6,5,50
319,6,5,50
320,6,5,50
321,6,8,53
322,6,8,53
323,6,8,53
324,6,8,53
325,6,8,53
326,6,5,50
327,5,5,41
328,8,6,69
329,8,8,71
330,8,8,71
331,8,8,71
332,8,8,71
333,8,8,71
334,8,8,71
335,8,8,71
336,8,8,71
337,8,8,71
338,8,8,71
339,8,8,71
340,8,8,71
341,8,8,71
342,8,8,71
343,8,8,71
344,8,8,71
345,8,8,71
346,8,8,71
347,8,8,71
348,8,8,71
349,8,8,71
350,8,8,71
351,5,5,41
352,6,5,50
353,6,5,50
354,6,5,50
355,9,5,77
356,9,5,77
357,9,8,80
358,9,8,80
359,9,8,80
360,9,8,80
361,9,8,80
362,9,8,80
363,6,4,49
364,6,4,49
365,6,4,49
366,6,4,49
367,6,4,49
368,6,4,49
369,6,4,49
370,6,4,49
371,6,4,49
372,6,4,49
373,6,4,49
374,6,4,49
375,6,4,49
376,6,4,49
377,6,4,49
378,6,4,49
379,6,4,49
380,6,4,49
381,6,4,49
382,6,5,50
383,5,5,41
384,6,4,49
385,6,4,49
386,6,4,49
387,6,4,49
388,6,4,49
389,6,4,49
390,6,5,50
391,6,5,50
392,6,5,50
393,6,5,50
394,6,5,50
395,6,5,50
396,6,5,50
397,6,5,50
398,6,5,50
399,6,5,50
400,6,5,50
401,6,5,50
402,6,5,50
403,6,5,50
404,6,5,50
405,6,5,50
406,6,5,50
407,6,5,50
408,6,5,50
409,6,5,50
410,6,5,50
411,6,5,50
412,6,5,50
413,6,5,50
414,6,5,50
415,6,5,50
416,5,5,41
417,5,5,41
418,5,5,41
419,5,5,41
420,5,5,41
421,5,5,41
