frame_idx,l_label,r_label,label
0,8,8,71
1,8,8,71
2,8,8,71
3,8,8,71
4,8,8,71
5,8,8,71
6,8,8,71
7,8,8,71
8,9,8,80
9,9,7,79
10,9,7,79
11,6,7,52
12,6,4,49
13,6,4,49
14,6,4,49
15,6,4,49
16,6,4,49
17,5,5,41
18,5,5,41
19,5,5,41
20,5,5,41
21,5,5,41
22,5,5,41
23,5,5,41
24,5,5,41
25,5,5,41
26,5,5,41
27,5,5,41
28,5,5,41
29,5,5,41
30,5,5,41
31,5,5,41
32,5,5,41
33,5,5,41
34,5,5,41
35,5,5,41
36,5,5,41
37,5,5,41
38,5,5,41
39,5,5,41
40,5,5,41
41,5,5,41
42,5,5,41
43,5,5,41
44,5,5,41
45,5,5,41
46,5,5,41
47,5,5,41
48,5,5,41
49,5,5,41
50,5,5,41
51,5,5,41
52,5,5,41
53,8,8,71
54,8,8,71
55,8,8,71
56,8,8,71
57,8,8,71
58,8,8,71
59,5,5,41
60,5,5,41
61,5,5,41
62,5,5,41
63,5,5,41
64,5,8,44
65,5,8,44
66,5,8,44
67,5,8,44
68,5,5,41
69,5,8,44
70,5,8,44
71,8,8,71
72,8,8,71
73,8,8,71
74,8,8,71
75,8,8,71
76,8,7,70
77,8,7,70
78,8,7,70
79,8,4,67
80,8,4,67
81,8,4,67
82,8,4,67
83,8,4,67
84,8,4,67
85,8,4,67
86,8,4,67
87,8,4,67
88,8,4,67
89,8,4,67
90,8,4,67
91,8,4,67
92,8,4,67
93,8,4,67
94,8,4,67
95,8,4,67
96,8,4,67
97,8,4,67
98,8,4,67
99,8,4,67
100,8,4,67
101,8,4,67
102,8,4,67
103,8,4,67
104,8,4,67
105,8,4,67
106,8,4,67
107,8,4,67
108,8,4,67
109,8,4,67
110,8,7,70
111,8,7,70
112,8,7,70
113,8,7,70
114,8,7,70
115,8,7,70
116,8,7,70
117,8,7,70
118,8,8,71
119,8,8,71
120,8,8,71
121,8,8,71
122,8,8,71
123,8,8,71
124,8,8,71
125,8,8,71
126,8,8,71
127,8,8,71
128,8,8,71
129,8,8,71
130,8,8,71
131,8,8,71
132,8,8,71
133,8,8,71
134,8,8,71
135,8,8,71
136,8,8,71
137,8,8,71
138,8,8,71
139,5,8,44
140,5,5,41
141,5,5,41
142,5,5,41
143,5,4,40
144,5,4,40
145,5,4,40
146,5,4,40
147,5,4,40
148,5,4,40
149,5,4,40
150,5,4,40
151,5,4,40
152,5,4,40
153,5,4,40
154,5,1,37
155,5,1,37
156,8,1,64
157,8,1,64
158,8,1,64
159,8,1,64
160,8,1,64
161,8,1,64
162,8,1,64
163,8,4,67
164,8,4,67
165,8,4,67
166,8,4,67
167,8,4,67
168,8,4,67
169,8,4,67
170,8,4,67
171,8,4,67
172,8,4,67
173,8,4,67
174,8,4,67
175,8,4,67
176,8,4,67
177,8,4,67
178,8,4,67
179,8,4,67
180,8,4,67
181,8,4,67
182,8,4,67
183,9,4,76
184,9,4,76
185,9,4,76
186,9,4,76
187,9,4,76
188,6,4,49
189,6,4,49
190,6,4,49
191,6,4,49
192,6,4,49
193,6,4,49
194,6,4,49
195,6,4,49
196,6,4,49
197,5,5,41
198,5,5,41
199,8,8,71
200,8,8,71
201,8,8,71
202,8,8,71
203,8,8,71
204,8,8,71
205,8,8,71
206,8,8,71
207,8,8,71
208,8,8,71
209,8,8,71
210,8,8,71
211,8,8,71
212,8,8,71
213,8,8,71
214,8,8,71
215,8,8,71
216,8,8,71
217,8,8,71
218,8,8,71
219,8,8,71
220,8,8,71
221,8,8,71
222,8,8,71
223,8,8,71
224,8,8,71
225,8,8,71
226,8,8,71
227,8,8,71
228,8,8,71
229,8,8,71
230,8,8,71
231,8,8,71
232,8,8,71
233,8,8,71
234,8,8,71
235,8,8,71
236,8,8,71
237,8,8,71
238,8,8,71
239,8,8,71
240,8,8,71
241,8,8,71
242,8,8,71
243,8,8,71
244,8,8,71
245,8,8,71
246,8,8,71
247,8,8,71
248,8,8,71
249,8,8,71
250,8,8,71
251,8,8,71
252,8,8,71
253,8,8,71
254,8,8,71
255,8,8,71
256,8,5,68
257,8,4,67
258,8,4,67
259,5,4,40
260,5,4,40
261,6,4,49
262,6,4,49
263,6,4,49
264,6,4,49
265,6,4,49
266,6,4,49
267,6,4,49
268,6,4,49
269,6,4,49
270,6,4,49
271,6,4,49
272,9,4,76
273,9,7,79
274,9,7,79
275,9,7,79
276,9,7,79
277,8,7,70
278,8,7,70
279,9,7,79
280,9,7,79
281,9,7,79
282,9,7,79
283,9,7,79
284,8,8,71
285,8,8,71
286,9,7,79
287,9,7,79
288,9,7,79
289,9,7,79
290,9,7,79
291,9,7,79
292,9,7,79
293,8,7,70
294,8,4,67
295,8,4,67
296,8,4,67
297,8,4,67
298,8,4,67
299,8,4,67
300,8,4,67
301,8,5,68
302,8,8,71
303,8,8,71
304,8,8,71
305,8,8,71
