- Hey friends	79 79 79
Welcome back to the channel	79 79 79 79 79
Happy New Year all of that good stuff	79 79 52 52 79 79 79 76
If you're new here my name is Ali	79 79 79 79 79 79 79 79
I'm a junior doctor working in Cambridge	79 79 79 79 79 79 79
And in this video I wanna talk about	52 70 40 53 71 68 77 76
15 life lessons that I learned in 2019	76 76 79 79 80 80 80 80
All of these are things that I've mentioned	80 80 80 80 76 76 79 79
in some capacity or another in my weekly email newsletter	67 70 52 52 79 79 79 70 71 54
So pretty much anytime I come across any	54 80 52 76 79 76 79 49
interesting life lessons that I find useful	79 79 79 79 79 79 79
I share them in my email newsletter every Sunday	79 79 79 79 76 76 76 76 79
So you can sign up with the link down below	79 79 79 79 79 76 80 80 80 71
But yeah here is a roundup of 15	71 71 71 49 52 49 49 71
of my favourite ones from 2019	70 73 76 79 79 79
Let's go	79 79
Firstly I learned about the importance	52 52 52 79 49 79
of setting a daily highlight	79 79 79 76 76
And I came across this in a book called	40 76 76 76 76 76 76 76 79
Make Time by John Zeratsky and Jake Knapp	79 70 70 79 79 79 79 79
And they suggest that every day	79 79 79 70 70 79
the way to be productive is to have a single daily highlight	79 70 73 46 49 67 76 76 79 79 70 67
that you're gonna be working on for that day	37 37 37 37 37 40 76 49 52
So that's either something that's gonna	49 40 31 67 67 79
bring you the most joy something that's the most urgent	79 76 76 79 52 49 41 41 41 41
or something that will bring you	41 44 76 41 41 41
the most kind of satisfaction when you do it	44 44 71 76 44 44 71 49 49
And I've started actively tracking this	49 79 49 49 79 79
in the app Notion for the last few months	79 79 49 49 49 49 52 50 71
And I find that on the days where I remember to set myself	49 79 70 70 70 70 70 70 70 70 70 70 79
a daily highlight I inevitably get more done that day	49 49 41 70 49 79 70 70 67 70
Just because I then have this default activity	70 67 70 70 70 70 70 70
that I know I'm gonna be doing	67 67 67 71 49 49 76
So that was a really important lesson that I learnt	76 76 67 67 67 70 67 67 70 70
Secondly we have a quote from Kurt Vonnegut	67 70 70 70 70 79 52 79
who is a famous writer	52 52 79 70 70
And he says "And I urge you to please notice	70 70 70 70 70 70 70 70 70 70
"when you are happy and exclaim or murmur	70 70 70 70 71 62 62 71
"or think at some point	71 71 71 71 71
"'If this isn't nice I don't know what is.'"	71 70 70 71 71 71 71 71 70
And I first came across this kinda towards the end of 2019	70 70 70 70 71 71 67 67 67 40 40 67
And kind of on reflection I realized that	40 0 61 62 62 62 62 62
I'm very quick at moving from one thing	62 62 62 62 62 62 62 62
to another thing to another thing	62 62 62 62 62 62
and I very rarely take the time	70 70 58 58 58 59 59
to appreciate and kind of like enjoy the moment	55 55 55 55 55 58 55 67 79
And since I came across this quote	49 49 49 52 79 70 70
I've really started to actively do that more	67 70 70 70 70 70 67 70
Like let's say I'm driving in the car	70 70 67 67 67 70 70 70
and I've got a latte in my hand	76 49 49 70 67 67 70 70
and I'm listening to something on Audible or whatever	70 70 70 70 70 70 70 70 70
then I just occasionally have the thought that	70 70 70 70 70 67 71 70
if this isn't nice I don't know what is	70 49 52 79 79 70 70 79 79
Or let's say I'm on my desk and making a video	79 79 79 70 79 79 52 52 52 52 52
or filming something or trying to learn something	70 70 79 70 70 79 79 70
or running a supervision for my students	70 79 79 79 70 52 79
I just like to think	70 70 49 49 70
if this isn't nice I don't know what is	49 49 49 49 49 49 79 70 70
And it's that subtle encouragement for me	70 70 70 43 49 49 79
to be more grateful for the things in my life	79 79 70 70 70 67 67 67 67 64
So yeah thank you Kurt Vonnegut for that quote	67 73 73 73 73 73 67 67 76
Thirdly I came across this idea of	49 49 49 49 49 79 49
window openers versus door knockers	67 58 70 76 79
It's not quite the terminology they used	79 79 79 79 76 70 70
in an episode of the My First Million podcast	70 61 61 61 70 70 70 71 71
that I first heard this on	43 43 44 44 71 71
but I kinda synthesized what they were talking about	71 67 67 67 76 76 76 76 76
