dialogID,ppl,position,type,model
42,7.0071897323811,0,compressed,LSTM
42,5.0176904400069,1,compressed,LSTM
42,4.97569008080897,2,compressed,LSTM
42,5.93926043942459,3,compressed,LSTM
42,5.34368048623791,4,compressed,LSTM
42,3.5055371039079,5,compressed,LSTM
42,8.57657371751555,6,compressed,LSTM
42,4.42512113909533,7,compressed,LSTM
42,7.27115629409023,8,compressed,LSTM
42,9.39886916331653,9,compressed,LSTM
42,5.68003046556515,10,compressed,LSTM
42,4.46055940873637,11,compressed,LSTM
42,6.34409994833918,12,compressed,LSTM
42,8.75542442732209,13,compressed,LSTM
42,7.20794725124299,14,compressed,LSTM
42,3.72992012376346,15,compressed,LSTM
42,5.30192434953967,16,compressed,LSTM
42,11.9956094169072,17,compressed,LSTM
42,11.1543384168965,18,compressed,LSTM
42,6.43979363434772,19,compressed,LSTM
42,19.1044059290969,20,compressed,LSTM
43,24.0942384169964,0,compressed,LSTM
43,22.6505943107351,1,compressed,LSTM
43,15.7915350333029,2,compressed,LSTM
43,10.9056893387744,3,compressed,LSTM
43,15.123278221283,4,compressed,LSTM
43,13.2765585570992,5,compressed,LSTM
43,16.7522880857171,6,compressed,LSTM
43,13.5488159793646,7,compressed,LSTM
43,15.807431309147,8,compressed,LSTM
43,8.23942719378013,9,compressed,LSTM
43,10.1921867106853,10,compressed,LSTM
43,14.4433928006724,11,compressed,LSTM
43,15.1000143184534,12,compressed,LSTM
43,13.5886489726315,13,compressed,LSTM
43,10.4055421371616,14,compressed,LSTM
43,17.4548903013206,15,compressed,LSTM
43,23.661248486057,16,compressed,LSTM
43,13.6861355140011,17,compressed,LSTM
43,12.5522188582038,18,compressed,LSTM
43,24.7449754330048,19,compressed,LSTM
43,12.024644658236,20,compressed,LSTM
43,16.6571690969684,21,compressed,LSTM
43,17.2898865231854,22,compressed,LSTM
43,7.35148616106382,23,compressed,LSTM
43,10.3749112958345,24,compressed,LSTM
43,9.43386700636608,25,compressed,LSTM
43,17.9770085283295,26,compressed,LSTM
43,10.6562905438808,27,compressed,LSTM
43,10.5382747878758,28,compressed,LSTM
43,15.130047579391,29,compressed,LSTM
43,15.8180440007468,30,compressed,LSTM
43,12.2068553672748,31,compressed,LSTM
43,15.2240738256895,32,compressed,LSTM
43,12.2530861496588,33,compressed,LSTM
43,8.75441206976627,34,compressed,LSTM
43,11.8971690633672,35,compressed,LSTM
43,17.9433645329714,36,compressed,LSTM
43,19.25122787397,37,compressed,LSTM
43,14.2786043361031,38,compressed,LSTM
43,15.5145956353556,39,compressed,LSTM
43,11.8574450214572,40,compressed,LSTM
43,11.1737556318892,41,compressed,LSTM
43,12.2669090682052,42,compressed,LSTM
43,9.64495429781123,43,compressed,LSTM
